from_path,from_table,from_column,to_path,to_label,to_column
nyc/,film_permits.csv,EndDateTime,nyc/,city_record_online.csv,EndDate
nyc/,film_permits.csv,StartDateTime,nyc/,city_record_online.csv,DueDate
nyc/,film_permits.csv,EndDateTime,nyc/,city_record_online.csv,DueDate
nyc/,film_permits.csv,EnteredOn,nyc/,city_record_online.csv,DueDate
nyc/,film_permits.csv,EnteredOn,nyc/,city_record_online.csv,StartDate
nyc/,film_permits.csv,EnteredOn,nyc/,city_record_online.csv,EndDate
nyc/,film_permits.csv,ParkingHeld,nyc/,city_record_online.csv,AddressToRequest
nyc/,film_permits.csv,Borough,nyc/,evictions.csv,BOROUGH
nyc/,film_permits.csv,ZipCode(s),nyc/,evictions.csv,Eviction Postcode
nyc/,film_permits.csv,ZipCode(s),nyc/,city_record_online.csv,AddressToRequest
nyc/,film_permits.csv,StartDateTime,nyc/,evictions.csv,Executed Date
nyc/,film_permits.csv,EndDateTime,nyc/,evictions.csv,Executed Date
nyc/,film_permits.csv,EnteredOn,nyc/,evictions.csv,Executed Date
nyc/,film_permits.csv,ZipCode(s),nyc/,recent_contract_awards.csv,VendorAddress
nyc/,film_permits.csv,ParkingHeld,nyc/,recent_contract_awards.csv,VendorAddress
nyc/,film_permits.csv,StartDateTime,nyc/,recent_contract_awards.csv,StartDate
nyc/,film_permits.csv,StartDateTime,nyc/,recent_contract_awards.csv,EndDate
nyc/,film_permits.csv,EndDateTime,nyc/,recent_contract_awards.csv,StartDate
nyc/,film_permits.csv,EndDateTime,nyc/,recent_contract_awards.csv,EndDate
nyc/,film_permits.csv,StartDateTime,nyc/,film_permits.csv,EndDateTime
nyc/,film_permits.csv,EndDateTime,nyc/,film_permits.csv,StartDateTime
nyc/,film_permits.csv,StartDateTime,nyc/,film_permits.csv,EnteredOn
nyc/,film_permits.csv,EnteredOn,nyc/,film_permits.csv,StartDateTime
nyc/,film_permits.csv,EndDateTime,nyc/,film_permits.csv,EnteredOn
nyc/,film_permits.csv,EnteredOn,nyc/,film_permits.csv,EndDateTime
nyc/,recent_contract_awards.csv,EndDate,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,recent_contract_awards.csv,CategoryDescription,nyc/,capital_projects1.csv,Description
nyc/,recent_contract_awards.csv,AgencyName,nyc/,agency_spending.csv,AGENCY NAME
nyc/,recent_contract_awards.csv,EndDate,nyc/,film_permits.csv,EnteredOn
nyc/,recent_contract_awards.csv,StartDate,nyc/,film_permits.csv,EnteredOn
nyc/,recent_contract_awards.csv,EndDate,nyc/,film_permits.csv,EndDateTime
nyc/,recent_contract_awards.csv,StartDate,nyc/,film_permits.csv,EndDateTime
nyc/,recent_contract_awards.csv,EndDate,nyc/,film_permits.csv,StartDateTime
nyc/,recent_contract_awards.csv,StartDate,nyc/,film_permits.csv,StartDateTime
nyc/,recent_contract_awards.csv,EndDate,nyc/,capital_projects1.csv,Forecast Completion
nyc/,recent_contract_awards.csv,StartDate,nyc/,capital_projects1.csv,Forecast Completion
nyc/,recent_contract_awards.csv,EndDate,nyc/,capital_projects1.csv,Design Start
nyc/,recent_contract_awards.csv,StartDate,nyc/,capital_projects1.csv,Design Start
nyc/,recent_contract_awards.csv,EndDate,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,recent_contract_awards.csv,StartDate,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,recent_contract_awards.csv,StartDate,nyc/,city_record_online.csv,StartDate
nyc/,recent_contract_awards.csv,EndDate,nyc/,city_record_online.csv,StartDate
nyc/,recent_contract_awards.csv,StartDate,nyc/,city_record_online.csv,DueDate
nyc/,recent_contract_awards.csv,EndDate,nyc/,city_record_online.csv,DueDate
nyc/,recent_contract_awards.csv,StartDate,nyc/,city_record_online.csv,EndDate
nyc/,recent_contract_awards.csv,EndDate,nyc/,city_record_online.csv,EndDate
nyc/,recent_contract_awards.csv,VendorAddress,nyc/,city_record_online.csv,AddressToRequest
nyc/,recent_contract_awards.csv,VendorAddress,nyc/,evictions.csv,Eviction Address
nyc/,recent_contract_awards.csv,VendorAddress,nyc/,evictions.csv,Eviction Postcode
nyc/,recent_contract_awards.csv,StartDate,nyc/,evictions.csv,Executed Date
nyc/,recent_contract_awards.csv,EndDate,nyc/,evictions.csv,Executed Date
nyc/,recent_contract_awards.csv,TypeOfNoticeDescription,nyc/,city_record_online.csv,TypeOfNoticeDescription
nyc/,recent_contract_awards.csv,CategoryDescription,nyc/,city_record_online.csv,CategoryDescription
nyc/,recent_contract_awards.csv,SectionName,nyc/,city_record_online.csv,SectionName
nyc/,recent_contract_awards.csv,SelectionMethodDescription,nyc/,city_record_online.csv,SelectionMethodDescription
nyc/,recent_contract_awards.csv,ShortTitle,nyc/,city_record_online.csv,ShortTitle
nyc/,recent_contract_awards.csv,AgencyName,nyc/,city_record_online.csv,AgencyName
nyc/,recent_contract_awards.csv,VendorAddress,nyc/,film_permits.csv,ZipCode(s)
nyc/,recent_contract_awards.csv,VendorAddress,nyc/,film_permits.csv,ParkingHeld
nyc/,recent_contract_awards.csv,VendorAddress,nyc/,housing.csv,Address
nyc/,recent_contract_awards.csv,VendorAddress,nyc/,housing.csv,Postcode
nyc/,recent_contract_awards.csv,StartDate,nyc/,housing.csv,Project Start Date
nyc/,recent_contract_awards.csv,EndDate,nyc/,housing.csv,Project Start Date
nyc/,recent_contract_awards.csv,StartDate,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,recent_contract_awards.csv,StartDate,nyc/,recent_contract_awards.csv,EndDate
nyc/,recent_contract_awards.csv,EndDate,nyc/,recent_contract_awards.csv,StartDate
nyc/,capital_projects1.csv,Design Start,nyc/,film_permits.csv,EndDateTime
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,film_permits.csv,EnteredOn
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,film_permits.csv,EndDateTime
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,film_permits.csv,StartDateTime
nyc/,capital_projects1.csv,Forecast Completion,nyc/,film_permits.csv,EnteredOn
nyc/,capital_projects1.csv,Forecast Completion,nyc/,film_permits.csv,EndDateTime
nyc/,capital_projects1.csv,Forecast Completion,nyc/,film_permits.csv,StartDateTime
nyc/,capital_projects1.csv,Design Start,nyc/,film_permits.csv,EnteredOn
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,city_record_online.csv,StartDate
nyc/,capital_projects1.csv,Design Start,nyc/,city_record_online.csv,StartDate
nyc/,capital_projects1.csv,Forecast Completion,nyc/,city_record_online.csv,StartDate
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,city_record_online.csv,EndDate
nyc/,capital_projects1.csv,Design Start,nyc/,city_record_online.csv,EndDate
nyc/,capital_projects1.csv,Forecast Completion,nyc/,city_record_online.csv,EndDate
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,city_record_online.csv,DueDate
nyc/,capital_projects1.csv,Design Start,nyc/,city_record_online.csv,DueDate
nyc/,capital_projects1.csv,Forecast Completion,nyc/,city_record_online.csv,DueDate
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,evictions.csv,Executed Date
nyc/,capital_projects1.csv,Design Start,nyc/,evictions.csv,Executed Date
nyc/,capital_projects1.csv,Forecast Completion,nyc/,evictions.csv,Executed Date
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,recent_contract_awards.csv,StartDate
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,recent_contract_awards.csv,EndDate
nyc/,capital_projects1.csv,Design Start,nyc/,recent_contract_awards.csv,StartDate
nyc/,capital_projects1.csv,Design Start,nyc/,recent_contract_awards.csv,EndDate
nyc/,capital_projects1.csv,Forecast Completion,nyc/,recent_contract_awards.csv,StartDate
nyc/,capital_projects1.csv,Forecast Completion,nyc/,recent_contract_awards.csv,EndDate
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,capital_projects1.csv,Design Start,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,capital_projects1.csv,Forecast Completion,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,capital_projects1.csv,Design Start,nyc/,film_permits.csv,StartDateTime
nyc/,capital_projects1.csv,Design Start,nyc/,capital_projects1.csv,Forecast Completion
nyc/,capital_projects1.csv,Forecast Completion,nyc/,capital_projects1.csv,Design Start
nyc/,capital_projects1.csv,Design Start,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,capital_projects1.csv,Design Start
nyc/,capital_projects1.csv,Forecast Completion,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,capital_projects1.csv,Date Reported As Of,nyc/,capital_projects1.csv,Forecast Completion
nyc/,housing.csv,Project Name,nyc/,capital_projects2.csv,Project Name
nyc/,housing.csv,Borough,nyc/,capital_projects2.csv,Borough
nyc/,housing.csv,Address,nyc/,film_permits.csv,ParkingHeld
nyc/,housing.csv,Borough,nyc/,film_permits.csv,Borough
nyc/,housing.csv,Postcode,nyc/,film_permits.csv,ZipCode(s)
nyc/,housing.csv,Project Start Date,nyc/,recent_contract_awards.csv,EndDate
nyc/,housing.csv,Project Start Date,nyc/,recent_contract_awards.csv,StartDate
nyc/,housing.csv,Postcode,nyc/,recent_contract_awards.csv,VendorAddress
nyc/,housing.csv,Address,nyc/,recent_contract_awards.csv,VendorAddress
nyc/,housing.csv,Project Start Date,nyc/,evictions.csv,Executed Date
nyc/,housing.csv,Postcode,nyc/,evictions.csv,Eviction Postcode
nyc/,housing.csv,Borough,nyc/,evictions.csv,BOROUGH
nyc/,housing.csv,Address,nyc/,city_record_online.csv,AddressToRequest
nyc/,housing.csv,Project Start Date,nyc/,city_record_online.csv,DueDate
nyc/,housing.csv,Project Start Date,nyc/,city_record_online.csv,EndDate
