Project ID,Project Name,Project Start Date,Address,Borough,Postcode,Community Board,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status
44265,CULVER EL PHASE I,11/25/2014,1232 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
44265,CULVER EL PHASE I,11/25/2014,1264 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
44265,CULVER EL PHASE I,11/25/2014,1270 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
44265,CULVER EL PHASE I,11/25/2014,1276 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
52318,33 Bond Street,11/25/2014,33 BOND STREET,Brooklyn,11201.0,BK-02,BK38,New Construction,Non Prevailing Wage
54411,CONFIDENTIAL,11/25/2014,---- ----,Brooklyn,,BK-14,,New Construction,Non Prevailing Wage
54535,CONFIDENTIAL,11/25/2014,---- ----,Bronx,,BX-09,,New Construction,Non Prevailing Wage
54554,CONFIDENTIAL,11/25/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
54555,CONFIDENTIAL,11/25/2014,---- ----,Staten Island,,SI-01,,New Construction,Non Prevailing Wage
55467,Sam Burt Houses,11/25/2014,2675 WEST 36 STREET,Brooklyn,11224.0,BK-13,BK21,Preservation,Non Prevailing Wage
68431,MARIEN-HEIM TOWER SENIOR APARTMENTS (20140280),11/25/2014,870 OCEAN PARKWAY,Brooklyn,11230.0,BK-12,BK42,Preservation,Non Prevailing Wage
51297,774 Grand Street,11/24/2014,284 HUMBOLDT STREET,Brooklyn,11206.0,BK-01,BK90,New Construction,Non Prevailing Wage
52075,PHIPPS PLAZA SOUTH/KB 25,11/24/2014,325 EAST 25 STREET,Manhattan,10010.0,MN-06,MN20,New Construction,Non Prevailing Wage
53558,Phipps Plaza South/KB25 Article XI,11/24/2014,325 EAST 25 STREET,Manhattan,10010.0,MN-06,MN20,New Construction,Non Prevailing Wage
54559,CONFIDENTIAL,11/24/2014,---- ----,Brooklyn,,BK-16,,Preservation,Non Prevailing Wage
58193,CONFIDENTIAL,11/24/2014,---- ----,Brooklyn,,BK-17,,Preservation,Non Prevailing Wage
58289,CONFIDENTIAL,11/24/2014,---- ----,Queens,,QN-12,,Preservation,Non Prevailing Wage
54556,CONFIDENTIAL,11/21/2014,---- ----,Brooklyn,,BK-09,,Preservation,Non Prevailing Wage
54410,CONFIDENTIAL,11/20/2014,---- ----,Brooklyn,,BK-03,,New Construction,Non Prevailing Wage
54409,CONFIDENTIAL,11/19/2014,---- ----,Queens,,QN-12,,New Construction,Non Prevailing Wage
65138,53 WEST 126TH STREET,11/19/2014,53 WEST 126 STREET,Manhattan,10027.0,MN-10,MN03,New Construction,Non Prevailing Wage
53694,CONFIDENTIAL,11/14/2014,---- ----,Queens,,QN-08,,New Construction,Non Prevailing Wage
54403,CONFIDENTIAL,11/14/2014,---- ----,Queens,,QN-06,,New Construction,Non Prevailing Wage
54408,CONFIDENTIAL,11/14/2014,---- ----,Staten Island,,SI-02,,New Construction,Non Prevailing Wage
50356,Gabriel House LP,11/13/2014,2044 ADAM C POWELL BOULEVARD,Manhattan,10027.0,MN-10,MN11,Preservation,Non Prevailing Wage
54397,CONFIDENTIAL,11/13/2014,---- ----,Staten Island,,SI-01,,New Construction,Non Prevailing Wage
54553,CONFIDENTIAL,11/13/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
68430,STUYPARK APARTMENTS (20140270),11/13/2014,77 NEW YORK AVENUE,Brooklyn,11216.0,BK-08,BK61,Preservation,Non Prevailing Wage
54392,CONFIDENTIAL,11/12/2014,---- ----,Queens,,QN-12,,New Construction,Non Prevailing Wage
54395,CONFIDENTIAL,11/12/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
54536,CONFIDENTIAL,11/10/2014,---- ----,Brooklyn,,BK-03,,New Construction,Non Prevailing Wage
