school/sat.School Name,school/sat.Number of Test Takers,school/sat.Critical Reading Mean,school/sat.Mathematics Mean,school/sat.Writing Mean,DBN
ADLAI E STEVENSON HIGH SCHOOL ,,,,,08X450
Academy for Scholarship and Entrepreneurship ,37.0,373.0,376.0,362.0,11X270
The Frances Perkins Academy ,,,,,14K632
Urban Assembly School of Music and Art ,59.0,394.0,371.0,371.0,13K350
Community High School Social Justice ,50.0,372.0,351.0,359.0,07X427
Bronx Leadership Academy II High School ,55.0,377.0,381.0,379.0,07X527
"YOUNG ADULT BOROUGH CTR, THOMAS JEFFERS ",,,,,19K431
HIGH SCHOOL OF WORLD CULTURES ,50.0,291.0,333.0,291.0,12X550
BUSHWICK HS FOR SOCIAL JUSTICE ,72.0,363.0,364.0,358.0,32K549
Townsend Harris High School at Queens College ,273.0,637.0,644.0,642.0,25Q525
YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,56.0,395.0,407.0,388.0,08X282
International High School @Prospect Hgt ,32.0,302.0,339.0,325.0,17K524
JOHN BOWNE HIGH SCHOOL ,302.0,391.0,423.0,389.0,25Q425
HIGH SCHOOL FOR HLTH CARER/SER ,28.0,385.0,417.0,373.0,06M468
LAFAYETTE HIGH SCHOOL ,40.0,327.0,367.0,315.0,21K400
Clara Barton High School ,282.0,419.0,413.0,411.0,17K600
BRONX COMMUNITY HIGH SCHOOL (X377) ,10.0,416.0,393.0,414.0,08X377
High School of Telecommunication Arts ,221.0,450.0,471.0,440.0,20K485
UNITY HIGH SCHOOL ,31.0,371.0,369.0,368.0,02M500
Humanities and Arts Magnet High School ,45.0,383.0,371.0,370.0,29Q498
NORMAN THOMAS HIGH SCHOOL ,152.0,378.0,387.0,370.0,02M620
George Wood Wingate High School ,,,,,17K470
CENTRAL PARK SECONDARY SCHOOL ,35.0,362.0,378.0,356.0,04M555
George Westinghouse Vocational Technical HS ,87.0,390.0,360.0,373.0,13K605
JOHN F KENNEDY HIGH SCHOOL ,87.0,364.0,375.0,358.0,10X475
HIGH SCHOOL MEDICAL SCIENCES ,98.0,423.0,450.0,435.0,09X413
High School of Hospitality Management ,43.0,397.0,415.0,391.0,02M296
MANHATTAN VILLAGE ACADEMY ,90.0,465.0,479.0,472.0,02M439
NEW YORK CITY MUSEUM SCHOOL ,90.0,454.0,448.0,435.0,02M414
Kingsbridge International High School ,40.0,313.0,316.0,296.0,10X268
BRONX ACADEMY HIGH SCHOOL ,19.0,373.0,354.0,364.0,08X560
NEWTOWN HIGH SCHOOL ,251.0,379.0,427.0,372.0,24Q455
High School for Medical Professions ,,,,,18K633
YABC at Monroe Academy ,11.0,386.0,345.0,388.0,12X428
CHOIR ACADEMY OF HARLEM ,16.0,420.0,369.0,401.0,05M469
NEW DESIGN HIGH SCHOOL ,74.0,390.0,385.0,387.0,02M543
Bedford Stuyvesant Street Academy High School ,20.0,366.0,380.0,362.0,13K575
JAMES MADISON HIGH SCHOOL ,641.0,449.0,478.0,445.0,22K425
BROOKLYN STUDIO SECONDARY SCH ,86.0,426.0,419.0,418.0,21K690
HIGH SCHOOL TEACHING PROFESSNS ,50.0,386.0,385.0,381.0,10X433
YABC at Washington Irving High School ,,,,,02M473
Brooklyn Democracy Academy ,18.0,347.0,371.0,323.0,23K643
YABC AT HARRY S. TRUMAN HIGH SCHOOL ,,,,,11X456
Campus School of the Humanities at Erasmus Hall ,,,,,17K469
Williamsburg High School for Architecture & Design ,44.0,399.0,393.0,367.0,14K558
FLUSHING HIGH SCHOOL ,278.0,372.0,398.0,366.0,25Q460
CMSP HIGH SCHOOL ,,,,,01M509
LYONS COMMUNITY SCHOOL ,,,,,14K586
Young Women's Leadership High School ,,,,,28Q896
MS 293 City College Academy of the Arts ,,,,,06M293
Fannie Lou Hamer Freedom High School ,75.0,333.0,326.0,330.0,12X682
"Queens High School for Information, Research, and Te ",,,,,27Q302
NEW DAY ACADEMY ,24.0,368.0,349.0,358.0,12X245
BRONX SCHOOL OF LAW & FINANCE ,54.0,404.0,397.0,383.0,10X284
Bread & Rose Intergrated Arts High School ,54.0,364.0,378.0,359.0,05M685
