school/math.Grade,school/math.Year,school/math.Category,school/math.Number Tested,school/math.Mean Scale Score,school/math.Level 1 #,school/math.Level 1 %,school/math.Level 2 #,school/math.Level 2 %,school/math.Level 3 #,school/math.Level 3 %,school/math.Level 4 #,school/math.Level 4 %,school/math.Level 3+4 #,school/math.Level 3+4 %,DBN
All Grades,2007,All Students,140,,16.0,11.4,28.0,20.0,75.0,53.6,21.0,15.0,96.0,68.6,17K191
All Grades,2008,All Students,210,,5.0,2.4,6.0,2.9,89.0,42.4,110.0,52.4,199.0,94.8,31R008
4,2006,All Students,108,656.0,22.0,20.4,29.0,26.9,38.0,35.2,19.0,17.6,57.0,52.8,08X107
7,2008,All Students,530,679.0,10.0,1.9,66.0,12.5,283.0,53.4,171.0,32.3,454.0,85.7,31R024
4,2010,All Students,73,708.0,1.0,1.4,10.0,13.7,26.0,35.6,36.0,49.3,62.0,84.9,75K372
8,2006,All Students,110,664.0,7.0,6.4,34.0,30.9,57.0,51.8,12.0,10.9,69.0,62.7,02M126
5,2006,All Students,74,696.0,1.0,1.4,7.0,9.5,30.0,40.5,36.0,48.6,66.0,89.2,20K069
5,2009,All Students,79,682.0,1.0,1.3,9.0,11.4,45.0,57.0,24.0,30.4,69.0,87.3,19K290
7,2008,All Students,199,650.0,17.0,8.5,73.0,36.7,96.0,48.2,13.0,6.5,109.0,54.8,29Q192
7,2007,All Students,58,630.0,14.0,24.1,24.0,41.4,16.0,27.6,4.0,6.9,20.0,34.5,23K150
All Grades,2010,All Students,252,,33.0,13.1,133.0,52.8,77.0,30.6,9.0,3.6,86.0,34.1,07X161
4,2007,All Students,45,659.0,4.0,8.9,17.0,37.8,19.0,42.2,5.0,11.1,24.0,53.3,04M038
All Grades,2009,All Students,164,,4.0,2.4,27.0,16.5,115.0,70.1,18.0,11.0,133.0,81.1,16K309
6,2008,All Students,187,720.0,0.0,0.0,2.0,1.1,38.0,20.3,147.0,78.6,185.0,98.9,02M312
4,2010,All Students,175,687.0,10.0,5.7,55.0,31.4,60.0,34.3,50.0,28.6,110.0,62.9,19K007
3,2006,All Students,107,650.0,21.0,19.6,24.0,22.4,53.0,49.5,9.0,8.4,62.0,57.9,06M004
All Grades,2010,All Students,1470,,84.0,5.7,411.0,28.0,482.0,32.8,493.0,33.5,975.0,66.3,24Q005
7,2011,All Students,318,660.0,53.0,16.7,149.0,46.9,86.0,27.0,30.0,9.4,116.0,36.5,28Q008
6,2006,All Students,58,643.0,11.0,19.0,20.0,34.5,22.0,37.9,5.0,8.6,27.0,46.6,05M030
3,2009,All Students,18,617.0,7.0,38.9,6.0,33.3,5.0,27.8,0.0,0.0,5.0,27.8,75M094
7,2007,All Students,371,652.0,36.0,9.7,136.0,36.7,161.0,43.4,38.0,10.2,199.0,53.6,31R051
6,2008,All Students,78,638.0,17.0,21.8,27.0,34.6,32.0,41.0,2.0,2.6,34.0,43.6,16K534
3,2006,All Students,146,654.0,26.0,17.8,42.0,28.8,64.0,43.8,14.0,9.6,78.0,53.4,32K045
5,2006,All Students,36,661.0,2.0,5.6,14.0,38.9,15.0,41.7,5.0,13.9,20.0,55.6,14K018
All Grades,2010,All Students,267,,16.0,6.0,69.0,25.8,96.0,36.0,86.0,32.2,182.0,68.2,21K212
7,2010,All Students,206,645.0,74.0,35.9,86.0,41.7,32.0,15.5,14.0,6.8,46.0,22.3,10X080
6,2006,All Students,341,636.0,90.0,26.4,124.0,36.4,113.0,33.1,14.0,4.1,127.0,37.2,11X144
7,2007,All Students,25,564.0,23.0,92.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,75X186
8,2007,All Students,35,649.0,4.0,11.4,15.0,42.9,15.0,42.9,1.0,2.9,16.0,45.7,29Q268
5,2009,All Students,70,698.0,0.0,0.0,2.0,2.9,29.0,41.4,39.0,55.7,68.0,97.1,15K130
6,2008,All Students,477,679.0,11.0,2.3,46.0,9.6,309.0,64.8,111.0,23.3,420.0,88.1,14K318
All Grades,2006,All Students,273,,46.0,16.8,89.0,32.6,126.0,46.2,12.0,4.4,138.0,50.5,07X018
7,2007,All Students,74,639.0,7.0,9.5,41.0,55.4,26.0,35.1,0.0,0.0,26.0,35.1,11X270
4,2006,All Students,81,644.0,25.0,30.9,13.0,16.0,32.0,39.5,11.0,13.6,43.0,53.1,14K110
8,2010,All Students,52,646.0,18.0,34.6,31.0,59.6,2.0,3.8,1.0,1.9,3.0,5.8,23K332
3,2006,All Students,40,682.0,2.0,5.0,4.0,10.0,22.0,55.0,12.0,30.0,34.0,85.0,21K238
8,2006,All Students,35,628.0,12.0,34.3,8.0,22.9,12.0,34.3,3.0,8.6,15.0,42.9,10X315
All Grades,2006,All Students,582,,29.0,5.0,112.0,19.2,310.0,53.3,131.0,22.5,441.0,75.8,24Q877
All Grades,2006,All Students,366,,10.0,2.7,28.0,7.7,159.0,43.4,169.0,46.2,328.0,89.6,02M116
5,2006,All Students,90,670.0,5.0,5.6,17.0,18.9,54.0,60.0,14.0,15.6,68.0,75.6,27Q065
7,2011,All Students,54,650.0,13.0,24.1,27.0,50.0,13.0,24.1,1.0,1.9,14.0,25.9,04M377
All Grades,2011,All Students,153,705.0,0.0,0.0,7.0,4.6,81.0,52.9,65.0,42.5,146.0,95.4,26Q191
6,2008,All Students,110,657.0,10.0,9.1,26.0,23.6,64.0,58.2,10.0,9.1,74.0,67.3,06M324
4,2011,All Students,74,660.0,16.0,21.6,36.0,48.6,18.0,24.3,4.0,5.4,22.0,29.7,23K631
8,2008,All Students,55,665.0,5.0,9.1,16.0,29.1,24.0,43.6,10.0,18.2,34.0,61.8,25Q200
4,2010,All Students,108,679.0,11.0,10.2,39.0,36.1,38.0,35.2,20.0,18.5,58.0,53.7,07X157
6,2010,All Students,177,671.0,22.0,12.4,77.0,43.5,49.0,27.7,29.0,16.4,78.0,44.1,19K218
3,2010,All Students,48,691.0,2.0,4.2,16.0,33.3,25.0,52.1,5.0,10.4,30.0,62.5,09X204
7,2006,All Students,422,658.0,38.0,9.0,143.0,33.9,176.0,41.7,65.0,15.4,241.0,57.1,25Q237
5,2011,All Students,67,731.0,0.0,0.0,1.0,1.5,8.0,11.9,58.0,86.6,66.0,98.5,01M184
8,2006,All Students,552,653.0,78.0,14.1,178.0,32.2,226.0,40.9,70.0,12.7,296.0,53.6,24Q125
All Grades,2010,All Students,444,,17.0,3.8,87.0,19.6,174.0,39.2,166.0,37.4,340.0,76.6,28Q139
All Grades,2010,All Students,366,,2.0,0.5,12.0,3.3,67.0,18.3,285.0,77.9,352.0,96.2,06M223
3,2010,All Students,121,688.0,9.0,7.4,56.0,46.3,35.0,28.9,21.0,17.4,56.0,46.3,27Q223
3,2007,All Students,112,694.0,0.0,0.0,3.0,2.7,70.0,62.5,39.0,34.8,109.0,97.3,02M041
5,2009,All Students,42,661.0,1.0,2.4,11.0,26.2,27.0,64.3,3.0,7.1,30.0,71.4,30Q111
All Grades,2010,All Students,981,,3.0,0.3,93.0,9.5,262.0,26.7,623.0,63.5,885.0,90.2,26Q074
5,2009,All Students,93,687.0,0.0,0.0,6.0,6.5,55.0,59.1,32.0,34.4,87.0,93.5,08X014
All Grades,2011,All Students,64,648.0,23.0,35.9,29.0,45.3,7.0,10.9,5.0,7.8,12.0,18.8,75K053
5,2007,All Students,65,695.0,1.0,1.5,2.0,3.1,36.0,55.4,26.0,40.0,62.0,95.4,04M182
8,2010,All Students,409,691.0,18.0,4.4,96.0,23.5,167.0,40.8,128.0,31.3,295.0,72.1,02M167
5,2010,All Students,78,728.0,0.0,0.0,1.0,1.3,17.0,21.8,60.0,76.9,77.0,98.7,14K031
All Grades,2009,All Students,351,,15.0,4.3,44.0,12.5,222.0,63.2,70.0,19.9,292.0,83.2,10X306
All Grades,2011,All Students,336,679.0,37.0,11.0,134.0,39.9,121.0,36.0,44.0,13.1,165.0,49.1,20K506
7,2006,All Students,13,601.0,7.0,53.8,5.0,38.5,1.0,7.7,0.0,0.0,1.0,7.7,75X010
5,2008,All Students,47,674.0,1.0,2.1,8.0,17.0,30.0,63.8,8.0,17.0,38.0,80.9,01M134
3,2010,All Students,50,697.0,3.0,6.0,19.0,38.0,16.0,32.0,12.0,24.0,28.0,56.0,15K295
5,2011,All Students,21,685.0,0.0,0.0,10.0,47.6,7.0,33.3,4.0,19.0,11.0,52.4,04M497
All Grades,2009,All Students,462,,14.0,3.0,137.0,29.7,281.0,60.8,30.0,6.5,311.0,67.3,06M322
All Grades,2009,All Students,219,,8.0,3.7,53.0,24.2,143.0,65.3,15.0,6.8,158.0,72.1,12X190
7,2011,All Students,344,688.0,14.0,4.1,73.0,21.2,107.0,31.1,150.0,43.6,257.0,74.7,02M104
3,2007,All Students,77,672.0,0.0,0.0,18.0,23.4,51.0,66.2,8.0,10.4,59.0,76.6,31R031
6,2010,All Students,388,666.0,60.0,15.5,167.0,43.0,98.0,25.3,63.0,16.2,161.0,41.5,31R061
6,2009,All Students,46,647.0,4.0,8.7,24.0,52.2,17.0,37.0,1.0,2.2,18.0,39.1,12X245
5,2010,All Students,100,669.0,10.0,10.0,50.0,50.0,29.0,29.0,11.0,11.0,40.0,40.0,19K202
4,2007,All Students,105,674.0,7.0,6.7,14.0,13.3,63.0,60.0,21.0,20.0,84.0,80.0,22K251
7,2009,All Students,67,647.0,2.0,3.0,38.0,56.7,26.0,38.8,1.0,1.5,27.0,40.3,13K596
All Grades,2007,All Students,190,,7.0,3.7,27.0,14.2,108.0,56.8,48.0,25.3,156.0,82.1,14K017
All Grades,2008,All Students,402,,14.0,3.5,30.0,7.5,216.0,53.7,142.0,35.3,358.0,89.1,31R030
4,2006,All Students,80,680.0,9.0,11.3,7.0,8.8,37.0,46.3,27.0,33.8,64.0,80.0,08X304
4,2010,All Students,49,652.0,10.0,20.4,29.0,59.2,9.0,18.4,1.0,2.0,10.0,20.4,05M133
3,2007,All Students,46,716.0,0.0,0.0,0.0,0.0,15.0,32.6,31.0,67.4,46.0,100.0,22K277
4,2008,All Students,33,660.0,4.0,12.1,8.0,24.2,19.0,57.6,2.0,6.1,21.0,63.6,01M140
4,2008,All Students,8,679.0,0.0,0.0,0.0,0.0,8.0,100.0,0.0,0.0,8.0,100.0,75X188
3,2009,All Students,245,687.0,1.0,0.4,13.0,5.3,177.0,72.2,54.0,22.0,231.0,94.3,11X105
4,2011,All Students,120,713.0,0.0,0.0,11.0,9.2,38.0,31.7,71.0,59.2,109.0,90.8,26Q162
4,2009,All Students,37,693.0,2.0,5.4,3.0,8.1,16.0,43.2,16.0,43.2,32.0,86.5,09X004
3,2008,All Students,21,624.0,8.0,38.1,7.0,33.3,6.0,28.6,0.0,0.0,6.0,28.6,75Q224
All Grades,2009,All Students,374,,13.0,3.5,52.0,13.9,259.0,69.3,50.0,13.4,309.0,82.6,10X009
7,2010,All Students,20,700.0,0.0,0.0,1.0,5.0,6.0,30.0,13.0,65.0,19.0,95.0,02M442
7,2008,All Students,240,639.0,29.0,12.1,127.0,52.9,81.0,33.8,3.0,1.3,84.0,35.0,32K291
8,2007,All Students,85,688.0,0.0,0.0,1.0,1.2,60.0,70.6,24.0,28.2,84.0,98.8,18K235
7,2011,All Students,47,663.0,3.0,6.4,27.0,57.4,12.0,25.5,5.0,10.6,17.0,36.2,13K571
4,2006,All Students,48,687.0,2.0,4.2,6.0,12.5,25.0,52.1,15.0,31.3,40.0,83.3,26Q186
All Grades,2007,All Students,721,,106.0,14.7,253.0,35.1,316.0,43.8,46.0,6.4,362.0,50.2,18K211
5,2008,All Students,64,668.0,3.0,4.7,11.0,17.2,43.0,67.2,7.0,10.9,50.0,78.1,03M145
5,2006,All Students,160,679.0,1.0,0.6,30.0,18.8,89.0,55.6,40.0,25.0,129.0,80.6,30Q152
3,2010,All Students,45,703.0,1.0,2.2,8.0,17.8,22.0,48.9,14.0,31.1,36.0,80.0,26Q178
All Grades,2006,All Students,577,,40.0,6.9,75.0,13.0,232.0,40.2,230.0,39.9,462.0,80.1,20K176
3,2010,All Students,53,694.0,2.0,3.8,17.0,32.1,23.0,43.4,11.0,20.8,34.0,64.2,16K025
6,2006,All Students,75,640.0,15.0,20.0,20.0,26.7,38.0,50.7,2.0,2.7,40.0,53.3,23K155
5,2007,All Students,93,696.0,4.0,4.3,6.0,6.5,40.0,43.0,43.0,46.2,83.0,89.2,02M001
All Grades,2006,All Students,225,,22.0,9.8,35.0,15.6,107.0,47.6,61.0,27.1,168.0,74.7,14K380
7,2006,All Students,3,,,,,,,,,,,,75Q233
4,2006,All Students,53,660.0,7.0,13.2,10.0,18.9,31.0,58.5,5.0,9.4,36.0,67.9,03M242
All Grades,2010,All Students,157,,23.0,14.6,67.0,42.7,52.0,33.1,15.0,9.6,67.0,42.7,04M155
6,2006,All Students,99,665.0,5.0,5.1,26.0,26.3,53.0,53.5,15.0,15.2,68.0,68.7,02M413
5,2007,All Students,45,661.0,2.0,4.4,15.0,33.3,26.0,57.8,2.0,4.4,28.0,62.2,03M180
5,2009,All Students,72,673.0,3.0,4.2,11.0,15.3,43.0,59.7,15.0,20.8,58.0,80.6,32K384
5,2011,All Students,94,671.0,9.0,9.6,43.0,45.7,36.0,38.3,6.0,6.4,42.0,44.7,32K106
All Grades,2010,All Students,60,,0.0,0.0,0.0,0.0,14.0,25.3,46.0,76.7,60.0,100.0,25Q130
7,2009,All Students,91,699.0,0.0,0.0,0.0,0.0,38.0,41.8,53.0,58.2,91.0,100.0,28Q680
8,2007,All Students,77,643.0,8.0,10.4,36.0,46.8,33.0,42.9,0.0,0.0,33.0,42.9,13K301
4,2011,All Students,67,678.0,3.0,4.5,27.0,40.3,27.0,40.3,10.0,14.9,37.0,55.2,07X029
3,2009,All Students,66,669.0,3.0,4.5,7.0,10.6,51.0,77.3,5.0,7.6,56.0,84.8,05M154
7,2007,All Students,54,665.0,0.0,0.0,10.0,18.5,38.0,70.4,6.0,11.1,44.0,81.5,23K697
4,2010,All Students,52,659.0,13.0,25.0,29.0,55.8,5.0,9.6,5.0,9.6,10.0,19.2,12X044
6,2007,All Students,62,686.0,2.0,3.2,5.0,8.1,31.0,50.0,24.0,38.7,55.0,88.7,25Q164
6,2010,All Students,94,673.0,10.0,10.6,35.0,37.2,32.0,34.0,17.0,18.1,49.0,52.1,08X371
6,2010,All Students,70,643.0,26.0,37.1,36.0,51.4,8.0,11.4,0.0,0.0,8.0,11.4,14K586
All Grades,2008,All Students,1389,,32.0,2.3,148.0,10.7,849.0,61.1,360.0,25.9,1209.0,87.0,14K318
4,2007,All Students,62,699.0,0.0,0.0,5.0,8.1,28.0,45.2,29.0,46.8,57.0,91.9,21K216
7,2009,All Students,98,664.0,4.0,4.1,15.0,15.3,71.0,72.4,8.0,8.2,79.0,80.6,12X211
4,2007,All Students,253,660.0,26.0,10.3,70.0,27.7,130.0,51.4,27.0,10.7,157.0,62.1,09X070
5,2008,All Students,175,660.0,18.0,10.3,43.0,24.6,85.0,48.6,29.0,16.6,114.0,65.1,31R016
All Grades,2007,All Students,923,,85.0,9.2,235.0,25.5,448.0,48.5,155.0,16.8,603.0,65.3,10X095
4,2008,All Students,83,669.0,5.0,6.0,13.0,15.7,52.0,62.7,13.0,15.7,65.0,78.3,29Q052
4,2006,All Students,61,649.0,10.0,16.4,21.0,34.4,28.0,45.9,2.0,3.3,30.0,49.2,23K073
4,2007,All Students,61,695.0,0.0,0.0,5.0,8.2,33.0,54.1,23.0,37.7,56.0,91.8,14K034
7,2011,All Students,289,671.0,20.0,6.9,107.0,37.0,112.0,38.8,50.0,17.3,162.0,56.1,31R002
8,2007,All Students,46,653.0,2.0,4.3,20.0,43.5,24.0,52.2,0.0,0.0,24.0,52.2,03M333
4,2007,All Students,103,665.0,3.0,2.9,30.0,29.1,60.0,58.3,10.0,9.7,70.0,68.0,16K021
7,2009,All Students,255,669.0,4.0,1.6,50.0,19.6,166.0,65.1,35.0,13.7,201.0,78.8,30Q204
All Grades,2006,All Students,846,,106.0,12.5,251.0,29.7,343.0,40.5,146.0,17.3,489.0,57.8,25Q237
7,2009,All Students,152,657.0,3.0,2.0,49.0,32.2,94.0,61.8,6.0,3.9,100.0,65.8,09X232
3,2007,All Students,112,672.0,14.0,12.5,15.0,13.4,58.0,51.8,25.0,22.3,83.0,74.1,08X130
8,2010,All Students,21,670.0,1.0,4.8,10.0,47.6,9.0,42.9,1.0,4.8,10.0,47.6,30Q084
8,2009,All Students,227,685.0,2.0,0.9,16.0,7.0,154.0,67.8,55.0,24.2,209.0,92.1,21K303
3,2009,All Students,169,698.0,0.0,0.0,10.0,5.9,97.0,57.4,62.0,36.7,159.0,94.1,30Q070
5,2008,All Students,39,710.0,0.0,0.0,0.0,0.0,13.0,33.3,26.0,66.7,39.0,100.0,31R005
All Grades,2008,All Students,438,,24.0,5.5,86.0,19.6,287.0,65.5,41.0,9.4,328.0,74.9,05M046
7,2011,All Students,74,666.0,4.0,5.4,40.0,54.1,27.0,36.5,3.0,4.1,30.0,40.5,11X462
5,2008,All Students,134,669.0,5.0,3.7,24.0,17.9,86.0,64.2,19.0,14.2,105.0,78.4,32K274
All Grades,2008,All Students,211,,34.0,16.1,53.0,25.1,107.0,50.7,17.0,8.1,124.0,58.8,09X230
All Grades,2011,All Students,742,674.0,81.0,10.9,320.0,43.1,253.0,34.1,88.0,11.9,341.0,46.0,30Q127
7,2011,All Students,96,713.0,0.0,0.0,5.0,5.2,11.0,11.5,80.0,83.3,91.0,94.8,02M126
All Grades,2009,All Students,269,,19.0,7.1,59.0,21.9,163.0,60.6,28.0,10.4,191.0,71.0,28Q030
7,2010,All Students,107,684.0,0.0,0.0,15.0,14.0,64.0,59.8,28.0,26.2,92.0,86.0,18K235
7,2011,All Students,67,687.0,0.0,0.0,13.0,19.4,29.0,43.3,25.0,37.3,54.0,80.6,11X019
6,2008,All Students,54,647.0,9.0,16.7,14.0,25.9,31.0,57.4,0.0,0.0,31.0,57.4,19K174
5,2008,All Students,23,685.0,0.0,0.0,0.0,0.0,15.0,65.2,8.0,34.8,23.0,100.0,23K323
3,2006,All Students,125,657.0,17.0,13.6,32.0,25.6,61.0,48.8,15.0,12.0,76.0,60.8,10X059
3,2010,All Students,100,703.0,2.0,2.0,23.0,23.0,45.0,45.0,30.0,30.0,75.0,75.0,31R041
5,2011,All Students,117,678.0,17.0,14.5,35.0,29.9,46.0,39.3,19.0,16.2,65.0,55.6,10X091
7,2009,All Students,67,662.0,1.0,1.5,15.0,22.4,44.0,65.7,7.0,10.4,51.0,76.1,17K354
5,2006,All Students,81,636.0,22.0,27.2,31.0,38.3,25.0,30.9,3.0,3.7,28.0,34.6,23K155
All Grades,2008,All Students,1136,,53.0,4.7,203.0,17.9,639.0,56.3,241.0,21.2,880.0,77.5,27Q202
4,2007,All Students,113,678.0,2.0,1.8,13.0,11.5,72.0,63.7,26.0,23.0,98.0,86.7,22K119
8,2007,All Students,363,620.0,151.0,41.6,151.0,41.6,61.0,16.8,0.0,0.0,61.0,16.8,17K246
All Grades,2011,All Students,437,680.0,22.0,5.0,160.0,36.6,144.0,33.0,111.0,25.4,255.0,58.4,14K577
6,2008,All Students,51,672.0,1.0,2.0,8.0,15.7,34.0,66.7,8.0,15.7,42.0,82.4,13K266
6,2009,All Students,44,686.0,1.0,2.3,5.0,11.4,22.0,50.0,16.0,36.4,38.0,86.4,26Q178
All Grades,2010,All Students,455,,54.0,11.9,152.0,33.4,153.0,33.6,96.0,21.1,249.0,54.7,08X119
All Grades,2008,All Students,157,,7.0,4.5,19.0,12.1,97.0,61.8,34.0,21.7,131.0,83.4,21K128
3,2006,All Students,85,676.0,16.0,18.8,9.0,10.6,32.0,37.6,28.0,32.9,60.0,70.6,30Q076
All Grades,2010,All Students,234,,41.0,17.5,140.0,59.8,43.0,18.4,10.0,4.3,53.0,22.6,07X221
3,2007,All Students,79,721.0,0.0,0.0,1.0,1.3,29.0,36.7,49.0,62.0,78.0,98.7,26Q188
7,2011,All Students,63,632.0,32.0,50.8,26.0,41.3,5.0,7.9,0.0,0.0,5.0,7.9,75R025
7,2006,All Students,479,651.0,66.0,13.8,134.0,28.0,231.0,48.2,48.0,10.0,279.0,58.2,20K259
All Grades,2007,All Students,344,,10.0,2.9,60.0,17.4,201.0,58.4,73.0,21.2,274.0,79.7,04M171
8,2010,All Students,214,650.0,75.0,35.0,95.0,44.4,32.0,15.0,12.0,5.6,44.0,20.6,10X080
3,2007,All Students,75,666.0,11.0,14.7,12.0,16.0,41.0,54.7,11.0,14.7,52.0,69.3,09X110
3,2006,All Students,139,680.0,10.0,7.2,9.0,6.5,88.0,63.3,32.0,23.0,120.0,86.3,15K001
6,2006,All Students,184,626.0,60.0,32.6,82.0,44.6,38.0,20.7,4.0,2.2,42.0,22.8,09X058
All Grades,2010,All Students,276,,5.0,1.8,43.0,15.6,110.0,39.9,118.0,42.8,228.0,82.6,03M862
7,2009,All Students,73,663.0,3.0,4.1,15.0,20.5,47.0,64.4,8.0,11.0,55.0,75.3,12X267
3,2006,All Students,54,643.0,12.0,22.2,20.0,37.0,22.0,40.7,0.0,0.0,22.0,40.7,03M241
4,2009,All Students,41,674.0,6.0,14.6,5.0,12.2,19.0,46.3,11.0,26.8,30.0,73.2,01M363
5,2010,All Students,88,693.0,1.0,1.1,16.0,18.2,49.0,55.7,22.0,25.0,71.0,80.7,11X108
All Grades,2006,All Students,152,,2.0,1.3,18.0,11.8,104.0,68.4,28.0,18.4,132.0,86.8,13K270
6,2010,All Students,172,652.0,41.0,23.8,92.0,53.5,29.0,16.9,10.0,5.8,39.0,22.7,17K246
7,2009,All Students,57,668.0,0.0,0.0,8.0,14.0,49.0,86.0,0.0,0.0,49.0,86.0,03M250
All Grades,2011,All Students,629,661.0,125.0,19.9,287.0,45.6,165.0,26.2,52.0,8.3,217.0,34.5,06M143
7,2011,All Students,532,669.0,53.0,10.0,207.0,38.9,179.0,33.6,93.0,17.5,272.0,51.1,29Q238
4,2010,All Students,250,715.0,3.0,1.2,32.0,12.8,70.0,28.0,145.0,58.0,215.0,86.0,20K105
5,2006,All Students,86,698.0,0.0,0.0,1.0,1.2,45.0,52.3,40.0,46.5,85.0,98.8,26Q159
7,2010,All Students,82,666.0,8.0,9.8,37.0,45.1,28.0,34.1,9.0,11.0,37.0,45.1,12X271
3,2010,All Students,74,672.0,21.0,28.4,31.0,41.9,17.0,23.0,5.0,6.8,22.0,29.7,17K022
All Grades,2011,All Students,226,656.0,43.0,19.0,118.0,52.2,55.0,24.3,10.0,4.4,65.0,28.8,23K493
All Grades,2007,All Students,333,,28.0,8.4,106.0,31.8,169.0,50.8,30.0,9.0,199.0,59.8,02M111
8,2009,All Students,64,683.0,0.0,0.0,4.0,6.3,46.0,71.9,14.0,21.9,60.0,93.8,27Q146
All Grades,2011,All Students,221,667.0,28.0,12.7,94.0,42.5,80.0,36.2,19.0,8.6,99.0,44.8,07X551
3,2011,All Students,78,681.0,11.0,14.1,33.0,42.3,26.0,33.3,8.0,10.3,34.0,43.6,32K377
7,2011,All Students,138,651.0,32.0,23.2,89.0,64.5,16.0,11.6,1.0,0.7,17.0,12.3,27Q053
4,2006,All Students,219,660.0,29.0,13.2,48.0,21.9,116.0,53.0,26.0,11.9,142.0,64.8,06M152
6,2011,All Students,60,666.0,8.0,13.3,29.0,48.3,19.0,31.7,4.0,6.7,23.0,38.3,23K155
All Grades,2009,All Students,174,,79.0,45.4,62.0,35.6,33.0,19.0,0.0,0.0,33.0,19.0,75K368
4,2008,All Students,137,698.0,1.0,0.7,10.0,7.3,59.0,43.1,67.0,48.9,126.0,92.0,31R054
4,2010,All Students,192,687.0,6.0,3.1,66.0,34.4,73.0,38.0,47.0,24.5,120.0,62.5,27Q062
3,2011,All Students,89,677.0,18.0,20.2,41.0,46.1,27.0,30.3,3.0,3.4,30.0,33.7,29Q147
All Grades,2008,All Students,15,,4.0,26.7,4.0,26.7,5.0,33.3,2.0,13.3,7.0,46.7,75Q811
4,2011,All Students,54,692.0,0.0,0.0,11.0,20.4,35.0,64.8,8.0,14.8,43.0,79.6,06M278
All Grades,2008,All Students,179,,14.0,7.8,104.0,58.1,60.0,33.5,1.0,0.6,61.0,34.1,12X245
3,2007,All Students,128,689.0,4.0,3.1,7.0,5.5,81.0,63.3,36.0,28.1,117.0,91.4,31R069
5,2006,All Students,159,679.0,12.0,7.5,21.0,13.2,68.0,42.8,58.0,36.5,126.0,79.2,15K230
8,2011,All Students,52,672.0,5.0,9.6,17.0,32.7,29.0,55.8,1.0,1.9,30.0,57.7,03M250
All Grades,2006,All Students,637,,86.0,13.5,200.0,31.4,305.0,47.9,46.0,7.2,351.0,55.1,06M115
7,2011,All Students,13,730.0,0.0,0.0,0.0,0.0,2.0,15.4,11.0,84.6,13.0,100.0,03M859
8,2011,All Students,59,678.0,2.0,3.4,22.0,37.3,30.0,50.8,5.0,8.5,35.0,59.3,03M247
All Grades,2008,All Students,883,,22.0,2.5,131.0,14.8,543.0,61.5,187.0,21.2,730.0,82.7,28Q086
All Grades,2008,All Students,245,,10.0,4.1,28.0,11.4,155.0,63.3,52.0,21.2,207.0,84.5,29Q015
All Grades,2009,All Students,798,,16.0,2.0,177.0,22.2,517.0,64.8,88.0,11.0,605.0,75.8,29Q059
5,2011,All Students,211,685.0,7.0,3.3,71.0,33.6,86.0,40.8,47.0,22.3,133.0,63.0,29Q135
8,2006,All Students,13,560.0,12.0,92.3,0.0,0.0,1.0,7.7,0.0,0.0,1.0,7.7,75X012
8,2010,All Students,58,663.0,11.0,19.0,30.0,51.7,12.0,20.7,5.0,8.6,17.0,29.3,17K353
4,2011,All Students,123,688.0,3.0,2.4,33.0,26.8,63.0,51.2,24.0,19.5,87.0,70.7,13K282
6,2007,All Students,61,724.0,0.0,0.0,0.0,0.0,14.0,23.0,47.0,77.0,61.0,100.0,03M334
3,2006,All Students,204,661.0,23.0,11.3,41.0,20.1,118.0,57.8,22.0,10.8,140.0,68.6,06M152
6,2011,All Students,30,682.0,0.0,0.0,10.0,33.3,14.0,46.7,6.0,20.0,20.0,66.7,27Q096
5,2006,All Students,74,692.0,5.0,6.8,6.0,8.1,27.0,36.5,36.0,48.6,63.0,85.1,25Q169
6,2009,All Students,21,703.0,0.0,0.0,1.0,4.8,9.0,42.9,11.0,52.4,20.0,95.2,21K121
7,2009,All Students,234,660.0,9.0,3.8,69.0,29.5,135.0,57.7,21.0,9.0,156.0,66.7,19K171
4,2007,All Students,102,657.0,15.0,14.7,24.0,23.5,52.0,51.0,11.0,10.8,63.0,61.8,08X075
3,2008,All Students,146,703.0,0.0,0.0,3.0,2.1,83.0,56.8,60.0,41.1,143.0,97.9,31R032
4,2006,All Students,89,656.0,9.0,10.1,27.0,30.3,47.0,52.8,6.0,6.7,53.0,59.6,05M197
All Grades,2007,All Students,634,,59.0,9.3,150.0,23.7,312.0,49.2,113.0,17.8,425.0,67.0,21K225
7,2007,All Students,86,687.0,0.0,0.0,5.0,5.8,52.0,60.5,29.0,33.7,81.0,94.2,28Q680
5,2007,All Students,37,615.0,17.0,45.9,15.0,40.5,4.0,10.8,1.0,2.7,5.0,13.5,75Q075
3,2006,All Students,76,658.0,10.0,13.2,21.0,27.6,36.0,47.4,9.0,11.8,45.0,59.2,14K084
6,2009,All Students,144,715.0,0.0,0.0,0.0,0.0,32.0,22.2,112.0,77.8,144.0,100.0,06M223
3,2009,All Students,85,667.0,1.0,1.2,14.0,16.5,65.0,76.5,5.0,5.9,70.0,82.4,08X107
All Grades,2009,All Students,126,,2.0,1.6,10.0,7.9,86.0,68.3,28.0,22.2,114.0,90.5,31R011
4,2009,All Students,67,664.0,13.0,19.4,13.0,19.4,35.0,52.2,6.0,9.0,41.0,61.2,23K284
