school/math.Grade,school/math.Year,school/math.Category,school/math.Number Tested,school/math.Mean Scale Score,school/math.Level 1 #,school/math.Level 1 %,school/math.Level 2 #,school/math.Level 2 %,school/math.Level 3 #,school/math.Level 3 %,school/math.Level 4 #,school/math.Level 4 %,school/math.Level 3+4 #,school/math.Level 3+4 %,DBN
3,2009,All Students,92,680.0,1.0,1.1,9.0,9.8,71.0,77.2,11.0,12.0,82.0,89.1,27Q123
7,2009,All Students,361,683.0,7.0,1.9,30.0,8.3,194.0,53.7,130.0,36.0,324.0,89.8,27Q202
6,2010,All Students,78,667.0,8.0,10.3,28.0,35.9,37.0,47.4,5.0,6.4,42.0,53.8,12X211
8,2011,All Students,163,676.0,11.0,6.7,60.0,36.8,79.0,48.5,13.0,8.0,92.0,56.4,10X095
6,2008,All Students,75,661.0,7.0,9.3,20.0,26.7,37.0,49.3,11.0,14.7,48.0,64.0,23K327
8,2010,All Students,125,672.0,14.0,11.2,49.0,39.2,48.0,38.4,14.0,11.2,62.0,49.6,10X279
6,2009,All Students,81,678.0,0.0,0.0,13.0,16.0,52.0,64.2,16.0,19.8,68.0,84.0,17K181
All Grades,2010,All Students,162,,40.0,24.7,89.0,54.9,28.0,17.3,5.0,3.1,33.0,20.4,01M292
8,2011,All Students,142,724.0,0.0,0.0,1.0,0.7,22.0,15.5,119.0,83.8,141.0,99.3,01M539
All Grades,2009,All Students,701,,28.0,4.0,182.0,26.0,396.0,56.5,95.0,13.6,491.0,70.0,11X127
5,2009,All Students,100,685.0,1.0,1.0,7.0,7.0,64.0,64.0,28.0,28.0,92.0,92.0,30Q002
3,2009,All Students,131,679.0,1.0,0.8,14.0,10.7,97.0,74.0,19.0,14.5,116.0,88.5,18K233
5,2007,All Students,218,683.0,3.0,1.4,35.0,16.1,105.0,48.2,75.0,34.4,180.0,82.6,24Q013
3,2008,All Students,179,680.0,3.0,1.7,17.0,9.5,134.0,74.9,25.0,14.0,159.0,88.8,12X047
6,2011,All Students,424,708.0,0.0,0.0,28.0,6.6,149.0,35.1,247.0,58.3,396.0,93.4,21K098
6,2008,All Students,112,664.0,6.0,5.4,23.0,20.5,69.0,61.6,14.0,12.5,83.0,74.1,29Q147
All Grades,2008,All Students,471,,1.0,0.2,21.0,4.5,290.0,61.6,159.0,33.8,449.0,95.3,28Q161
All Grades,2011,All Students,142,697.0,1.0,0.7,26.0,18.3,77.0,54.2,38.0,26.8,115.0,81.0,15K039
5,2008,All Students,13,691.0,0.0,0.0,1.0,7.7,9.0,69.2,3.0,23.1,12.0,92.3,12X691
4,2006,All Students,86,680.0,6.0,7.0,11.0,12.8,47.0,54.7,22.0,25.6,69.0,80.2,27Q065
All Grades,2006,All Students,255,,12.0,4.7,20.0,7.8,128.0,50.2,95.0,37.3,223.0,87.5,24Q007
All Grades,2008,All Students,230,,7.0,3.0,10.0,4.3,104.0,45.2,109.0,47.4,213.0,92.6,02M001
4,2011,All Students,76,675.0,3.0,3.9,41.0,53.9,26.0,34.2,6.0,7.9,32.0,42.1,31R021
5,2006,All Students,37,676.0,2.0,5.4,9.0,24.3,14.0,37.8,12.0,32.4,26.0,70.3,27Q096
All Grades,2009,All Students,434,,38.0,8.8,82.0,18.9,273.0,62.9,41.0,9.4,314.0,72.4,31R016
4,2006,All Students,61,656.0,11.0,18.0,13.0,21.3,25.0,41.0,12.0,19.7,37.0,60.7,15K038
4,2011,All Students,112,690.0,6.0,5.4,33.0,29.5,40.0,35.7,33.0,29.5,73.0,65.2,10X081
All Grades,2008,All Students,237,,5.0,2.1,52.0,21.9,150.0,63.3,30.0,12.7,180.0,75.9,29Q259
3,2008,All Students,34,684.0,0.0,0.0,0.0,0.0,29.0,85.3,5.0,14.7,34.0,100.0,14K018
5,2008,All Students,112,669.0,5.0,4.5,14.0,12.5,79.0,70.5,14.0,12.5,93.0,83.0,11X021
All Grades,2009,All Students,219,,11.0,5.0,43.0,19.6,145.0,66.2,20.0,9.1,165.0,75.3,30Q111
6,2010,All Students,122,654.0,27.0,22.1,48.0,39.3,43.0,35.2,4.0,3.3,47.0,38.5,08X424
8,2008,All Students,66,645.0,5.0,7.6,35.0,53.0,25.0,37.9,1.0,1.5,26.0,39.4,09X250
4,2011,All Students,115,675.0,7.0,6.1,48.0,41.7,52.0,45.2,8.0,7.0,60.0,52.2,10X059
All Grades,2010,All Students,1342,,135.0,10.1,520.0,38.7,443.0,33.0,244.0,18.2,687.0,51.2,28Q217
3,2009,All Students,137,684.0,0.0,0.0,10.0,7.3,102.0,74.5,25.0,18.2,127.0,92.7,11X121
All Grades,2009,All Students,378,,2.0,0.5,25.0,6.6,201.0,53.2,150.0,39.7,351.0,92.9,24Q199
4,2008,All Students,202,670.0,8.0,4.0,41.0,20.3,125.0,61.9,28.0,13.9,153.0,75.7,12X047
7,2011,All Students,21,699.0,0.0,0.0,2.0,9.5,5.0,23.8,14.0,66.7,19.0,90.5,27Q047
6,2010,All Students,63,668.0,7.0,11.1,29.0,46.0,23.0,36.5,4.0,6.3,27.0,42.9,23K178
