DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,2012-2013PERFORMANCE GRADE,2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
16K393,16,Frederick Douglass Academy IV Secondary School,Elvin Crespo,HS,High School,B,58.1,32.79,24.8,C,13.6,B,10.9,B,2.9,D,5.85,D,C,B
16K455,16,Boys and Girls High School,Bernard Gassaway,HS,High School,F,35.8,3.79,15.1,D,4.4,F,10.8,B,2.1,F,3.37,F,F,C
16K498,16,Brooklyn High School for Law and Technology,Michael Prayor,HS,High School,B,60.2,39.84,27,C,10.4,C,12.8,A,4.1,C,5.86,A,B,A
16K534,16,Upper School @ P.S. 25,Ativia Sandusky,EMS,Middle,C,40.1,12.92,25.6,C,4.1,F,7.3,C,.,.,3.1,D,B,C
16K584,16,M.S. 584,Gilleyan J. Hargrove,EMS,Middle,C,51,35.11,30.5,B,6,F,11,B,.,.,3.5,C,C,C
16K594,16,Gotham Professional Arts Academy,Alexander White,HS,High School,B,63.8,53.12,35.8,B,8,C,10.8,B,4.6,C,4.59,B,F,
16K627,16,Brighter Choice Community School,Fabayo Mcintosh,EMS,Elementary,A,78.3,96.39,42.7,A,19.4,A,10.2,A,.,.,6,A,.,D
16K628,16,Brooklyn Brownstone School,Nakia Haskins,EMS,Elementary,B,50.6,47.21,30.6,B,9,C,9.7,A,.,.,1.2,B,.,.
16K636,16,Young Scholars' Academy for Discovery and Explor,Danika Rux,EMS,Elementary,C,41.3,20.66,19,D,10.6,C,10.2,A,.,.,1.5,A,A,A
16K681,16,Madiba Prep Middle School,Sharon Stephens,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,,
16K688,16,The Brooklyn Academy of Global Finance,Dannielle Darbee,HS,High School,F,28.3,0.81,9.1,F,8.1,C,7.5,C,0.8,F,2.71,,,
16K959,16,BOYS AND GIRLS YABC,,YABC,YABC,.,.,.,.,.,.,.,.,.,.,.,.,,,
17K002,17,M.S. 002,Adrienne Spencer,EMS,Middle,C,43.4,17.13,17.5,C,13.4,B,9.4,B,.,.,3.1,B,B,B
17K006,17,P.S. 006,Ellen Carlisle,EMS,Elementary,B,49.5,42.79,22.7,C,13.9,B,9.9,A,.,.,3,A,B,B
17K012,17,P.S. 012,Nyree Dixon,EMS,Elementary,F,26.6,1.64,13.8,F,7.7,C,3.3,C,.,.,1.8,B,C,B
17K022,17,P.S. 022,Carlen Padmore-Gateau,EMS,Elementary,,.,.,.,,.,,.,,.,.,.,,F,C
17K061,17,M.S. 061 Dr. Gladstone H. Atwell,Sandra Taylor,EMS,Middle,D,34.4,7.3,16.5,C,9.7,C,5.6,D,.,.,2.6,C,C,C
17K091,17,P.S. 091 The Albany Avenue School,Tessa Alleyne,EMS,Elementary,C,47.3,35.25,32.3,B,8.1,C,3.7,C,.,.,3.2,C,D,C
17K092,17,P.S. 092 Adrian Hegeman,Ms. Diana Rahmaan,EMS,Elementary,C,42.9,25.08,26.2,C,6.9,D,7.6,B,.,.,2.2,D,C,C
17K122,17,Pathways in Technology Early College High School (P-Tech),Rashid Davis,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
17K138,17,P.S. 138 Brooklyn,Ms. Marie Chauvet-Monchik,EMS,K-8,A,63.5,76.83,37.7,A,13.9,B,7.9,B,.,.,4,A,B,A
17K161,17,P.S. 161 The Crown,Michael Johnson,EMS,K-8,B,59.7,64.63,39.5,A,11.3,C,6.6,C,.,.,2.3,F,D,C
17K167,17,P.S. 167 The Parkway,Marc Mardy,EMS,Elementary,,.,.,.,,.,,.,,.,.,.,D,C,C
17K181,17,P.S. 181 Brooklyn,Lowell Coleman,EMS,K-8,C,43.9,15.85,28.1,C,9.7,C,2.2,F,.,.,3.9,C,B,C
17K189,17,P.S. 189 Lincoln Terrace,Ms. Berthe G. Faustin,EMS,K-8,C,53.1,37.8,25.5,C,15.6,B,8,B,.,.,4,B,A,B
17K191,17,P.S. 191 Paul Robeson,Mrs. Elsi Capolongo,EMS,Elementary,D,31.1,3.93,15.4,D,9.5,C,2.9,C,.,.,3.3,B,B,C
17K221,17,P.S. 221 Toussaint L'Ouverture,Clara Moodie-Kirkland,EMS,Elementary,B,52.1,52.62,30.1,B,10.1,C,8.8,B,.,.,3.1,D,A,C
17K241,17,P.S. 241 Emma L. Johnston,Frantz Lucius,EMS,Elementary,B,59.3,71.8,35,B,14.6,B,7.4,B,.,.,2.3,B,A,C
17K246,17,M.S. 246 Walt Whitman,Bently Warrington,EMS,Middle,B,57.4,50.28,35.1,B,9.7,C,8.9,B,.,.,3.7,B,B,B
17K249,17,P.S. 249 The Caton,Ms. Elisa Brown,EMS,Elementary,A,79.9,97.54,42.8,A,23.1,A,11.4,A,.,.,2.6,A,A,A
17K289,17,P.S. 289 George V. Brower,Mr. Dennis O. Jeffers,EMS,Elementary,A,61.4,77.54,40.7,A,14.6,B,2.3,D,.,.,3.8,B,C,B
17K316,17,P.S. 316 Elijah Stroud,Olga Maluf,EMS,Elementary,A,62.7,80,36.7,A,13.6,B,9.1,A,.,.,3.1,B,C,A
17K334,17,Middle School for Academic and Social Excellence,Andrea Whitehurst,EMS,Middle,C,47.4,26.69,29,B,8.3,C,6.4,C,.,.,3.6,D,C,B
17K340,17,I.S. 340,Mrs. Jean Williams,EMS,Middle,C,35.4,8.15,17.9,C,8.8,C,7.2,C,.,.,1.5,C,C,B
17K352,17,Ebbets Field Middle School,Margie Baker,EMS,Middle,C,48.8,29.78,27.7,C,8.7,C,7.1,C,.,.,5.3,C,B,B
17K353,17,Elijah Stroud Middle School,Tricia Delauney,EMS,Middle,D,34.9,7.87,13,D,8.9,C,10.7,B,.,.,2.3,C,B,A
17K354,17,The School of Integrated Learning,Monique Campbell,EMS,Middle,A,69.3,77.81,32.9,B,18.5,A,12.1,A,.,.,5.8,A,B,A
17K375,17,P.S. 375 Jackie-Robinson School,Dr. Marion Wilson,EMS,Elementary,B,50.5,46.72,28.4,B,12,B,6.9,B,.,.,3.2,C,A,B
17K382,17,Academy for College Preparation and Career Explo,Doris Unger,EMS,Middle,D,36.1,8.71,14.1,D,8.9,C,8.3,C,.,.,4.8,C,B,D
17K382,17,Academy for College Preparation and Career Exploration: A College Board School,Doris Unger,HS,High School,B,63.8,53.12,32.8,B,11.4,C,8.1,C,6.3,B,5.18,B,D,B
17K394,17,M.S. K394,Ms. Claudette Murray,EMS,K-8,B,60.1,65.85,35.3,B,10.6,C,9.1,B,.,.,5.1,C,B,C
17K397,17,P.S. 397 Foster-Laurie,Nancy Colon,EMS,Elementary,C,42.2,22.79,24.9,C,6.9,D,8.7,B,.,.,1.7,C,B,B
17K398,17,P.S. 398 Walter Weaver,Tammy Katan Brown,EMS,Elementary,B,53,55.57,35.7,B,8.7,C,4.4,C,.,.,4.2,F,B,B
17K399,17,P.S. 399 Stanley Eugene Clark,Marion J. Brown,EMS,Elementary,C,46.9,34.43,25.6,C,13.6,B,6.5,B,.,.,1.2,B,B,A
17K408,17,Academy of Hospitality and Tourism,Adam Breier,HS,High School,C,52.2,20.6,23.3,C,9.7,C,10.4,B,4.3,C,4.51,C,B,D
17K467,17,Erasmus Yabc,Angela Pugh Roberson,YABC,YABC,B,58.1,.,31.5,B,7.3,B,10.1,B,3.7,C,5.51,B,C,B
17K484,17,Ronald Edmonds Learning Center II,Michele Luard,EMS,Middle,B,56.3,47.75,32.7,B,11.1,C,7.8,C,.,.,4.7,C,A,C
17K489,17,W.E.B. Dubois Academic High School,Catherine Hartnett,HST,High School Transfer,C,46.1,.,21.9,C,1.9,D,10,C,4.4,B,7.93,C,D,C
17K524,17,International High School at Prospect Heights,Nedda De Castro,HS,High School,B,61,44.99,29.3,B,10.4,C,10.6,B,3.8,C,6.87,A,A,B
17K528,17,The High School for Global Citizenship,Michelle Rochon,HS,High School,C,47,11.11,20.9,C,7.9,C,10.5,B,3.9,C,3.77,C,C,C
17K531,17,"School for Human Rights, The",Michael Alexander,EMS,Middle,B,67,73.6,37.1,B,11.9,B,13.7,A,.,.,4.3,A,C,B
17K531,17,"School for Human Rights, The",Michael Alexander,HS,High School,B,69.8,66.94,31.2,B,13.8,B,14.6,A,4,C,6.19,A,A,A
17K533,17,School for Democracy and Leadership,James Olearchik,EMS,Middle,D,33.1,5.62,16.4,D,8.9,C,5.3,D,.,.,2.5,B,D,C
17K533,17,School for Democracy and Leadership,James Olearchik,HS,High School,B,59.8,38.75,28.5,B,10.7,C,7.8,C,6.8,B,6,C,D,C
17K537,17,High School for Youth and Community Development at Erasmus,Mary Prendergast,HS,High School,B,66.9,63.14,31.2,B,12.8,B,11.8,A,4.6,C,6.51,A,C,C
17K539,17,High School for Service & Learning at Erasmus,Peter Fabianski,HS,High School,A,82.1,90.51,40.1,A,15.8,A,11.7,A,4.8,C,9.71,A,A,A
17K543,17,"Science, Technology and Research Early College H",Dr. Eric L. Blake,EMS,Middle,C,43,16.57,16.3,D,13.2,B,12.3,A,.,.,1.2,B,B,C
17K543,17,"Science, Technology and Research Early College High School at Erasmus",Dr. Eric L. Blake,HS,High School,A,73.3,75.34,36.8,A,14.5,B,12.3,A,8.3,A,1.36,A,B,A
17K544,17,International Arts Business School,Angelo Marra,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,F,C
17K546,17,High School for Public Service: Heroes of Tomorrow,Sean Rice,HS,High School,A,79.3,86.72,39.9,A,15.7,A,12.2,A,8,A,3.48,A,A,A
17K547,17,Brooklyn Academy of Science and the Environment,Veronica Peterson,HS,High School,B,60.7,43.36,29,B,11,C,11.1,B,5,C,4.52,C,B,A
17K548,17,Brooklyn School for Music & Theatre,Pamela Randazzo-Dorcely,HS,High School,C,52.6,22.49,31.6,B,7.8,C,7.9,C,2.6,D,2.69,B,B,A
17K568,17,Brownsville Academy High School,Lashawn Robinson,HST,High School Transfer,A,75.4,.,31.6,B,12.8,A,13.1,A,7.9,A,9.95,A,A,B
17K587,17,Middle School for the Arts,Daniqua Brooks,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,D,C
17K590,17,Medgar Evers College Preparatory School,Dr. Michael A. Wiltshire,EMS,Middle,B,58.3,51.69,29.7,B,15.8,B,12,A,.,.,0.8,C,C,B
17K590,17,Medgar Evers College Preparatory School,Dr. Michael A. Wiltshire,HS,High School,B,65.8,58.81,31.8,B,15.8,A,11.2,B,6.4,B,0.57,B,B,B
17K600,17,Clara Barton High School,Dr. Richard A. Forman,HS,High School,B,61.2,45.53,30.1,B,11.3,C,10.7,B,6.5,B,2.55,C,C,C
17K625,17,Paul Robeson High School,Ronald Williams Wells,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,C
17K705,17,Brooklyn Arts and Science Elementary School,Sandra Beauvoir Soto,EC,K-3,.,.,.,.,.,.,.,.,.,.,.,.,,,
17K722,17,New Heights Middle School,Jessica Luciano,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,,
17K745,17,Brooklyn Institute for Liberal Arts,Ann-Marie Henry-Stephens,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
17K751,17,ACADEMY FOR HEALTH CAREERS,Deonne Martin,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
17K770,17,P.S. 770 New American Academy,Shimon Waronker,EC,K-3,.,.,.,.,.,.,.,.,.,.,.,.,,,
18K066,18,P.S. 66,Lucille Jackson,EMS,K-8,B,53.2,39.02,30.9,B,12.7,B,7.8,C,.,.,1.8,D,B,A
18K068,18,I.S. 068 Isaac Bildersee,Merve Williams,EMS,Middle,C,50.2,33.43,29.5,B,9.8,C,6.8,C,.,.,4.1,C,B,C
18K114,18,P.S. 114 Ryder Elementary,Darwin Smith,EMS,Elementary,C,37.8,11.97,24.5,C,5.4,D,5.4,C,.,.,2.5,D,C,D
18K115,18,P.S. 115 Daniel Mucatel School,Denis Guerin,EMS,Elementary,C,38.1,12.3,18.9,D,11.9,B,6.1,B,.,.,1.2,B,B,B
18K135,18,P.S. 135 Sheldon A. Brookner,Trevlyn Mcrae,EMS,Elementary,C,45.7,31.8,27.2,C,10.4,C,6.6,B,.,.,1.5,C,B,B
18K208,18,P.S. 208 Elsa Ebeling,Ms. Kristy Parris,EMS,Elementary,C,45.9,32.3,26.2,C,9.5,C,8.7,B,.,.,1.5,C,B,B
18K211,18,I.S. 211 John Wilson,Carolyn James,EMS,Middle,,.,.,.,,.,,.,,.,.,.,A,A,B
18K219,18,P.S. 219 Kennedy-King,Ms. Winsome Smith,EMS,Elementary,B,54.4,59.84,36.1,A,11.5,B,3.5,C,.,.,3.3,C,B,C
18K233,18,P.S. 233 Langston Hughes,Denean Stephens-Spellman,EMS,Elementary,C,46.4,33.28,28.9,B,8.3,C,7.5,B,.,.,1.7,C,C,C
18K235,18,P.S. 235 Lenox School,Laurence Lord,EMS,K-8,B,58.9,57.93,26.7,C,20.5,A,8.7,B,.,.,3,A,A,B
18K244,18,P.S. 244 Richard R. Green,Ms. Grace Alesia,EMS,Elementary,B,54.8,60.82,29.1,B,13.3,B,9.9,A,.,.,2.5,B,A,B
18K268,18,P.S. 268 Emma Lazarus,Vangela Kirton,EMS,Elementary,C,48.2,37.7,31.1,B,6.7,D,8.2,B,.,.,2.2,C,B,C
18K272,18,P.S. 272 Curtis Estabrook,Dakota Keyes,EMS,Elementary,B,50.6,47.21,34.2,B,7.3,C,4.8,C,.,.,4.3,B,F,C
18K276,18,P.S. 276 Louis Marshall,Yasmine Fidelia,EMS,Elementary,D,33.3,6.23,16.4,D,8.2,C,6.1,B,.,.,2.6,B,B,C
18K279,18,P.S. 279 Herman Schreiber,Lorenzo Chambers,EMS,Elementary,C,42.1,22.62,28.3,B,9,C,3.2,C,.,.,1.6,C,C,C
18K285,18,I.S. 285 Meyer Levin,Mr. Frederick A. Underwood,EMS,Middle,C,47.1,25.56,29.7,B,9.8,C,4.4,D,.,.,3.2,C,B,C
18K366,18,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,Ingrid Thomas-Clark,EMS,Middle,A,69.7,78.93,39.1,A,13.4,B,13.2,A,.,.,3.9,C,B,.
18K563,18,It Takes a Village Academy,Marina Vinitskaya,HS,High School,A,105.9,100,50.6,A,19.5,A,13.8,A,9.2,A,12.79,A,A,
18K566,18,Brooklyn Generation School,Lydia Colon Bomani,HS,High School,B,59.9,39.3,31.7,B,9.6,C,10.8,B,3.4,C,4.4,C,C,
18K567,18,Brooklyn Theatre Arts High School,David H. Ward,HS,High School,C,47.7,12.2,19.2,D,12.2,B,8.9,C,3.4,C,3.94,C,A,
18K569,18,Kurt Hahn Expeditionary Learning School,Matt Brown,HS,High School,A,77.8,84.55,36.2,B,13.4,B,13.2,A,6.8,B,8.2,A,C,
18K576,18,Victory Collegiate High School,Marcel D. Deans,HS,High School,B,68.9,66.12,29.4,B,17.3,A,11.7,A,5.3,B,5.21,A,A,
18K578,18,Brooklyn Bridge Academy,Max Jean Paul,HST,High School Transfer,A,75.7,.,40.6,A,9.9,B,11.1,C,4.9,B,9.24,B,C,C
18K581,18,East Flatbush Community Research School,Daveida Daniel,EMS,Middle,B,56.7,48.6,34,B,10.3,C,8.7,B,.,.,3.7,C,D,C
18K588,18,Middle School for Art and Philosophy,Neil Mcneill Jr,EMS,Middle,C,49.6,30.9,25.3,C,12.2,B,8.5,C,.,.,3.5,C,C,C
18K589,18,Arts & Media Preparatory Academy,Robert Hall,HS,High School,C,47.5,11.65,15.8,D,8.9,C,11.5,B,5.3,B,6.04,C,B,
18K598,18,Middle School of Marketing and Legal Studies,Jameela Horton-Ball,EMS,Middle,C,43.9,18.92,21,C,11.1,C,8.6,C,.,.,3.1,A,B,C
18K617,18,High School for Innovation in Advertising and Media,Adaleza Michelena,HS,High School,B,58.8,36.04,24.2,C,12.7,B,8.3,C,6.2,B,7.41,C,,
18K629,18,Cultural Academy for the Arts and Sciences,Diane Varano,HS,High School,B,62.4,49.32,25.9,C,12.2,B,10.3,B,6.2,B,7.82,B,,
18K633,18,High School for Medical Professions,Joseph Scarmato,HS,High School,A,74.4,77.51,36.9,A,17.3,A,11.2,B,5.1,C,3.89,A,,
18K635,18,Olympus Academy,P.J. Murray,HST,High School Transfer,C,46.6,.,17.2,C,7,B,11.8,B,3.5,C,7.04,C,C,
18K637,18,Academy for Conservation and the Environment,Eugene Mazzola,HS,High School,C,50.4,15.72,24.5,C,8.8,C,9.9,B,3.2,D,3.95,C,,
18K642,18,Urban Action Academy,Abe Correa,HS,High School,C,56.4,28.73,26.2,C,12.6,B,8.7,C,3.3,D,5.61,C,,
18K673,18,EAST BROOKLYN COMMUNITY HIGH SCHOOL,Patrick Mcgillicuddy,HST,High School Transfer,A,69.1,.,30.7,B,10.4,B,12.6,A,4.7,B,10.68,B,B,
18K922,18,South Shore Educational Complex Yabc,Dawn Harris,YABC,YABC,A,76.5,.,37.8,A,14.4,A,10.1,B,6.7,A,7.47,B,C,C
19K007,19,P.S. 007 Abraham Lincoln,Carolyn Noel,EMS,Elementary,C,41.9,22.13,24.2,C,11.3,B,4.2,C,.,.,2.2,B,A,B
19K013,19,P.S. 013 Roberto Clemente,Sabrina Fleming,EMS,Elementary,B,55.3,61.48,34.9,B,13,B,5.3,C,.,.,2,C,C,C
19K065,19,P.S. 065,Daysi Garcia,EMS,Elementary,B,58.1,69.02,31,B,14.8,B,10.9,A,.,.,1.4,C,B,A
19K089,19,P.S. 089 Cypress Hills,Irene Leon,EMS,K-8,B,57,54.88,32.2,B,8.6,C,10.8,A,.,.,5.4,A,B,B
19K108,19,P.S. 108 Sal Abbracciamento,Constance Hahn,EMS,Elementary,A,79.5,97.21,49.1,A,21.1,A,5.1,C,.,.,4.2,A,B,B
19K149,19,P.S. 149 Danny Kaye,Yvette Donald,EMS,Elementary,D,33.1,6.07,18.7,D,10,C,1.5,D,.,.,2.8,A,C,C
19K158,19,P.S. 158 Warwick,Audrey Wilson,EMS,Elementary,C,39.2,15.74,23.1,C,7.7,C,6.6,B,.,.,1.8,C,B,C
19K159,19,P.S. 159 Isaac Pitkin,Monica Duncan,EMS,Elementary,C,43.8,27.7,29.7,B,8.7,C,3.2,C,.,.,2.2,C,B,C
19K166,19,J.H.S. 166 George Gershwin,Maria Ortega,EMS,Middle,,.,.,.,,.,,.,,.,.,.,C,C,C
19K171,19,I.S. 171 Abraham Lincoln,Barbara Kendall,EMS,Middle,B,53,39.14,34.8,B,7.2,D,8,C,.,.,3,D,F,C
19K174,19,P.S. 174 Dumont,Ingrid Mason,EMS,K-8,,.,.,.,,.,,.,,.,.,.,D,C,C
19K190,19,P.S. 190 Sheffield,Stephaun Hill,EMS,Elementary,A,67.4,86.89,48.7,A,9.4,C,5.7,C,.,.,3.6,F,B,A
19K202,19,P.S. 202 Ernest S. Jenkyns,Machael Spencer Edwards,EMS,K-8,D,40,7.93,25.2,C,8.8,C,3.5,D,.,.,2.5,D,D,C
19K213,19,P.S. 213 New Lots,Stanley Moise,EMS,Elementary,D,33.6,6.56,21.8,C,7.4,C,2.2,D,.,.,2.1,B,D,C
19K214,19,P.S. 214 Michael Friedsam,Patricia Tubridy,EMS,Elementary,B,49.3,42.13,29,B,8.5,C,9.3,A,.,.,2.5,B,B,B
19K218,19,J.H.S. 218 James P. Sinnott,Valena Welch Woodley,EMS,Middle,A,69.9,79.21,39.5,A,18.1,A,7.9,C,.,.,4.3,C,B,B
19K224,19,P.S. 224 Hale A. Woodruff,George Andrews,EMS,Elementary,C,45,29.84,28.3,B,5.7,D,7.1,B,.,.,3.9,F,C,B
19K260,19,P.S. 260 Breuckelen,Kesha Harris,EMS,Elementary,,.,.,.,,.,,.,,.,.,.,,.,D
19K273,19,P.S. 273 Wortman,Melessa Avery,EMS,Elementary,C,37,10.66,20.7,C,6.9,D,7.9,B,.,.,1.5,D,C,C
19K290,19,P.S. 290 Juan Morel Campos,Willena George,EMS,Elementary,B,55.4,61.97,30.9,B,13.7,B,7.7,B,.,.,3.1,B,B,B
19K292,19,J.H.S. 292 Margaret S. Douglas,Gloria Williams Nandan,EMS,Middle,B,61.8,60.11,29.2,B,19.6,A,9.4,B,.,.,3.6,C,B,C
19K302,19,J.H.S. 302 Rafael Cordero,Lisa Linder,EMS,Middle,,.,.,.,,.,,.,,.,.,.,F,C,D
19K306,19,P.S. 306 Ethan Allen,Lawrence Burroughs,EMS,K-8,C,42,10.98,26,C,8.8,C,2.1,F,.,.,5.1,C,F,B
19K311,19,Essence School,Claudy Makelele,EMS,Middle,C,52.7,38.2,29.4,B,12.2,B,7.3,C,.,.,3.8,C,C,B
19K325,19,The Fresh Creek School,Jacqueline Danvers-Coombs,EC,K-3,.,.,.,.,.,.,.,.,.,.,.,.,,,
19K328,19,P.S. 328 Phyllis Wheatley,Douglas Avila,EMS,K-8,C,41.9,10.37,33.3,B,3.9,F,1.5,F,.,.,3.2,C,D,B
19K345,19,P.S. 345 Patrolman Robert Bolden,Wanda Holt,EMS,Elementary,B,53.7,57.7,36.4,A,8.5,C,5.7,C,.,.,3.1,B,C,B
19K346,19,P.S. 346 Abe Stark,Kevin Caifa,EMS,Elementary,B,53,55.57,31.7,B,11.4,B,8.3,B,.,.,1.6,C,C,C
19K364,19,I.S. 364 Gateway,Dale Kelly,EMS,Middle,C,37.4,9.55,14.4,D,11.5,B,7.6,C,.,.,3.9,C,C,B
19K404,19,Academy for Young Writers,Courtney Winkfield,HS,High School,B,58.3,33.33,26.2,C,11.7,B,11.3,B,4.8,C,4.29,B,,
19K409,19,East New York Family Academy,Sheila Richards,EMS,Middle,C,42.6,16.01,18.5,C,13.7,B,7.8,C,.,.,2.6,A,A,B
19K409,19,East New York Family Academy,Sheila Richards,HS,High School,C,51.2,18.16,25.2,C,12.4,B,7.7,C,5,C,0.91,C,C,B
19K420,19,Franklin K. Lane High School,Marlon Bynum,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
19K422,19,Spring Creek Community School,Christina Koza,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,,
19K431,19,Thomas Jefferson Yabc,Juan Batista,YABC,YABC,A,78,.,32.5,A,17.1,A,15,A,5.5,B,7.85,A,A,B
19K452,19,Frederick Douglass Academy VIII Middle School,Yolanda Martin,EMS,Middle,C,29.1,2.81,2.5,F,13.1,B,10.4,B,.,.,3,B,B,B
19K501,19,Franklin K. Lane Campus YABC,Rosalie Marks,YABC,YABC,B,61,.,27.5,B,12.5,B,8.5,C,5.6,B,6.86,A,A,A
19K502,19,FDNY High School for Fire and Life Safety,James Anderson,HS,High School,B,58.7,35.77,32.5,B,10,C,10.5,B,0.4,F,5.24,B,,
19K504,19,High School for Civil Rights,Michael S. Steele,HS,High School,C,51.2,18.16,18.8,D,13.4,B,10.6,B,2.4,F,5.93,C,B,B
19K507,19,Performing Arts and Technology High School,Reginald Richardson,HS,High School,C,56.1,28.46,27.2,C,11.8,B,9.9,B,2.8,D,4.43,B,B,B
19K510,19,World Academy for Total Community Health High School,Kim Wanliss,HS,High School,C,57.3,30.08,28.8,B,11.7,B,4.3,F,6.6,B,5.86,B,C,B
19K583,19,Multicultural High School,Alexandra Hernandez,HS,High School,F,37.9,4.07,18.7,D,5.9,F,6.3,D,2,F,4.97,D,C,
19K615,19,Transit Tech Career and Technical Education High School,Neil S. Harris,HS,High School,C,51.3,18.7,18.6,D,13.4,B,8.3,C,6.4,B,4.53,C,B,B
19K618,19,Academy of Innovative Technology,Cynthia Fowlkes,HS,High School,B,66,59.62,37.7,A,6.2,D,11,B,5.7,B,5.44,B,,
19K639,19,Brooklyn Lab School,Renel Piton,HS,High School,D,45,8.94,24.8,C,6.5,D,6.5,D,2.6,D,4.56,D,,
19K659,19,Cypress Hills Collegiate Preparatory School,Amy Yager,HS,High School,D,44.7,8.67,19.5,C,7.1,D,8,C,5.1,C,5.04,D,D,F
19K660,19,W. H. Maxwell Career and Technical Education High School,Jocelyn Badette,HS,High School,A,73.4,75.61,37.4,A,13.9,B,10.8,B,4.1,C,7.2,B,A,B
19K677,19,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,Judy Touzin,EMS,Elementary,C,39.8,16.89,23.8,C,6.7,D,7.6,B,.,.,1.7,F,C,.
19K678,19,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,Malik Small,EMS,Middle,C,45.4,21.63,20.1,C,13.2,B,9.4,B,.,.,2.7,B,B,.
19K683,19,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",Janice Ross,HS,High School,A,82.1,90.51,37.4,A,18.8,A,11.2,B,6.9,A,7.74,A,,
20K030,20,I.S. 30 Mary White Ovington,Carol Heeraman,EMS,Middle,B,59.3,53.37,29.7,B,16.4,A,9.2,B,.,.,4,B,B,A
20K048,20,P.S. 048 Mapleton,Diane Picucci,EMS,Elementary,C,44.4,28.85,22,C,12.3,B,7.2,B,.,.,2.9,B,A,B
20K062,20,J.H.S. 062 Ditmas,Barry Kevorkian,EMS,Middle,A,68.6,76.4,39.9,A,13.8,B,10.6,B,.,.,4.3,B,B,A
20K069,20,P.S. 69 Vincent D. Grippo School,Jaynemarie Capetanakis,EMS,Elementary,A,70.1,90.49,39.5,A,15.6,A,11.7,A,.,.,3.3,A,A,A
20K102,20,P.S. 102 The Bayview,Cornelia Sichenze,EMS,Elementary,C,45.6,31.31,20.5,C,16.2,A,6.6,B,.,.,2.3,B,B,B
20K104,20,P.S./I.S. 104 The Fort Hamilton School,Ms. Marie Dibella,EMS,K-8,B,53.8,43.29,25.1,C,14.3,B,9.9,B,.,.,4.5,B,B,A
20K105,20,P.S. 105 The Blythebourne,Johanna Castronovo,EMS,Elementary,A,64.5,81.48,36.4,A,15,B,10,A,.,.,3.1,B,A,A
20K112,20,P.S. 112 Lefferts Park,Louise Verdemare (Alfano),EMS,Elementary,A,70,90.16,37.4,A,18.9,A,10.5,A,.,.,3.2,A,A,B
20K127,20,P.S. 127 Mckinley Park,Agatha Alicandro,EMS,Elementary,C,42.7,24.43,22.2,C,11.3,B,6.6,B,.,.,2.6,B,B,D
20K160,20,P.S. 160 William T. Sampson,Margaret Russo,EMS,Elementary,A,66.6,85.41,38.7,A,14.6,B,9.9,A,.,.,3.3,A,C,B
20K163,20,P.S. 163 Bath Beach,Maryann Wasmuth,EMS,K-8,A,81.7,99.39,45.1,A,17.1,A,12.8,A,.,.,6.7,A,A,A
20K164,20,P.S. 164 Caesar Rodney,Margaret Choy-Shan,EMS,Elementary,A,76.6,95.08,41.8,A,16.7,A,12.9,A,.,.,5.2,B,A,A
20K170,20,Ralph A. Fabrizio School,Zhen (Tony) Wu,EMS,Elementary,A,67.5,87.21,44.1,A,14.8,B,5.2,C,.,.,3.4,A,B,B
20K176,20,P.S. 176 Ovington,Elizabeth Culkin,EMS,Elementary,A,85.6,98.85,50.2,A,23.1,A,9.8,A,.,.,2.5,A,A,A
20K179,20,P.S. 179 Kensington,Bernadette Amato,EMS,Elementary,D,34.5,7.21,22.2,C,4.6,F,2.8,C,.,.,4.9,C,C,C
20K180,20,The SEEALL Academy,Gary Williams,EMS,K-8,A,64.6,78.05,33.7,B,15.6,B,10.8,A,.,.,4.5,B,B,B
