DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,2012-2013PERFORMANCE GRADE,2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
30Q580,30,Baccalaureate School for Global Education,Kelly Joan Johnson,HS,High School,A,74.9,78.59,41.4,A,14.7,B,11.1,B,7.7,A,0,A,B,A
31R001,31,P.S. 001 Tottenville,Grace Silberstein,EMS,Elementary,B,52,51.97,25.6,C,15.9,A,6.6,B,.,.,3.9,B,B,B
31R002,31,I.S. R002 George L. Egbert,Adrienne Stallone,EMS,Middle,C,41.5,14.33,22.7,C,11.4,C,4.5,D,.,.,2.9,C,C,C
31R003,31,P.S. 003 The Margaret Gioiosa School,Judith Wilson,EMS,Elementary,C,38.7,14.43,21.7,C,11.3,B,3.9,C,.,.,1.8,C,C,C
31R004,31,P.S. 004 Maurice Wollin,Mr. Marc A. Harris,EMS,Elementary,B,50.1,44.59,25.2,C,11.4,B,9.5,A,.,.,4,B,C,C
31R005,31,P.S. 005 Huguenot,Lisa Arcuri,EMS,Elementary,C,45,29.84,21.1,C,11.1,B,11.8,A,.,.,1,C,C,C
31R006,31,P.S. 6 Corporal Allan F. Kivlehan School,Cynthia Difolco,EMS,Elementary,F,29.2,2.62,18.2,D,5.6,D,3.8,C,.,.,1.6,C,C,C
31R007,31,I.S. 007 Elias Bernstein,Nora De Rosa,EMS,Middle,B,55.6,45.51,22.4,C,18.6,A,10.5,B,.,.,4.1,A,B,B
31R008,31,P.S. 8 Shirlee Solomon,Lisa Esposito,EMS,Elementary,A,62.7,80,25.4,C,20,A,12,A,.,.,5.3,A,A,A
31R011,31,P.S. 11 Thomas Dongan School,Erica Mattera,EMS,Elementary,A,61.2,76.72,41.3,A,10.4,C,4.5,C,.,.,5,D,C,B
31R013,31,P.S. 013 M. L. Lindemeyer,Paul Martuccio,EMS,Elementary,B,56.5,64.92,31.9,B,15,B,7.5,B,.,.,2.1,A,B,C
31R014,31,P.S. 014 Cornelius Vanderbilt,Nancy Hargett,EMS,Elementary,,.,.,.,,.,,.,,.,.,.,,D,C
31R016,31,P.S. 016 John J. Driscoll,Vincenza Gallassio,EMS,Elementary,C,40.6,19.02,27.7,C,7.2,C,2.8,C,.,.,2.8,C,C,C
31R018,31,P.S. 018 John G. Whittier,Robert Rodriguez,EMS,Elementary,C,43.6,26.89,22.9,C,11.4,B,5.6,C,.,.,3.7,B,C,B
31R019,31,P.S. 019 The Curtis School,Mary Petrone,EMS,Elementary,B,53,55.57,33.2,B,12.8,B,4.5,C,.,.,2.5,B,A,B
31R020,31,P.S. 020 Port Richmond,Marie Munoz,EMS,Elementary,C,36.6,10,17.2,D,8.6,C,7.9,B,.,.,2.9,B,C,C
31R021,31,P.S. 21 Margaret Emery-Elm Park,Gina Moreno,EMS,Elementary,B,49.1,41.48,26.1,C,11,B,9.2,A,.,.,2.8,B,C,A
31R022,31,P.S. 022 Graniteville,Melissa Lamb Donath,EMS,Elementary,C,48.7,39.18,32.9,B,10.3,C,2.9,C,.,.,2.6,C,C,B
31R023,31,P.S. 023 Richmondtown,Frank Campagna,EMS,Elementary,B,55.1,61.15,26.1,C,15.2,B,9.9,A,.,.,3.9,B,A,B
31R024,31,I.S. 024 Myra S. Barnes,Lenny Santamaria,EMS,Middle,C,43.6,17.98,19.1,C,13.6,B,7.4,C,.,.,3.5,C,B,C
31R026,31,P.S. 026 The Carteret School,Laura Kump,EMS,Elementary,A,65.7,83.44,35,B,16.4,A,12.5,A,.,.,1.8,C,B,C
31R027,31,I.S. 027 Anning S. Prall,Tracey Kornish,EMS,Middle,C,44.2,19.38,19.8,C,13.2,B,8.2,C,.,.,3,C,C,C
31R029,31,P.S. 029 Bardwell,Mrs. Linda Manfredi,EMS,Elementary,C,36,9.02,15.4,D,8.3,C,11.2,A,.,.,1.1,B,B,C
31R030,31,P.S. 030 Westerleigh,Alan Ihne,EMS,Elementary,C,27.4,1.8,15.5,D,8.5,C,1.4,D,.,.,2,C,B,C
31R031,31,P.S. 031 William T. Davis,Patricia Covington,EMS,Elementary,B,58,68.52,37.8,A,10,C,6.7,B,.,.,3.5,C,B,B
31R032,31,P.S. 032 The Gifford School,Nancy Spataro,EMS,Elementary,C,32,5.08,17.7,D,8.6,C,4,C,.,.,1.7,C,B,B
31R034,31,I.S. 034 Tottenville,John Boyle,EMS,Middle,B,53.5,41.01,23.1,C,16.5,A,9.4,B,.,.,4.5,A,C,A
31R035,31,P.S. 35 The Clove Valley School,Melissa Garofalo,EMS,Elementary,B,49.8,43.44,24,C,15.6,A,6.2,B,.,.,4,A,C,C
31R036,31,P.S. 036 J. C. Drumgoole,Barbara Bellafatto,EMS,Elementary,C,33.5,6.39,22.3,C,7.6,C,2.1,D,.,.,1.5,C,B,C
31R038,31,P.S. 038 George Cromwell,Everlidys Robles,EMS,Elementary,B,55.5,62.3,29.6,B,16.5,A,5.4,C,.,.,4,B,C,B
31R039,31,P.S. 39 Francis J. Murphy Jr.,Tracey Wright,EMS,Elementary,B,55.8,63.44,32.3,B,13.7,B,8.5,B,.,.,1.3,D,C,C
31R041,31,P.S. 041 New Dorp,Elise Feldman,EMS,Elementary,C,47.7,36.39,29.4,B,11.6,B,3.2,C,.,.,3.5,C,C,C
31R042,31,P.S. 042 Eltingville,Brian Sharkey,EMS,Elementary,C,35.7,8.52,20.7,C,7.4,C,5.9,B,.,.,1.7,C,B,C
31R044,31,P.S. 044 Thomas C. Brown,Joseph Miller,EMS,Elementary,B,55.1,61.15,35.9,B,8.6,C,5.9,B,.,.,4.7,B,C,C
31R045,31,P.S. 045 John Tyler,Christine Chavez,EMS,Elementary,D,35.1,7.87,18.2,D,11.4,B,3.7,C,.,.,1.8,C,B,C
31R046,31,P.S. 046 Albert V. Maniscalco,Andrea Maffeo,EMS,Elementary,C,46.1,32.62,26.9,C,8.2,C,7.9,B,.,.,3.1,C,B,D
31R047,31,CSI High School for International Studies,Joseph Canale,HS,High School,A,81.9,89.7,42.2,A,16.7,A,12.1,A,8.1,A,2.75,A,A,A
31R048,31,P.S. 048 William C. Wilcox,Jacqueline Mammolito,EMS,Elementary,C,44.4,29.02,19.7,C,12.1,B,10.8,A,.,.,1.8,B,B,B
31R049,31,I.S. 49 Berta A. Dreyfus,Linda Hill,EMS,Middle,B,56.9,49.16,33.6,B,13.6,B,5.8,D,.,.,3.9,C,B,B
31R050,31,P.S. 050 Frank Hankinson,Joseph Santello,EMS,Elementary,B,59.6,72.95,33.8,B,17.8,A,5.8,C,.,.,2.2,C,B,B
31R051,31,I.S. 051 Edwin Markham,Nicholas Mele,EMS,Middle,B,59.7,54.21,32.3,B,15.7,B,8.4,C,.,.,3.3,C,B,B
31R052,31,P.S. 052 John C. Thompson,Jane Mccord,EMS,Elementary,C,42.1,22.62,27.2,C,8.5,C,3.6,C,.,.,2.8,C,D,C
31R053,31,P.S. 053 Bay Terrace,Annette Esposito,EMS,Elementary,B,59.9,74.1,34.4,B,12,B,10.5,A,.,.,3,B,B,B
31R054,31,P.S. 054 Charles W. Leng,Karen Catanzarolarosa,EMS,Elementary,C,40.6,19.02,22.9,C,11.9,B,3.4,C,.,.,2.4,C,D,C
31R055,31,P.S. 055 Henry M. Boehm,Sharon Fishman,EMS,Elementary,C,23.5,0.98,12.1,F,6.9,D,2.5,D,.,.,2,C,C,C
31R056,31,P.S. 56 The Louis Desario School,Dean Scali,EMS,Elementary,C,42.4,23.44,24.9,C,10.8,B,4.8,C,.,.,1.9,C,C,C
31R057,31,P.S. 057 Hubert H. Humphrey,Sandra Harrell,EMS,Elementary,B,58.6,70.33,40.6,A,10.3,C,1.4,D,.,.,6.3,C,C,A
31R058,31,Space Shuttle Columbia School,Michael La Morte,EMS,Elementary,B,52.7,54.1,30.9,B,11.3,B,7,B,.,.,3.5,B,B,C
31R060,31,P.S. 060 Alice Austen,Bonnie Ferretti,EMS,Elementary,C,37.8,11.97,20,C,10.1,C,4.9,C,.,.,2.8,B,D,C
31R061,31,I.S. 061 William A Morris,Susan Tronolone,EMS,Middle,B,57.1,49.89,34.9,B,14.1,B,4.6,D,.,.,3.5,C,C,C
