DBN,School Name,School Type,"Total Parent Response Rate (%)",Total Teacher Response Rate (%),Total Student Response Rate (%),Total Academic Expectations Score,Total Communication Score,Total Engagement Score,Total Safety and Respect Score
29Q181,P.S. 181 Brookfield,ES,63,96,N/A,8.4,8.8,8.4,8.4
29Q192,I.S. 192 The Linden,MS,80,63,65,9.0,8.9,8.9,8.6
29Q195,P.S. 195 William Haberle,ES,100,93,N/A,8.4,8.5,8.4,7.9
29Q208,P.S. / I.S. 208,ES/MS,90,88,98,8.3,8.2,7.9,7.8
29Q231,I.S. 231 Magnetech 2000,MS,27,81,92,7.8,7.8,7.3,6.9
29Q238,I.S. 238 - Susan B. Anthony Academy,MS,27,52,61,7.8,7.6,7.2,6.9
29Q248,Queens Preparatory Academy,HS,26,96,83,7.0,6.7,6.3,6.8
29Q251,P.S. 251 Queens,ECC,61,96,N/A,8.0,8.1,8.0,8.2
29Q259,Pathways College Preparatory School: A College Board School,MS/HS,56,83,88,7.9,7.8,7.3,7.3
29Q265,Excelsior Preparatory High School,HS,23,96,89,8.2,8.2,7.8,7.5
29Q268,PS/IS 268,ES/MS,35,95,93,7.6,7.1,6.6,7.1
29Q270,The Gordon Parks School,ES/MS,53,76,100,7.7,7.3,6.9,7.2
29Q272,George Washington Carver High School for the Sciences,HS,30,100,90,8.0,7.8,7.5,7.4
29Q283,Preparatory Academy for Writers: A College Board School,MS/HS,7,87,75,8.5,8.4,7.9,7.7
29Q295,P.S./I.S. 295,ES/MS,89,83,98,7.8,7.1,7.0,8.0
29Q326,CAMBRIA HEIGHTS ACADEMY,HS,72,100,95,8.4,8.5,7.9,8.0
29Q327,EAGLE ACADEMY FOR YOUNG MEN III,MS,45,61,96,8.1,8.1,7.9,8.1
29Q355,Collaborative Arts Middle School,MS,47,78,97,7.8,7.6,7.0,6.8
29Q356,Community Voices Middle School,MS,34,83,85,7.4,7.4,7.0,6.6
29Q492,"Mathematics, Science Research and Technology Magnet High School",HS,66,90,81,7.0,6.4,6.2,6.3
29Q494,"Law, Government and Community Service High School",HS,4,85,62,7.2,6.9,6.3,6.4
29Q496,"Business, Computer Applications & Entrepreneurship High School",HS,18,100,76,6.9,6.5,6.2,6.3
29Q498,Humanities & Arts Magnet High School,HS,53,86,85,8.1,7.9,7.6,7.2
30Q002,P.S. 002 Alfred Zimberg,ES,88,91,N/A,8.5,8.2,8.1,8.6
30Q010,I.S. 010 Horace Greeley,MS,85,100,97,8.5,8.3,7.9,8.4
30Q011,P.S. 011 Kathryn Phelan,ES,54,93,91,8.7,8.6,8.3,8.4
30Q017,P.S. 017 Henry David Thoreau,ES,81,93,N/A,8.2,8.6,8.4,8.2
30Q069,P.S. 069 Jackson Heights,ES,58,96,N/A,8.2,8.1,7.9,8.3
30Q070,P.S. 070 Queens,ES,56,41,N/A,7.9,7.5,7.3,8.0
30Q076,P.S. 076 William Hallet,ES,28,93,N/A,8.0,7.8,7.8,8.0
30Q078,P.S. 078,ES,51,67,N/A,8.4,8.5,8.4,9.0
30Q084,P.S. 084 Steinway,ES/MS,89,87,100,8.4,8.5,8.3,8.6
30Q085,P.S. 085 Judge Charles Vallone,ES,58,95,N/A,8.2,7.9,8.0,8.4
30Q092,P.S. 092 Harry T. Stewart Sr.,ES,86,62,N/A,8.5,8.5,8.3,8.7
30Q111,P.S. 111 Jacob Blackwell,ES/MS,55,98,99,8.0,8.0,7.5,7.3
30Q112,P.S. 112 Dutch Kills,ES,72,100,N/A,8.1,7.9,7.8,8.2
30Q122,P.S. 122 Mamie Fay,ES/MS,97,86,100,8.5,8.1,7.9,8.5
30Q126,Albert Shanker School for Visual and Performing Arts,MS,12,74,89,8.4,8.4,8.0,8.0
30Q127,P.S. 127 Aerospace Science Magne,ES/MS,60,49,97,7.3,6.5,6.6,7.0
30Q141,I.S. 141 The Steinway,MS,95,97,96,8.6,8.5,8.2,8.4
30Q145,I.S. 145 Joseph Pulitzer,MS,76,98,97,8.4,8.2,7.9,7.9
30Q148,P.S. 148 Queens,ES,70,87,N/A,7.9,8.0,7.7,8.4
30Q149,P.S. 149 Christa Mcauliffe,ES,83,100,N/A,8.8,8.9,8.6,8.7
30Q150,P.S. 150 Queens,ES,67,53,100,8.2,7.8,7.8,8.5
30Q151,P.S. 151 Mary D. Carter,ES,49,67,N/A,7.2,6.0,6.7,7.2
30Q152,P.S. 152 Gwendoline N. Alleyne School,ES,48,43,100,8.5,7.9,7.9,8.7
30Q166,P.S. 166 Henry Gradstein,ES,53,68,N/A,8.6,8.8,8.4,8.7
30Q171,P.S. 171 Peter G. Van Alst,ES,48,67,N/A,8.1,8.1,8.0,8.2
30Q204,I.S. 204 Oliver W. Holmes,MS,60,100,97,7.7,7.4,7.1,7.2
30Q212,P.S. 212,ES,85,83,N/A,8.4,7.9,8.0,8.6
31R061,I.S. 061 William A Morris,MS,50,96,96,7.6,7.4,7.1,6.4
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,ECC,74,100,N/A,8.0,8.1,7.9,8.5
30Q227,I.S. 227 Louis Armstrong,MS,81,77,92,8.5,8.2,8.0,8.1
30Q228,P.S. 228 Early Childhood Magnet School of the Arts,ECC,92,63,N/A,9.1,9.3,9.0,9.4
30Q230,I.S. 230,MS,76,87,95,7.8,7.3,7.1,7.6
30Q234,P.S. 234,ES,95,71,N/A,8.6,8.7,8.4,8.8
30Q235,Academy for New Americans,MS,99,100,98,9.4,9.3,9.2,9.4
30Q280,P.S. 280,ECC,82,83,N/A,8.7,8.8,8.5,8.8
30Q286,"Young Women's Leadership School, Astoria",MS/HS,83,68,99,8.5,8.4,8.2,8.6
30Q301,Academy for Careers in Television and Film,HS,79,100,98,8.9,9.0,8.5,8.6
30Q445,William Cullen Bryant High School,HS,21,64,58,7.1,6.7,6.7,7.0
30Q450,Long Island City High School,HS,24,63,73,7.7,7.5,7.4,7.0
30Q501,Frank Sinatra School of the Arts High School,HS,37,93,66,7.5,7.4,7.2,8.0
30Q502,Information Technology High School,HS,32,96,84,7.9,7.9,7.6,7.6
30Q555,Newcomers High School,HS,33,74,91,7.8,7.1,7.2,8.0
30Q575,Academy of American Studies,HS,37,90,98,8.0,8.0,7.7,8.0
30Q580,Baccalaureate School for Global Education,MS/HS,37,72,98,8.5,7.6,7.2,8.8
31R001,P.S. 001 Tottenville,ES,55,100,N/A,8.6,8.6,8.3,8.7
31R002,I.S. R002 George L. Egbert,MS,60,65,96,7.4,7.1,6.8,6.6
31R003,P.S. 003 The Margaret Gioiosa School,ES,89,100,N/A,8.3,7.9,7.9,8.5
31R004,P.S. 004 Maurice Wollin,ES,100,99,N/A,9.0,9.0,8.7,9.0
31R005,P.S. 005 Huguenot,ES,97,100,N/A,9.2,9.4,9.3,9.5
31R006,P.S. 6 Corporal Allan F. Kivlehan School,ES,89,83,N/A,8.1,7.5,7.7,8.5
31R007,I.S. 007 Elias Bernstein,MS,75,62,98,8.7,8.5,8.1,8.5
31R008,P.S. 8 Shirlee Solomon,ES,100,97,N/A,9.4,9.4,9.3,9.3
31R011,P.S. 11 Thomas Dongan School,ES,56,91,N/A,8.2,7.5,7.7,8.1
31R013,P.S. 013 M. L. Lindemeyer,ES,33,88,N/A,8.5,8.2,8.1,8.6
31R014,P.S. 014 Cornelius Vanderbilt,ES,56,54,N/A,7.8,8.1,7.6,7.1
31R016,P.S. 016 John J. Driscoll,ES,44,73,N/A,7.7,7.1,7.2,7.4
31R018,P.S. 018 John G. Whittier,ES,77,87,N/A,8.1,8.0,8.0,7.9
31R019,P.S. 019 The Curtis School,ES,65,66,N/A,8.1,7.9,7.8,8.3
31R020,P.S. 020 Port Richmond,ES,69,81,N/A,8.3,8.3,8.1,8.2
31R021,P.S. 21 Margaret Emery-Elm Park,ES,79,95,N/A,8.8,8.6,8.5,8.8
31R022,P.S. 022 Graniteville,ES,37,58,N/A,7.9,7.4,7.4,7.8
31R023,P.S. 023 Richmondtown,ES,73,85,N/A,9.0,9.1,8.8,9.0
31R024,I.S. 024 Myra S. Barnes,MS,78,83,98,8.1,7.9,7.5,7.7
31R026,P.S. 026 The Carteret School,ES,81,100,N/A,9.2,9.5,9.2,9.2
31R027,I.S. 027 Anning S. Prall,MS,56,100,98,8.0,7.8,7.4,7.1
31R029,P.S. 029 Bardwell,ES,68,95,N/A,9.1,9.3,9.2,9.3
31R030,P.S. 030 Westerleigh,ES,46,71,N/A,7.8,6.8,7.6,8.2
31R031,P.S. 031 William T. Davis,ES,69,80,N/A,8.4,8.3,8.1,8.5
31R032,P.S. 032 The Gifford School,ES,87,95,N/A,8.2,8.1,8.0,8.0
31R034,I.S. 034 Tottenville,MS,99,100,100,8.4,8.2,7.8,8.2
31R035,P.S. 35 The Clove Valley School,ES,91,76,N/A,8.4,8.2,8.2,8.7
31R036,P.S. 036 J. C. Drumgoole,ES,77,78,N/A,7.6,6.9,7.3,7.9
31R038,P.S. 038 George Cromwell,ES,100,73,N/A,8.2,8.0,7.9,8.6
31R039,P.S. 39 Francis J. Murphy Jr.,ES,55,87,N/A,8.9,8.6,8.6,8.6
31R041,P.S. 041 New Dorp,ES,71,80,N/A,8.0,7.6,7.7,8.0
31R042,P.S. 042 Eltingville,ES,74,95,N/A,8.4,8.5,8.4,8.6
31R044,P.S. 044 Thomas C. Brown,ES,58,75,N/A,8.4,8.2,8.1,8.1
31R045,P.S. 045 John Tyler,ES,59,79,N/A,8.1,8.0,7.9,7.7
31R046,P.S. 046 Albert V. Maniscalco,ES,81,92,N/A,8.6,8.7,8.4,8.6
31R047,CSI High School for International Studies,HS,61,91,95,8.1,7.8,7.5,8.3
31R048,P.S. 048 William C. Wilcox,ES,73,100,N/A,9.2,9.2,9.1,9.2
31R049,I.S. 49 Berta A. Dreyfus,MS,25,63,90,7.6,7.3,6.9,6.7
31R050,P.S. 050 Frank Hankinson,ES,57,69,N/A,8.5,8.4,8.1,8.5
31R051,I.S. 051 Edwin Markham,MS,37,88,95,8.1,8.0,7.7,7.4
31R052,P.S. 052 John C. Thompson,ES,82,69,N/A,8.3,8.0,7.9,8.1
31R053,P.S. 053 Bay Terrace,ES,91,100,N/A,9.2,9.2,9.0,9.3
31R054,P.S. 054 Charles W. Leng,ES,59,77,N/A,7.9,7.7,7.7,8.1
31R055,P.S. 055 Henry M. Boehm,ES,87,91,N/A,8.0,7.2,7.6,7.8
31R056,P.S. 56 The Louis Desario School,ES,94,70,N/A,8.4,8.2,8.2,8.6
31R057,P.S. 057 Hubert H. Humphrey,ES,49,58,N/A,7.6,7.3,7.2,7.8
31R058,Space Shuttle Columbia School,ES,100,98,N/A,8.6,8.6,8.4,8.4
31R060,P.S. 060 Alice Austen,ES,78,89,N/A,8.2,7.7,7.7,8.4
31R063,Marsh Avenue School for Expeditionary Learning,MS,82,97,92,9.1,9.1,8.9,9.0
31R064,Gaynor McCown Expeditionary Learning School,HS,45,84,96,7.9,7.8,7.3,7.7
31R065,P.S. 65 The Academy of Innovative Learning,ES,67,92,N/A,9.3,9.4,9.2,9.2
31R069,P.S. 069 Daniel D. Tompkins,ES,89,100,N/A,8.8,8.7,8.7,8.9
31R072,I.S. 072 Rocco Laurie,MS,78,96,95,8.1,8.1,7.5,7.5
31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,ECC,62,83,N/A,8.0,7.8,7.9,8.1
31R075,I.S. 075 Frank D. Paulo,MS,83,99,98,8.6,8.5,8.2,8.5
31R078,PS 78,ECC,65,69,N/A,8.5,8.4,8.2,8.0
31R080,The Michael J. Petrides School,ES/MS/HS,58,85,97,8.5,8.3,8.2,8.2
31R440,New Dorp High School,HS,30,99,86,8.0,8.1,7.7,7.3
31R445,Port Richmond High School,HS,19,58,81,7.8,7.7,7.4,7.3
31R450,Curtis High School,HS,55,93,86,7.8,7.5,7.5,7.0
31R455,Tottenville High School,HS,27,92,85,8.4,8.2,8.1,7.8
31R460,Susan E. Wagner High School,HS,45,97,84,8.1,7.9,7.8,7.5
31R470,Concord High School,HST,45,100,82,9.0,9.0,8.6,8.9
31R600,Ralph R. McKee Career and Technical Education High School,HS,35,93,88,8.0,7.8,7.5,7.4
31R605,Staten Island Technical High School,HS,90,98,99,8.9,8.6,8.4,8.7
31R607,Staten Island Yabc,YABC,3,89,69,8.8,8.8,8.5,8.5
31R861,Staten Island School of Civic Leadership,ES/MS,75,98,99,8.7,8.7,8.3,8.5
32K045,P.S. 045 Horace E. Greene,ES/MS,79,93,100,8.9,8.8,8.7,8.7
32K075,P.S. 075 Mayda Cortiella,ES,78,96,N/A,8.1,8.0,7.9,7.9
32K086,P.S. 086 The Irvington,ES,91,100,N/A,8.7,8.8,8.6,8.7
32K106,P.S. 106 Edward Everett Hale,ES,61,78,N/A,8.5,8.4,8.2,8.3
32K116,P.S. 116 Elizabeth L Farrell,ES,70,74,N/A,8.1,8.1,8.0,8.1
32K123,P.S. 123 Suydam,ES,85,98,N/A,8.1,7.9,7.9,8.1
32K145,P.S. 145 Andrew Jackson,ES,78,95,N/A,7.4,7.0,6.9,7.8
32K151,P.S. 151 Lyndon B. Johnson,ES,65,84,N/A,7.6,7.1,7.1,7.5
32K162,J.H.S. 162 The Willoughby,MS,37,88,92,7.7,7.5,7.0,7.2
32K168,The Brooklyn School for Math and Research,HS,51,100,89,8.4,8.7,8.0,8.0
32K274,P.S. 274 Kosciusko,ES,60,93,N/A,8.6,8.7,8.4,8.6
32K291,J.H.S. 291 Roland Hayes,MS,67,100,92,8.2,8.2,7.7,7.3
32K296,I.S. 296 - The Anna Gonzalez Community School,MS,34,77,83,8.0,7.6,7.3,7.0
32K299,P.S. 299 Thomas Warren Field,ES,100,87,N/A,7.8,7.8,7.8,8.0
32K347,I.S. 347 School of Humanities,MS,29,73,89,8.1,7.8,7.2,7.3
32K349,"I.S. 349 Math, Science & Tech.",MS,58,86,83,8.1,7.9,7.5,7.6
32K376,P.S. 376,ES,89,95,N/A,8.7,8.6,8.5,8.7
32K377,P.S. 377 Alejandrina B. De Gautier,ES/MS,62,82,97,7.6,7.7,7.1,6.9
32K383,J.H.S. 383 Philippa Schuyler,MS,41,94,96,8.1,7.9,7.6,7.8
32K384,P.S. /I.S. 384 Frances E. Carter,ES/MS,81,100,96,8.6,8.5,8.3,8.5
32K403,Academy for Environmental Leadership,HS,66,96,91,8.2,8.1,7.8,7.8
32K545,EBC High School for Public Service–Bushwick,HS,48,68,85,8.2,8.1,7.6,8.1
32K549,Bushwick School for Social Justice,HS,49,91,84,8.5,8.6,8.1,7.7
32K552,Academy of Urban Planning,HS,33,100,69,7.7,7.9,7.2,7.2
32K554,All City Leadership Secondary School,MS/HS,38,86,91,9.3,9.3,8.9,9.3
32K556,Bushwick Leaders High School for Academic Excellence,HS,27,63,68,7.7,7.6,7.2,7.6
32K562,Evergreen Middle School for Urban Exploration,MS,40,100,89,7.6,7.6,7.1,6.8
32K564,Bushwick Community High School,HST,19,96,57,7.7,7.2,7.2,8.0
75K004,P.S. K004,D75,63,69,N/A,8.1,8.1,7.9,8.4
75K036,P.S. 36,D75,78,64,87,8.3,8.4,8.0,7.5
75K053,P.S. K053,D75,63,95,99,8.7,8.7,8.7,8.9
75K077,P.S. K077,D75,54,42,93,7.8,7.8,7.8,8.2
75K140,P.S. K140,D75,35,62,66,7.6,7.3,7.3,6.9
75K141,P.S. K141,D75,26,60,68,7.9,7.1,7.3,7.9
75K231,P.S. K231,D75,59,68,100,8.5,8.7,8.4,8.8
75K368,P.S. 368,D75,29,80,60,8.2,8.4,8.1,7.7
75K369,P.S. K369 - Coy L. Cox School,D75,35,71,68,8.3,8.3,8.0,7.9
75K370,P.S. 370,D75,39,76,47,8.6,8.6,8.3,8.6
75K371,P.S. 371 - Lillian L. Rashkis,D75,44,64,56,8.1,8.3,7.9,7.5
75K372,P.S. 372 -The Children's School,D75,31,54,N/A,8.8,8.8,8.7,8.8
75K373,P.S. 373 - Brooklyn Transition Center,D75,31,58,97,7.9,7.9,7.8,7.7
75K396,P.S. K396,D75,34,73,97,8.1,8.1,8.1,8.3
75K721,P.S. K721 - Brooklyn Occupational Training Center,D75,27,88,100,7.7,7.6,7.7,8.2
75K753,P.S. K753 - School for Career Development,D75,82,70,80,8.4,8.2,8.2,8.0
75K771,P.S. K771,D75,59,84,94,8.4,8.3,8.0,8.3
75K811,P.S. K811 Connie Lekas School,D75,37,76,95,8.2,8.3,8.3,8.3
75M035,P.S. 035,D75,14,82,49,7.9,8.0,7.5,7.1
75M079,P.S. M079 - Horan School,D75,60,62,100,7.4,6.9,6.8,7.2
75M094,P.S. M094,D75,40,63,N/A,7.5,7.4,7.2,8.1
75M138,P.S. 138,D75,21,68,80,7.8,8.0,7.7,8.2
75M169,P.S. M169 - Robert F. Kennedy,D75,74,78,97,8.3,8.2,7.9,7.7
75M721,P.S. M721 - Manhattan Occupational Training Center,D75,51,66,99,8.1,8.4,8.0,8.2
75M751,Manhattan School for Career Development,D75,20,88,88,7.8,7.8,7.4,7.7
75M811,P.S. M811 - Mickey Mantle School,D75,41,45,91,9.1,9.2,9.1,9.0
75Q004,P.S. Q004,D75,66,94,96,8.9,8.8,8.6,8.7
75Q009,P.S. 009,D75,25,50,58,7.9,8.0,7.9,7.9
75Q023,P.S. Q023 @ Queens Children Center,D75,13,75,67,7.6,8.1,7.3,7.5
75Q075,Robert E. Peary School,D75,28,35,97,7.8,8.2,7.8,7.8
75Q177,P.S. Q177,D75,35,54,100,8.7,9.0,8.8,8.9
75Q224,P.S. Q224,D75,65,89,94,8.4,8.6,8.2,8.5
75Q233,P.S. Q233,D75,30,68,94,8.6,8.7,8.4,8.4
75Q255,P.S. Q255,D75,50,66,67,7.9,8.8,7.5,8.6
75Q256,P.S. Q256,D75,45,96,81,8.3,8.5,8.0,7.9
75Q721,John F. Kennedy Jr. School,D75,39,60,96,8.1,8.1,8.0,8.5
75Q752,Queens Transition Center,D75,27,58,82,7.5,7.7,7.1,7.2
75Q811,P.S. Q811,D75,27,48,91,8.3,8.2,8.0,8.4
75Q993,P.S. Q993,D75,50,88,98,8.7,8.8,8.6,8.7
75R025,South Richmond High School I.S./P.S. 25,D75,43,73,66,7.9,8.3,7.6,7.6
75R037,P.S. R037,D75,50,69,92,8.4,8.6,8.6,8.9
75R373,P.S. R373,D75,36,60,96,8.1,8.1,7.9,8.4
75R721,THE RICHARD H. HUNGERFORD SCHOOL,D75,67,85,100,9.3,9.4,9.2,9.2
75X010,P.S. X010,D75,44,68,88,8.6,8.6,8.4,8.3
75X012,P.S. X012 Lewis and Clark School,D75,12,35,58,7.1,7.3,7.2,6.9
75X017,P.S. X017,D75,65,93,94,7.9,8.0,7.6,7.5
75X168,P.S. 168,D75,36,58,62,8.2,8.2,7.9,8.1
75X176,P.S. X176,D75,23,49,98,8.1,8.2,8.0,8.3
75X186,P186X Walter J. Damrosch School,D75,23,43,69,8.5,8.7,8.3,8.3
75X188,P.S. X188,D75,38,79,88,8.1,8.1,7.9,8.1
75X352,The Vida Bogart School for All Children,D75,31,68,95,8.2,8.2,7.9,8.0
75X721,P.S. X721 - Stephen McSweeney School,D75,44,87,96,8.4,8.5,8.3,8.4
75X723,P.S. 723,D75,18,79,72,8.3,8.6,8.0,7.9
75X754,J. M. Rapport School Career Development,D75,19,74,57,7.9,8.0,7.6,7.2
75X811,P.S. X811,D75,31,68,94,8.2,8.4,8.2,8.4
84K037,Beginning with Children Charter School II,ECC,70,88,N/A,8.8,9.0,8.8,9.0
84K125,Success Academy Charter School - Bed-Stuy 2,ECC,34,100,N/A,8.9,9.2,8.9,9.1
84K129,Success Academy Charter School - Cobble Hill,ECC,46,100,N/A,8.2,8.6,8.1,8.7
84K182,Success Academy Charter School - Williamsburg,ECC,42,93,N/A,9.4,9.5,9.1,9.3
84K333,Explore Exceed Charter School,ECC,78,100,N/A,8.8,9.3,8.6,9.2
84K355,Williamsburg Collegiate Charter School,MS,82,97,97,9.3,9.0,8.7,8.9
84K356,Achievement First Crown Heights Charter School,ES/MS,32,27,79,7.8,7.6,6.9,7.4
84K357,KIPP AMP Charter School,MS,55,85,93,8.1,7.9,7.5,7.8
84K358,Achievement First East New York Charter School,ES/MS,36,87,90,8.4,8.4,7.8,8.1
84K359,The Uft Charter School,ES/MS/HS,28,31,90,7.4,7.2,6.7,6.8
84K360,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,MS,51,100,96,8.3,8.5,7.8,7.8
84K362,Hellenic Classical Charter School,ES/MS,75,100,99,8.9,8.9,8.6,8.6
84K367,Success Academy Charter School - Bed-Stuy 1,ECC,40,100,N/A,8.5,8.4,8.2,8.8
84K379,Explore Excel Charter School,ES,40,96,N/A,7.6,7.5,7.0,7.6
84K386,Invictus Preparatory Charter School,MS,39,100,99,8.5,8.2,7.6,8.2
84K395,Roads Charter School I,HS,12,7,45,8.6,8.8,8.2,8.1
84K406,Teaching Firms of America-Professional Preparatory Charter School,ECC,66,84,N/A,8.2,8.4,8.1,8.5
84K417,Urban Dove Charter School,HST,19,63,59,7.5,7.1,6.9,7.1
84K473,Williamsburg Charter High School,HS,44,95,88,7.9,7.5,7.4,7.6
84K486,New Dawn Charter High School,HS,29,89,49,7.5,7.1,6.6,6.5
84K508,Achievement First Endeavor Charter School,ES/MS,56,77,95,8.3,8.3,7.6,8.3
84K517,Leadership Prep Bedford Stuyvesant Charter School,ES/MS,57,92,97,8.3,8.3,7.6,8.0
84K536,Community Roots Charter School,ES,80,80,88,8.8,9.0,8.5,8.5
84K538,Achievement First Bushwick Charter School,ES/MS,57,53,86,8.6,8.3,8.0,8.5
84K593,Excellence Boys Charter School,ES/MS,68,96,99,7.8,7.3,6.9,7.7
84K608,Kings Collegiate Charter School,MS,81,69,91,8.6,8.4,7.6,7.6
84K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,ES,48,95,N/A,8.5,8.4,8.0,8.5
84K648,Bedford Stuyvesant Collegiate Charter School,MS,46,100,98,9.1,9.0,8.6,8.9
84K649,La Cima Charter School,ES,100,97,N/A,8.7,8.5,8.3,8.6
84K651,PAVE Academy Charter School,ES,83,100,N/A,8.6,8.5,8.0,8.6
84K652,Brooklyn Ascend Charter School,ES,40,90,100,7.5,7.1,6.4,7.4
84K693,Believe Northside Charter High School,HS,21,100,95,8.2,8.3,7.6,7.9
84K701,Brooklyn Charter School,ES,60,91,N/A,8.2,8.4,8.2,8.4
84K702,Community Partnership Charter School,ES/MS,58,83,97,8.2,8.3,7.8,8.1
84K703,Beginning With Children Charter School,ES/MS,62,71,98,7.8,7.8,7.2,7.2
84K704,Explore Charter School,ES/MS,80,96,93,7.9,7.7,7.1,7.6
84K707,Brooklyn Prospect Charter School,MS/HS,55,100,80,8.4,8.4,8.2,8.4
84K710,Brownsville Collegiate Charter School,MS,39,100,64,8.5,8.7,8.1,7.9
84K711,Leadership Preparatory Brownsville Charter School,ES,74,100,N/A,8.2,8.0,7.8,8.4
84K712,Excellence Girls Charter School,ES,40,92,N/A,8.4,8.5,8.2,8.9
84K726,Fahari Academy Charter School,MS,75,100,94,7.4,7.1,6.8,7.1
84K730,Summit Academy Charter School,MS/HS,38,83,79,8.0,8.1,7.1,7.7
84K731,Brooklyn Excelsior Charter School,ES/MS,35,97,96,7.4,7.4,6.7,6.8
84K734,The Ethical Community Charter School (TECCS),ES,79,96,N/A,7.7,8.0,7.9,7.7
84K737,Brownsville Ascend Charter School,ES,55,58,N/A,7.9,8.1,7.2,8.2
84K740,Brooklyn Scholars Charter School,ES/MS,24,21,100,8.0,8.3,7.5,7.9
84K742,Explore Empower Charter School,ES,78,94,N/A,8.0,8.3,7.8,8.4
84K744,Coney Island Preparatory Public Charter School,MS,85,100,95,8.7,8.6,8.0,8.2
84K746,Hebrew Language Academy Charter School,ES,86,100,N/A,8.3,8.3,8.3,8.6
84K769,Hyde Leadership Charter School- Brooklyn,ECC,80,96,N/A,8.1,8.5,8.1,8.2
84K774,Achievement First Apollo Charter School,ECC,40,93,N/A,8.6,8.4,7.9,8.5
84K775,Leadership Preparatory Ocean Hill Charter School,ECC,69,97,N/A,9.4,9.5,9.2,9.4
84K777,Ocean Hill Collegiate Charter School,MS,77,100,96,9.1,9.0,8.3,8.9
84K780,Brooklyn East Collegiate Charter School,MS,75,95,77,9.0,8.4,8.3,8.5
84K782,Bedford Stuyvesant New Beginnings Charter School,ES,67,80,N/A,7.9,8.4,7.6,8.3
84K785,Imagine Me Leadership Charter School,ECC,36,29,N/A,6.2,6.4,6.4,7.5
84K791,Brooklyn Dreams Charter School,ES,15,0,N/A,7.3,8.0,7.6,8.1
84K792,The Cultural Arts Academy at Spring Creek Charter School,ECC,82,100,N/A,8.7,8.5,8.3,8.3
84K793,Bushwick Ascend Charter School,ECC,27,32,N/A,7.2,6.3,6.2,8.2
84K796,Lefferts Gardens Charter School,ECC,72,52,N/A,7.3,7.3,7.1,7.8
84K797,New Hope Academy Charter School,ES,73,56,N/A,8.4,8.3,8.1,8.7
84K888,Achievement First HS,HS,14,96,77,8.5,8.2,7.7,8.2
84K979,Uncommon Charter HS 2,HS,73,100,94,9.1,8.9,8.6,8.7
84K999,Uncommon Charter HS,HS,51,100,90,8.7,8.4,7.7,8.1
84M065,Democracy Prep Endurance Charter School,MS,93,100,99,9.5,9.6,9.2,9.4
84M068,KIPP Washington Heights Middle School,MS,96,83,N/A,9.1,9.6,9.0,9.6
84M080,Manhattan Charter School II,ECC,73,100,N/A,8.7,8.6,8.0,9.0
84M085,Global Community Charter School,ECC,32,90,N/A,7.9,7.8,7.8,8.6
84M100,Neighborhood Charter School of Harlem,ECC,79,93,N/A,9.4,9.6,9.3,9.6
84M279,The Opportunity Charter School,MS/HS,46,95,93,7.6,7.8,7.2,7.2
84M284,Harlem Children's Zone Promise Academy 1 Charter School,ES/MS/HS,67,87,90,7.8,7.9,7.4,7.5
84M320,Manhattan Charter School,ES,96,100,N/A,8.2,8.2,7.9,8.6
84M329,Harlem Link Charter School,ES,61,87,N/A,8.1,8.1,7.6,8.3
84M330,Girls Preparatory Charter School of New York,ES/MS,85,98,98,8.4,8.1,7.6,8.2
84M335,Harlem Village Academy Leadership Charter School,ES/MS,72,100,98,8.6,8.2,8.0,8.5
84M336,KIPP Infinity Charter School,ES/MS,69,78,90,8.5,8.5,8.1,8.3
84M337,New York Center for Autism Charter School,ES/MS,93,93,N/A,8.9,9.3,9.0,9.2
84M341,Harlem Children's Zone Promise Academy II Charter School,ES/MS,84,96,100,7.9,7.7,7.3,7.1
84M350,Democracy Prep Charter School,MS/HS,60,93,87,8.5,8.4,7.9,8.1
84M351,Success Academy Charter School - Harlem 1,ES/MS,38,52,95,8.0,8.3,7.6,7.7
84M353,New Heights Academy Charter School,MS/HS,48,69,89,7.8,7.6,6.9,7.8
84M382,DREAM Charter School,ES,81,100,N/A,8.4,8.5,8.2,8.2
84M384,Success Academy Charter School - Harlem 2,ES,27,50,N/A,8.3,8.2,8.0,8.4
84M385,Success Academy Charter School - Harlem 3,ES,33,37,N/A,8.0,7.9,7.7,8.4
84M386,Success Academy Charter School - Harlem 4,ES,37,92,N/A,8.7,9.0,8.5,8.6
84M388,St. HOPE Leadership Academy Charter School,MS,91,100,99,8.7,8.8,8.5,8.7
84M430,The Equity Project Charter School (TEP),MS,97,100,96,8.5,8.5,8.2,8.4
84M433,Renaissance Charter High School for Innovation,HS,47,85,93,7.6,7.6,7.1,7.5
84M478,Inwood Academy for Leadership Charter School,MS,81,100,98,8.5,8.6,8.3,8.2
84M481,Democracy Prep Harlem Charter School,MS,56,93,94,8.0,7.9,7.0,8.0
84M482,Success Academy Charter School - Harlem 5,ECC,38,79,N/A,8.8,8.9,8.6,9.0
84M483,New York French American Charter School,ES,51,88,N/A,6.8,7.2,6.8,7.5
