air/rh_and_dp_daily_summary.o3_AQI,air/rh_and_dp_daily_summary.f0_,air/rh_and_dp_daily_summary.f1_,air/rh_and_dp_daily_summary.f2_,air/rh_and_dp_daily_summary.f3_,air/rh_and_dp_daily_summary.f4_,air/rh_and_dp_daily_summary.f5_,air/rh_and_dp_daily_summary.f6_,Day
,76.68636363636362,7.809090909090917,23.900000000000013,99.58484848484844,North Carolina,Mecklenburg,Charlotte,2007-04-10
,70.12256267409478,4.105849582172702,15.548746518105842,99.22562674094708,California,Kern,Arvin,2001-05-22
,74.89451476793249,4.299578059071734,17.864978902953588,99.51054852320677,Arizona,Pima,Tucson,1998-06-20
,75.84484304932737,6.087443946188339,23.932735426009,99.72421524663672,Indiana,Jasper,Not in a city,2015-09-11
,79.76016260162599,6.439024390243902,23.967479674796756,99.8658536585366,California,Kern,Arvin,2002-06-23
,78.5178082191781,9.88812785388127,23.84703196347033,99.36757990867586,California,Inyo,Independence,2011-11-18
,83.55323275862061,10.017241379310343,23.93103448275864,99.7155172413794,Indiana,Porter,Dune Acres,2019-03-08
,85.48571428571432,6.676190476190479,23.79523809523808,99.15714285714284,California,Kern,Arvin,2001-11-02
,75.31865509761383,5.3600867678958775,23.629067245119305,98.4642082429501,Indiana,Porter,Dune Acres,2019-07-18
,73.38541666666667,10.645833333333336,23.708333333333336,98.79166666666669,Iowa,Polk,Des Moines,2022-04-05
,74.26946107784431,8.736526946107785,23.964071856287426,99.85628742514967,California,Kern,Arvin,1999-03-19
,60.95238095238094,7.904761904761905,23.928571428571438,99.71428571428574,California,Del Norte,Redwood National Park,1993-11-05
,86.35999999999994,4.514285714285716,23.82285714285713,99.26285714285714,California,Fresno,Parlier,1998-10-01
,74.16543778801831,6.4170506912442375,23.76036866359447,99.00921658986164,Arizona,Pima,Not in a city,2021-07-07
,82.89927360774817,8.668280871670703,23.9128329297821,99.63922518159804,Indiana,Jasper,Not in a city,2015-02-01
,68.87671232876714,8.520547945205479,23.76712328767122,99.04109589041096,New York,Rensselaer,Not in a city,1992-08-27
,82.94911111111118,8.224444444444442,23.92888888888888,99.70888888888896,Indiana,Porter,Dune Acres,2016-04-29
,81.28160919540232,9.327586206896555,23.92528735632183,99.68965517241377,California,Kern,Arvin,2000-03-23
,71.98461538461537,9.707692307692309,23.169230769230765,96.55384615384617,New York,Rensselaer,Not in a city,1992-07-14
,70.59028697571743,8.642384105960254,23.880794701986755,99.50551876379684,Indiana,Porter,Dune Acres,2020-10-09
,79.74751131221723,10.226244343891398,23.75113122171945,98.96832579185522,Indiana,Jasper,Not in a city,2015-12-16
,77.64754098360652,10.311475409836063,23.971311475409838,99.88524590163934,Arizona,Pima,Not in a city,2002-12-09
,70.74061135371177,6.938864628820959,23.753275109170307,98.97379912663752,Indiana,Porter,Dune Acres,2016-06-21
,73.51555555555564,4.888888888888889,17.12444444444444,99.0399999999999,Georgia,Paulding,Not in a city,1997-10-22
,79.11580086580096,6.766233766233764,23.883116883116877,99.52164502164504,Indiana,Porter,Dune Acres,2016-09-16
,72.91424731182794,10.432795698924725,23.84408602150537,99.35215053763444,California,Inyo,Independence,2010-01-05
,78.58934169278993,9.25705329153605,23.92789968652037,99.7021943573668,Indiana,Lake,Gary,2006-04-23
,50.07142857142856,7.803571428571431,23.589285714285715,98.30357142857142,Arizona,Coconino,Grand Canyon,1991-06-04
,77.50714285714282,6.756302521008401,23.76260504201681,99.01890756302524,Indiana,Porter,Dune Acres,2018-09-20
,75.14429530201338,11.176733780760625,23.879194630872483,99.50335570469794,Indiana,Jasper,Not in a city,2015-11-24
,73.79310344827582,4.618037135278518,15.212201591511946,99.73740053050405,California,Kern,Arvin,2002-03-30
,71.09665178571426,6.071428571428572,23.872767857142858,99.47544642857142,California,Inyo,Independence,2012-06-23
,76.31518624641828,5.20630372492836,14.873925501432664,99.59885386819484,California,Kern,Arvin,2001-11-27
