air/pm25_frm_daily_summary.o3_AQI,air/pm25_frm_daily_summary.f0_,air/pm25_frm_daily_summary.f1_,air/pm25_frm_daily_summary.f2_,air/pm25_frm_daily_summary.f3_,air/pm25_frm_daily_summary.f4_,air/pm25_frm_daily_summary.f5_,air/pm25_frm_daily_summary.f6_,Day
50.06572769953051,15.849425287356324,1.9923371647509585,5.130268199233716,99.86206896551724,Hawaii,Hawaii,Kealakekua,2009-01-17
24.580158730158733,8.575669764898851,3.81465281574631,7.94805904866047,99.1760524876982,Washington,Skagit,Anacortes,2018-04-20
45.97727272727273,12.004545454545454,0.0,1.0,100.0,Oklahoma,Oklahoma,Oklahoma City,2002-07-12
36.10966057441254,13.953125,4.758928571428571,10.471726190476188,98.46279761904762,Minnesota,Anoka,Blaine,2013-07-01
56.0,14.3,0.0,1.0,100.0,Illinois,Cook,Chicago,1998-12-18
42.82474226804124,10.873711340206183,0.0,1.0,100.0,Arkansas,Pulaski,Little Rock,2001-04-14
49.20382165605096,13.843312101910827,0.0,1.0,100.0,Alabama,Jefferson,Birmingham,2004-03-15
33.17857142857143,9.04619565217391,1.043478260869565,2.885869565217391,99.79891304347824,Montana,Ravalli,Hamilton,2008-10-17
53.28108108108108,16.047287735849057,1.7016509433962264,3.8148584905660377,99.7240566037736,Montana,Gallatin,West Yellowstone,2010-01-11
28.60532994923858,10.665177398160337,5.613666228646523,11.934954007884365,99.35742444152427,Alabama,Jefferson,Birmingham,2021-10-15
42.01408450704225,13.6923031026253,3.065035799522673,7.241050119331743,99.23866348448686,Idaho,Bannock,Not in a city,2017-02-06
40.02217936354869,10.205785920925749,0.0009643201542912,1.0,100.0,Illinois,Rock Island,Rock Island Arsenal (U.S. Army),2003-03-10
55.23006134969324,16.03629856850716,0.0,1.0,100.0,Arkansas,Faulkner,Conway,2007-12-08
26.087341772151888,10.172116018457467,6.655899802241281,11.991430454845096,99.8747528015822,Alabama,Jefferson,Birmingham,2021-10-23
33.33471074380166,10.372340425531917,3.0182370820668694,6.927051671732522,99.3647416413374,Ohio,Medina,Not in a city,2009-10-02
57.86324786324786,17.134188034188032,0.0,1.0,100.0,New Mexico,Bernalillo,Albuquerque,2006-08-07
67.60035523978685,21.343516873889875,0.0,1.0,100.0,Alabama,Jefferson,Birmingham,2001-11-15
26.272727272727277,9.903358208955224,5.65205223880597,11.476679104477611,99.07742537313432,Oklahoma,Kay,Ponca City,2017-09-29
47.27894736842104,12.616842105263158,0.0,1.0,100.0,Pennsylvania,Cumberland,Carlisle,2001-04-27
29.70754716981133,10.414883401920436,6.133744855967076,12.0267489711934,98.89437585733894,Alabama,Jefferson,Birmingham,2021-05-03
51.68149466192171,14.417081850533808,0.0,1.0,100.0,Missouri,Howell,Mountain View,1999-06-26
46.70053475935829,12.56524064171123,0.0,1.0,100.0,Oregon,Jackson,Medford,2001-05-20
38.20424836601308,12.297588334268088,4.008973639932697,7.994952327537859,99.24789680314078,Massachusetts,Suffolk,Boston,2018-02-13
68.04794520547945,21.552054794520547,0.0,1.0,100.0,Louisiana,Jefferson,Kenner,2005-02-02
44.05555555555555,16.535965746907724,3.7240723120837247,10.11037107516652,99.57754519505234,South Carolina,Lexington,Seven Oaks,2022-01-14
38.08176100628931,9.540251572327046,0.0,1.0,100.0,Iowa,Linn,Cedar Rapids,2004-03-30
42.9295010845987,13.96004765687053,3.33756949960286,7.068308181096107,99.73550436854646,Idaho,Bannock,Not in a city,2014-11-22
30.880573248407643,12.022297297297296,5.28125,11.653716216216218,99.4028716216216,Nevada,Clark,Not in a city,2018-05-27
30.58088235294118,7.474264705882352,0.0,1.0,100.0,Kentucky,Jefferson,Louisville,2004-09-20
