air/hap_daily_summary.o3_AQI,air/hap_daily_summary.f0_,air/hap_daily_summary.f1_,air/hap_daily_summary.f2_,air/hap_daily_summary.f3_,air/hap_daily_summary.f4_,air/hap_daily_summary.f5_,air/hap_daily_summary.f6_,Day
,3.3854545454545453,9.787878787878787,22.0,85.99999999999997,Louisiana,East Baton Rouge,Baton Rouge,2010-05-09
,1.7301616304347838,3.65217391304348,5.380434782608695,96.31521739130436,Illinois,Cook,Northbrook,2003-10-31
,0.4958055284820535,0.6685874217978267,1.148831083305899,99.6453737240698,Vermont,Chittenden,Burlington,2007-09-03
,4.259701388888889,9.180555555555555,13.263888888888893,97.06944444444444,Connecticut,Fairfield,Westport,2002-08-25
,3.3029730769230774,6.5,14.499999999999998,93.76923076923076,Ohio,Ottawa,Not in a city,2021-10-08
,4.548226470588235,4.617647058823531,3.7352941176470607,75.96078431372548,Maine,Cumberland,Not in a city,1994-08-09
,0.0025,0.0,1.0,100.0,Colorado,Adams,Commerce City,1992-11-13
,7.001133333333333,11.76190476190476,20.52380952380952,85.28571428571429,California,Alameda,Livermore,2015-11-07
,3.538463157894737,1.473684210526316,3.052631578947368,98.4736842105263,Texas,Dallas,Dallas,1996-12-15
,2.271806944444445,4.486111111111112,1.0694444444444444,34.40277777777777,California,Santa Barbara,Santa Barbara,1993-06-22
,1.3844827586206898,0.0,1.0,100.0,Colorado,Eagle,Minturn,1991-11-07
,0.0017916666666666,0.0,1.0,100.0,Colorado,Adams,Commerce City,1991-10-06
,0.3513173176850028,0.6461207668876545,1.1571402974377347,99.65597563160708,Indiana,Marion,Indianapolis (Remainder),2009-09-28
,4.16931168831169,10.688311688311687,5.999999999999999,70.40259740259738,Colorado,Denver,Denver,2005-09-27
,2.940321052631579,0.8421052631578949,1.9298245614035097,98.82456140350878,Texas,El Paso,El Paso,1996-01-30
,1.882898039215686,6.35294117647059,18.09803921568627,86.6470588235294,New Hampshire,Rockingham,Londonderry,2021-07-05
,3.284341412429378,10.220338983050848,8.40677966101695,57.19774011299436,Connecticut,Fairfield,Westport,2001-08-25
,5.288215384615384,8.846153846153845,21.92307692307692,91.69230769230768,California,Alameda,Livermore,2018-02-06
,3.052005263157895,11.315789473684209,21.0,91.3157894736842,California,Alameda,Livermore,2018-05-24
,0.3951585234305925,0.4951370468611846,1.72502210433245,98.65251989389924,Vermont,Chittenden,Burlington,2007-09-24
,0.1005787455197132,0.0946236559139786,1.2673835125448027,99.88172043010762,Illinois,Cook,Northbrook,2004-11-02
,0.1057658463832962,0.1483967188665174,1.3609246830723352,99.64056674123796,Indiana,Lake,Gary,2014-03-15
,0.1680381466227346,0.1828665568369024,1.4579901153212542,99.73887973640862,Illinois,Cook,Northbrook,2007-04-21
,7.916511999999999,4.159999999999999,3.3200000000000003,74.96000000000001,Colorado,Adams,Commerce City,1997-03-20
,5.084347826086957,2.0217391304347827,2.41304347826087,97.54347826086956,Texas,El Paso,El Paso,1994-11-03
