air/no2_daily_summary.o3_AQI,air/no2_daily_summary.f0_,air/no2_daily_summary.f1_,air/no2_daily_summary.f2_,air/no2_daily_summary.f3_,air/no2_daily_summary.f4_,air/no2_daily_summary.f5_,air/no2_daily_summary.f6_,Day
18.18766756032173,19.29034852546917,12.50938337801609,23.04021447721181,96.12064343163544,North Dakota,Mercer,Not in a city,2007-09-02
38.39189189189186,40.4883783783784,13.113513513513515,22.981081081081108,95.85945945945949,North Dakota,Steele,Sharon,1999-12-30
14.022988505747128,15.214252873563224,11.42988505747126,22.974712643678163,95.81379310344826,Wyoming,Fremont,Riverton,2021-10-08
26.579234972677597,28.063114754098358,10.724043715846996,22.385245901639333,93.37978142076511,North Dakota,Mercer,Beulah,1994-07-19
43.25806451612901,45.369208211143686,13.316715542521992,23.129032258064484,96.44868035190612,North Dakota,Mercer,Beulah,1992-10-23
30.09359605911331,31.769211822660115,11.862068965517237,22.99507389162561,95.9064039408866,North Dakota,Mercer,Not in a city,2001-10-11
18.818615751789977,20.185441527446287,9.816229116945111,22.98806682577565,95.88305489260146,Wyoming,Sweetwater,Not in a city,2015-04-02
24.909348441926333,26.37195467422096,12.235127478753542,22.3172804532578,93.10481586402268,North Dakota,Mercer,Beulah,1993-06-01
45.98726114649684,50.92929936305735,13.375796178343943,23.07006369426751,96.21656050955418,North Dakota,Mercer,Beulah,1991-10-18
35.929712460063875,38.26166134185304,12.5591054313099,22.76996805111821,94.97763578274756,North Dakota,Mercer,Beulah,1991-09-16
17.02933333333333,18.117600000000007,9.896,22.94933333333332,95.74666666666668,North Dakota,Mercer,Not in a city,2009-09-27
29.40155440414509,31.2520725388601,13.85233160621761,23.215025906735768,96.80829015544045,North Dakota,Mercer,Beulah,1998-10-10
41.594972067039095,45.17821229050279,13.446927374301676,22.796089385474865,95.08659217877094,North Dakota,Mercer,Beulah,1996-01-09
16.633569739952716,17.96264775413712,10.950354609929065,22.61465721040189,94.3167848699764,Wyoming,Sweetwater,Not in a city,2019-11-20
