air/co_daily_summary.o3_AQI,air/co_daily_summary.f0_,air/co_daily_summary.f1_,air/co_daily_summary.f2_,air/co_daily_summary.f3_,air/co_daily_summary.f4_,air/co_daily_summary.f5_,air/co_daily_summary.f6_,Day
18.39915966386556,2.096529968454262,9.86119873817036,23.198738170347,96.70557308096728,Alabama,Jefferson,Birmingham,1992-04-07
5.310344827586205,0.5570603448275864,8.208620689655183,22.968965517241376,95.74655172413794,Arizona,Maricopa,Buckeye,2016-12-01
4.049019607843136,0.4018150572831422,5.950900163666119,23.60720130932899,98.40752864157112,Montana,Gallatin,West Yellowstone,2011-05-01
16.972689075630274,1.8740818467995772,10.33473242392446,23.435466946484777,97.68520461699892,Alabama,Jefferson,Birmingham,1992-09-11
3.5213114754098367,0.3399983606557377,4.752459016393446,23.616393442622982,98.45245901639342,Montana,Gallatin,West Yellowstone,2011-04-24
3.5955882352941195,0.3447826887661144,5.451197053407003,23.217311233885816,97.03683241252308,Arizona,Maricopa,Buckeye,2018-06-03
4.4833333333333325,0.452268191268191,9.270270270270276,22.941787941787936,95.65280665280667,Arizona,Maricopa,Buckeye,2021-01-19
14.525,1.6158333333333308,10.034375,23.321875000000016,97.21562499999992,Alabama,Jefferson,Birmingham,1996-09-09
3.3992805755395685,0.3839120287253138,7.74865350089767,23.231597845601417,96.85816876122084,Pennsylvania,York,York,2013-06-03
6.670370370370372,0.6410814814814815,9.346296296296282,23.50925925925923,97.9962962962962,Arizona,Maricopa,Buckeye,2018-11-11
31.757322175732185,3.4541361256544527,10.432460732984286,23.1455497382199,96.47853403141356,Alabama,Jefferson,Birmingham,1990-12-12
20.010141987829616,2.1811550151975663,11.117527862208709,23.46099290780141,97.79432624113475,Alabama,Jefferson,Birmingham,1992-03-25
11.72894736842106,1.111361842105262,6.778947368421065,23.634210526315798,98.50921052631564,Alabama,Jefferson,Birmingham,2006-11-19
9.699751861042186,1.039143742255267,10.741016109045844,23.55762081784388,98.19330855018592,Alabama,Jefferson,Birmingham,2005-10-28
20.00396825396824,2.268880079286426,10.554013875123893,23.31516352824581,97.18136769078288,Alabama,Jefferson,Birmingham,1995-10-18
3.6421052631578927,0.3919192982456136,7.303508771929828,23.06666666666668,96.15789473684195,Pennsylvania,York,York,2017-06-14
20.9412955465587,2.278340080971657,10.51315789473684,23.2995951417004,97.11842105263165,Alabama,Jefferson,Birmingham,1992-03-04
3.6078431372549016,0.3816911764705881,7.102941176470589,23.39215686274509,97.49019607843142,Nevada,Washoe,Reno,2022-03-25
8.87784090909091,0.8991815602836876,8.875177304964534,23.32198581560285,97.21843971631196,Montana,Gallatin,West Yellowstone,2008-11-20
11.740286298568504,1.2949897750511246,10.948875255623712,23.408997955010257,97.57873210633936,Alabama,Jefferson,Birmingham,1997-04-28
