air/temperature_daily_summary.o3_AQI,air/temperature_daily_summary.f0_,air/temperature_daily_summary.f1_,air/temperature_daily_summary.f2_,air/temperature_daily_summary.f3_,air/temperature_daily_summary.f4_,air/temperature_daily_summary.f5_,air/temperature_daily_summary.f6_,Day
,73.10624999999997,13.118749999999988,23.34999999999998,97.3104166666667,Alaska,Denali ,Not in a city,1997-10-02
,85.54963855421687,13.704819277108433,23.81927710843375,99.25421686746996,Hawaii,Honolulu,Not in a city,2019-07-02
,55.0322580645161,10.82697947214076,23.835777126099707,99.32258064516128,Ohio,Columbiana,East Liverpool,1994-03-16
,86.40463458110523,13.55793226381462,23.875222816399315,99.4866310160428,Indiana,DeKalb,Not in a city,2000-08-15
,41.58961474036854,12.87604690117253,23.963149078726957,99.84757118927962,California,Marin,Not in a city,2005-01-16
,78.68862275449098,13.727544910179647,23.7814371257485,99.09281437125746,Alaska,Denali ,Not in a city,1993-07-23
,36.550255536626935,11.642248722316856,23.83986371379896,99.3373083475297,California,Marin,Not in a city,2004-01-06
,61.34168130489335,13.393977415307416,23.78419071518194,99.10539523212044,Arizona,Maricopa,Phoenix,2013-03-14
,37.38709677419357,13.60703812316716,23.879765395894427,99.50439882697944,Ohio,Columbiana,East Liverpool,1994-01-20
,80.59432048681552,13.667342799188653,23.73225152129817,98.8904665314402,Alaska,Denali ,Not in a city,1997-08-25
,76.36054913294797,13.34682080924856,23.849710982658937,99.3815028901734,Alaska,Denali ,Not in a city,2008-09-12
,85.16645077720197,13.44559585492227,23.937823834196884,99.7448186528496,Hawaii,Honolulu,Not in a city,2021-09-10
,77.88222222222221,13.344444444444436,23.79333333333333,99.14,Alaska,Denali ,Not in a city,1996-05-18
,54.30999999999997,12.393333333333342,23.97499999999998,99.8983333333334,California,Marin,Not in a city,2005-03-13
,85.4118564742589,13.803432137285505,23.8845553822153,99.52418096723876,California,Marin,Not in a city,2005-06-24
,64.24772727272726,11.364973262032086,23.84090909090909,99.34090909090908,Alaska,Denali ,Not in a city,2010-10-26
,85.19849012775846,13.774680603948902,23.864111498257824,99.4390243902439,California,Los Angeles,Pasadena,2017-08-17
,53.88888888888886,12.588477366255145,23.753086419753096,98.97530864197527,Indiana,DeKalb,Not in a city,2000-01-10
,79.90188679245286,13.528301886792455,23.77735849056604,99.08301886792448,Arkansas,Mississippi,Not in a city,1991-07-10
,58.47089947089945,13.358024691358027,23.892416225749542,99.5590828924162,California,Marin,Not in a city,2003-03-19
,54.23778501628664,11.92182410423452,23.79804560260587,99.1693811074918,Alaska,Denali ,Not in a city,1993-03-09
,71.45425030978933,13.016109045848829,23.93680297397772,99.73729863692697,Arizona,Maricopa,Phoenix,2013-04-28
,54.16754850088183,13.266313932980614,23.917107583774253,99.65608465608469,North Dakota,Williams,Not in a city,2002-11-29
