air/pm25_speciation_daily_summary.o3_AQI,air/pm25_speciation_daily_summary.f0_,air/pm25_speciation_daily_summary.f1_,air/pm25_speciation_daily_summary.f2_,air/pm25_speciation_daily_summary.f3_,air/pm25_speciation_daily_summary.f4_,air/pm25_speciation_daily_summary.f5_,air/pm25_speciation_daily_summary.f6_,Day
,106.30089663669196,0.0070022849561435,1.0091029704429877,99.99911550084764,California,Trinity,Not in a city,2002-10-17
,42.6905679856513,0.0345316934720908,1.051403342794073,99.99519079154832,Minnesota,Anoka,Blaine,2019-11-14
,278.26915480427044,0.2722419928825623,1.5569395017793597,99.93416370106762,Illinois,Cook,Chicago,2005-01-20
,48.343516723275904,0.0762637885882073,1.0611062614078264,99.9919054043329,South Dakota,Minnehaha,Sioux Falls,2018-07-10
,66.13227267384791,0.0583278376199898,1.091009012969886,99.98299992672378,Maine,Hancock,Not in a city,2016-02-09
,287.5676717639457,0.0,1.0,100.0,Massachusetts,Suffolk,Boston,1999-11-05
,99.00306016352197,0.0235849056603773,1.0501572327044026,99.99111635220132,Maine,Hancock,Not in a city,2010-04-23
,274.02695932106326,0.7886944818304172,2.2934051144010774,99.6648721399731,Illinois,Cook,Chicago,2015-02-12
,102.89268119888308,0.0234028576120874,1.044670717687634,99.98981770405643,Illinois,Cook,Chicago,2010-08-09
,288.9686847599166,0.4624217118997912,1.879958246346556,99.86743215031314,Michigan,Wayne,Detroit,2008-07-25
,87.84608495193982,0.0152918559944075,1.029535127577769,99.9975533030409,Washington,Clallam,Blyn,2009-12-03
,87.54021660856233,0.0193681152402856,1.0380099261590612,99.99596497599158,New York,Bronx,New York,2007-06-17
,259.47668099593494,0.7723577235772359,2.922764227642278,99.83130081300811,California,Riverside,Mira Loma,2018-01-12
,230.78954757085023,0.2408906882591094,1.4038461538461526,99.9919028340081,Maine,Hancock,Not in a city,2022-02-04
,45.15431934739933,0.038211481844946,1.072681550539743,99.98883709519149,Maine,Hancock,Not in a city,2020-06-20
,96.80142484976793,0.0288250142496539,1.0438075075319602,99.98021333767622,Michigan,Wayne,Detroit,2011-09-09
,291.42435986159165,0.0,1.0,100.0,California,San Bernardino,Ontario,1999-09-30
,267.99919550510793,0.3098751418842225,1.836549375709422,99.33144154370036,Maine,Hancock,Not in a city,2014-03-25
,281.84654788732394,0.4084507042253522,1.6850192061459668,99.61587708066578,Nevada,Clark,Sunrise Manor,2013-02-01
,287.983686354274,0.3223480947476827,1.6374871266735322,99.80020597322348,Maine,Hancock,Not in a city,2010-06-17
,0.1586233528980192,0.0,1.0,100.0,Utah,Garfield,Not in a city,1990-07-04
,284.2134584852375,0.7804878048780488,2.2028241335044934,99.67137355584084,Illinois,Cook,Chicago,2014-05-10
,51.16458885924085,0.0348536560140654,1.0568828213879409,99.9970524356191,Maine,Hancock,Not in a city,2017-07-30
,0.1543313121019109,0.0,1.0,100.0,District Of Columbia,District of Columbia,Washington,1991-07-13
,285.55401985746647,0.4795918367346941,1.946064139941692,99.61370262390668,Illinois,Cook,Chicago,2014-11-30
,216.12182126873665,0.0,1.0,100.0,Alaska,Denali ,Not in a city,2000-09-23
,224.2814761491065,0.0345040049291436,1.0,100.0,Nevada,Clark,Las Vegas,2000-09-25
,233.030710900474,1.5023696682464451,3.3364928909952614,100.0,Maine,Hancock,Not in a city,2022-01-03
,228.33343575419,2.614525139664805,5.011173184357541,100.0,Maine,Hancock,Not in a city,2021-03-06
,269.50978555691546,0.4761321909424724,1.8849449204406368,99.53365973072212,California,Orange,Anaheim,2013-05-21
,84.85507755013445,0.0099561175859953,1.0307176898032382,99.99254470815828,Michigan,Wayne,Dearborn,2012-07-26
,279.5681377545385,0.7137254901960786,2.250980392156863,99.61830065359476,Texas,Harris,Deer Park,2015-04-08
,280.59920910075834,0.4322860238353196,1.821235102925244,99.78981581798485,New York,Bronx,New York,2006-12-12
,235.29286802030447,1.8045685279187824,3.7436548223350266,99.6548223350254,Maine,Hancock,Not in a city,2021-12-07
