air/lead_daily_summary.o3_AQI,air/lead_daily_summary.f0_,air/lead_daily_summary.f1_,air/lead_daily_summary.f2_,air/lead_daily_summary.f3_,air/lead_daily_summary.f4_,air/lead_daily_summary.f5_,air/lead_daily_summary.f6_,Day
,0.0806419354838708,0.0483870967741935,1.0,100.0,Georgia,Bibb,Macon,2006-05-05
,0.52,0.0,1.0,100.0,Texas,Dallas,Dallas,1998-05-28
,0.1085714285714285,0.0,1.0,100.0,Colorado,Adams,Commerce City,1991-11-21
,0.4289090909090909,4.181818181818182,1.0,100.0,Pennsylvania,Berks,Not in a city,1988-10-11
,0.18,0.0,1.0,100.0,Pennsylvania,Philadelphia,Philadelphia,1983-12-13
,0.0695820652173913,0.0489130434782608,1.0,100.0,Illinois,Cook,Chicago,2002-10-05
,0.2414999999999999,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2004-12-03
,0.0249999999999999,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2013-05-11
,1.6911111111111112,0.0,1.0,100.0,Missouri,Iron,Not in a city,1992-07-19
,0.3,0.0,1.0,100.0,Illinois,Cook,Schiller Park,2001-06-26
,0.2938461538461537,0.0,1.0,100.0,Pennsylvania,Berks,Laureldale,1997-04-24
,0.0068,0.0,1.0,100.0,Missouri,Iron,Not in a city,2018-08-26
,0.0781454545454545,0.0,1.0,100.0,Tennessee,Roane,Not in a city,2010-12-13
,0.011,0.0,1.0,100.0,Missouri,Iron,Not in a city,2020-12-24
,0.33,0.0,1.0,100.0,Colorado,Denver,Denver,1983-02-13
,0.0642916666666666,0.0,1.0,100.0,Tennessee,Sullivan,Bristol,2009-03-29
,0.1601666666666666,0.0,1.0,100.0,Indiana,Delaware,Muncie,2008-11-28
,0.0469249999999999,0.0,1.0,100.0,Texas,Dallas,Dallas,1997-02-28
,0.0621032362459547,0.0355987055016181,1.0,100.0,Idaho,Ada,Not in a city,2012-01-22
,0.01,0.0,1.0,100.0,Illinois,Cook,Chicago,2019-08-23
,0.2216571428571427,0.0457142857142857,1.0,100.0,Illinois,Cook,Chicago,2000-05-30
,0.0663333333333333,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2010-10-10
,1.16825,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2007-11-25
,0.004,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2015-02-09
,0.0276666666666666,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2015-05-13
,0.06025,0.0,1.0,100.0,Texas,Dallas,Dallas,1995-03-09
,0.4971428571428571,0.0,1.0,100.0,Texas,Dallas,Dallas,2005-11-11
,0.0175,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2016-10-29
,0.0507592760180995,0.0,1.0,100.0,Kentucky,Boyd,Not in a city,2011-09-06
