CONSOLIDATION,POLLING PLACE,POLLING PLACE STREET,POLLING PLACE CITY,POLLING PLACE ZIP,POLL TYPE,PRECINCT
900-5322A,L.A.P.D. OPERATIONS WEST,4849 VENICE BLVD,LOS ANGELES,90019,MISCP,900-5322E
900-2303A,PALMS WESTMINISTER PRESBY CH,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-5319B
900-5319A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-5319G
900-2507A,MT HEBRON BAPTIST CHURCH,10219 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2507B
900-2097B,CHRIST THE GOOD SHEPHERD CHR,3303 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2097B
900-2283A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-0967A
900-1189B,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-1189B
900-2484B,COMMUNITY UNITED PRESB CHR,7501 S NORMANDIE AVE,LOS ANGELES,90044,CHUR1,900-2484C
900-5322A,L.A.P.D. OPERATIONS WEST,4849 VENICE BLVD,LOS ANGELES,90019,MISCP,900-5322D
900-2107A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2106B
900-2265B,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2265D
900-2025B,MT CARMEL RECREATION CTR,830 W 070TH ST,LOS ANGELES,90044,LACPR,900-2025B
900-1522A,PALMS MIDDLE SCHOOL,10860 WOODBINE ST,LOS ANGELES,90034,LAUSD,900-1522D
900-2095A,CHRIST THE GOOD SHEPHERD CHR,3303 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2095E
900-1533A,LOS ANGELES DENTAL CENTER,10801 VENICE BLVD,LOS ANGELES,90034,BUS.,900-1533B
900-2322B,ST ELMO VILLAGE INCORPORATION,4830 ST ELMO DR,LOS ANGELES,90019,BUS.,900-2322D
900-2497A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2497G
900-1738A,NORMANDIE RECREATION CENTER,1550 S NORMANDIE AVE,LOS ANGELES,90006,LACPR,900-1738C
900-0944A,MAILBOXES & MORE 24/7,3520 OVERLAND AVE,LOS ANGELES,90034,BUS.,900-0944A
900-1455A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-1432B
900-1730B,ST PAUL EVANGELICAL LUTH CHR,3901 W ADAMS BLVD,LOS ANGELES,90018,CHURC,900-1732A
900-1454A,HEYLER REALTY,10659 W PICO BLVD,LOS ANGELES,90064,BUS.,900-1454A
900-2299A,THE WORKMENS CIRCLE,1525 S ROBERTSON BLVD,LOS ANGELES,90035,BUS.,900-2299B
900-0948A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2105C
900-1961A,ST ANTHONY GRAND LODGE,4126 S FIGUEROA ST,LOS ANGELES,90037,BUS.,900-1961D
250-0008A,LAS FLORES CONV HOME,14165 PURCHE AVE,GARDENA,90249,SRHMS,250-0008B
900-2178A,HORACE MANN MIDDLE SCHOOL,7001 S ST ANDREWS PL,LOS ANGELES,90047,LAUSD,900-2178F
900-2465A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-2465C
900-1755A,BETTY HILLS SR CITIZEN CTR,3570 S DENKER AVE,LOS ANGELES,90018,LACPR,900-1755A
900-1246A,KING JESUS BIBLE WAY CHURCH,11737 S FIGUEROA ST,LOS ANGELES,90061,CHUR1,900-1246A
900-2135B,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2133D
767-0013A,FIRST NEW CHRISTIAN CHURCH,1555 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0013D
751-0006A,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0005A
900-1721A,AMOS MEMORIAL CME CHURCH,2445 W WASHINGTON BLVD,LOS ANGELES,90018,CHURC,900-1721A
900-5305A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-2247A
900-2137A,BROOKINS DEVELOPMENT CTR,4831 S GRAMERCY PL,LOS ANGELES,90062,CHUR1,900-2137F
900-3050A,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-3050A
900-2036A,EXPO CENTER,3990 MENLO AVE,LOS ANGELES,90037,LACPR,900-2014B
900-2504A,CHURCH OF THE LIVING GOD ,9800 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2504A
900-2135B,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2135D
900-1783A,WILLIAM GRANT STILL ART CTR,2520 WEST VIEW ST,LOS ANGELES,90016,MISCP,900-1783D
767-0021A,FIRST SAMOAN CHURCH OF LA,1749 W 125TH ST,LOS ANGELES,90047,CHUR1,767-0021C
900-1190D,KOREAN INSTITUTE OF SO CAL,4900 WILSHIRE BLVD,LOS ANGELES,90010,SC-PR,900-3024B
900-7211A,QUEEN ANNE RECREATION CENTER,1240 WEST BLVD,LOS ANGELES,90019,LACPR,900-7211D
900-2370A,ST MARYS CHURCH',3647 WATSEKA AVE,LOS ANGELES,90034,CHURC,900-2955C
900-2343A,RANCHO CIENEGA PARK BLDG,5001 RODEO RD,LOS ANGELES,90016,LACPR,900-2006D
767-0006A,FAITH UNITED METHODIST CHR,1713 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0006C
900-1719A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-1719B
900-2090A,MARTIN LUTHER KING REC CTR,3916 S WESTERN AVE,LOS ANGELES,90062,LACPR,900-2084D
900-1765A,CONCORD MISSIONARY BAPTIST CH,2828 W JEFFERSON BLVD,LOS ANGELES,90018,CHURC,900-1765D
900-2472B,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-2472B
900-5312C,KOREAN INSTITUTE OF SO CAL,4900 WILSHIRE BLVD,LOS ANGELES,90010,SC-PR,900-3024D
900-2107A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2106A
270-0092A,I-COPP CENTER,2666 W IMPERIAL HWY,INGLEWOOD,90303,CITYO,270-0093C
900-5317A,TOM BRADLEY FAMILY CENTER,5213 W PICO BLVD,LOS ANGELES,90019,COMMU,900-5318B
900-2021A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2020E
900-2166A,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-2166E
900-2102A,BALDWIN VILLA PLAZA,3939 MARLTON AVE,LOS ANGELES,90008,APTBL,900-1994A
900-0948A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-0948C
900-1525A,PALMS MIDDLE SCHOOL,10860 WOODBINE ST,LOS ANGELES,90034,LAUSD,900-1525E
900-2591A,ATHENS PARK,12603 S BROADWAY,LOS ANGELES,90061,MISCP,900-2591A
900-1776B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-1776C
900-2459A,ST CECILIA CATHOLIC CHURCH,4230 S NORMANDIE AVE,LOS ANGELES,90037,CHUR1,900-2459B
900-2298A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-2298C
900-2140B,ANGELES MESA ELEMENTARY SCH,2611 W 052ND ST,LOS ANGELES,90043,LAUSD,900-2140C
900-2954A,WESTERN PARKING ENFORCEMENT,11214 EXPOSITION BLVD,LOS ANGELES,90064,MISCP,900-1519A
900-2491A,RITA WALTERS LEARNING COMPLEX,915 W MANCHESTER AVE,LOS ANGELES,90044,MISCP,900-2491C
900-7168B,ST JOHN EVANGELIST CHURCH,6021 VICTORIA AVE,LOS ANGELES,90043,CHURC,900-7168B
900-1456A,FIRE STATION #92,10556 W PICO BLVD,LOS ANGELES,90064,MISCP,900-1456E
900-2497A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2497D
900-2136A,BROOKINS DEVELOPMENT CTR,4831 S GRAMERCY PL,LOS ANGELES,90062,CHUR1,900-2136A
751-0012A,WINDSOR HILLS ELEMENTARY SCH,5215 OVERDALE DR,LOS ANGELES,90043,LAUSD,751-0012F
900-2375A,FIRST LUTHERAN CHURCH,3735 HUGHES AVE,LOS ANGELES,90034,CHUR1,900-2375A
900-0283A,HOLY TABERNACLE BAPTIST CHR,2312 W FLORENCE AVE,LOS ANGELES,90043,CHUR1,900-0283F
900-1532A,CULVER CITY ELKS LODGE 1917,11160 WASHINGTON PL,CULVER CITY,90232,CLUB,900-1532C
900-1785A,MESSIAH BAPTIST CHURCH,4500 W ADAMS BLVD,LOS ANGELES,90016,CHUR1,900-1785B
900-0296C,COMMUNITY CHURCH OF L A,10611 S HOOVER ST,LOS ANGELES,90044,CHUR1,900-0296C
751-0009B,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0005F
900-2128A,NAT`L COUNCIL OF NEGRO WOMEN,3720 W 054TH ST,LOS ANGELES,90043,CLUB,900-2128H
900-2283A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-1481C
900-2252A,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2252A
900-2503A,CHURCH OF THE LIVING GOD ,9800 S WESTERN AVE,LOS ANGELES,90047,CHUR1,767-0009D
751-0010A,NAT`L COUNCIL OF NEGRO WOMEN,3720 W 054TH ST,LOS ANGELES,90043,CLUB,751-0002C
900-1719A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-1719E
751-0010A,NAT`L COUNCIL OF NEGRO WOMEN,3720 W 054TH ST,LOS ANGELES,90043,CLUB,751-0010C
900-2009A,BLUM & POE,2727 S LA CIENEGA BLVD,LOS ANGELES,90034,BUS.,900-2009A
900-0824A,SOUTHERN CALIFORNIA LIBRARY,6120 S VERMONT AVE,LOS ANGELES,90044,BUS.,900-0824E
900-2207A,GUIDANCE CHR OF REL SCIENCE ,7225 CRENSHAW BLVD,LOS ANGELES,90043,CHUR1,900-2207B
900-2491A,RITA WALTERS LEARNING COMPLEX,915 W MANCHESTER AVE,LOS ANGELES,90044,MISCP,900-2491F
900-3229A,RANCHO CIENEGA PARK BLDG,5001 RODEO RD,LOS ANGELES,90016,LACPR,900-3229B
900-2461A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-2461C
900-2329B,LONGWOOD MANOR,4853 W WASHINGTON BLVD,LOS ANGELES,90016,SRHMS,900-2329D
900-1730B,ST PAUL EVANGELICAL LUTH CHR,3901 W ADAMS BLVD,LOS ANGELES,90018,CHURC,900-1732D
900-1457A,MT CALVARY LUTHERAN CHURCH,436 S BEVERLY DR,BEVERLY HILLS,90212,CHUR1,900-1457C
751-0012A,WINDSOR HILLS ELEMENTARY SCH,5215 OVERDALE DR,LOS ANGELES,90043,LAUSD,751-0003A
767-0004A,GREATER TRUE VINE TEMPLE,9616 S NORMANDIE AVE,LOS ANGELES,90044,CHUR1,767-0004F
900-2375A,FIRST LUTHERAN CHURCH,3735 HUGHES AVE,LOS ANGELES,90034,CHUR1,900-1736A
900-2456A,MENLO AVE ELEMENTARY SCHOOL,4156 MENLO AVE,LOS ANGELES,90037,LAUSD,900-2456A
900-2113A,FIRE STATION #94,4470 COLISEUM ST,LOS ANGELES,90016,FIRE,900-2117A
900-2070A,FIRE STATION #34,3661 007TH AVE,LOS ANGELES,90018,LACPR,900-2082B
900-5494B,FIRE STATION #68,5023 W WASHINGTON BLVD,LOS ANGELES,90016,MISCP,900-5494B
900-1747A,BETTY HILLS SR CITIZEN CTR,3570 S DENKER AVE,LOS ANGELES,90018,LACPR,900-1747A
900-0272A,COLDWELL BANKER ,119 N LARCHMONT BLVD,LOS ANGELES,90004,BUS.,900-0272D
900-1730B,ST PAUL EVANGELICAL LUTH CHR,3901 W ADAMS BLVD,LOS ANGELES,90018,CHURC,900-1730D
900-3674E,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-2064D
900-2491A,RITA WALTERS LEARNING COMPLEX,915 W MANCHESTER AVE,LOS ANGELES,90044,MISCP,900-2491D
900-2900A,CENTURY PK EAST APARTMENTS ,2170 CENTURY PARK E,LOS ANGELES,90067,APTBL,900-2900A
900-1175A,ROBERTSON RECREATION CENTER,1641 PREUSS RD,LOS ANGELES,90035,LACPR,900-1175D
900-5321A,TOM BRADLEY FAMILY CENTER,5213 W PICO BLVD,LOS ANGELES,90019,COMMU,900-5321F
900-2348A,WILLIAM GRANT STILL ART CTR,2520 WEST VIEW ST,LOS ANGELES,90016,MISCP,900-5503D
900-2330A,SMYRNA 7TH DAY ADVENTIST,4394 W WASHINGTON BLVD,LOS ANGELES,90016,CHUR1,900-2330B
900-5204A,NEW LIFE BIBLE CHURCH,6625 004TH AVE,LOS ANGELES,90043,CHURC,900-5204E
900-2101A,GTR TRUE FRIENDSHIP BAPT CHR,1839 W VERNON AVE,LOS ANGELES,90062,CHUR1,900-2101D
900-2471A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2019C
900-0366A,BETHEL AME CHURCH,7900 S WESTERN AVE,LOS ANGELES,90047,CHURC,900-0366D
900-1456A,FIRE STATION #92,10556 W PICO BLVD,LOS ANGELES,90064,MISCP,900-1456F
900-1480A,CONGREGATION OHEL MOSHE,8765 W PICO BLVD,LOS ANGELES,90035,RELFA,900-1448B
900-1463A,MT CALVARY LUTHERAN CHURCH,436 S BEVERLY DR,BEVERLY HILLS,90212,CHUR1,900-1463A
900-2504A,CHURCH OF THE LIVING GOD ,9800 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2505D
900-2299A,THE WORKMENS CIRCLE,1525 S ROBERTSON BLVD,LOS ANGELES,90035,BUS.,900-2299D
900-2211A,KRST UNITY CENTER,1811 W 078TH PL,LOS ANGELES,90047,CHURC,900-2212B
767-0023A,FIRST NEW CHRISTIAN CHURCH,1555 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0025A
900-2302A,MARVIN AVE ELEMENTARY SCHOOL,2411 MARVIN AVE,LOS ANGELES,90016,LAUSD,900-2302C
900-7349A,ST PAUL PRESBYTERIAN CHURCH,5100 COLISEUM ST,LOS ANGELES,90016,CHURC,900-7349J
900-2285A,NAZARETH HOUSE,3333 MANNING AVE,LOS ANGELES,90064,SRHMS,900-1347B
900-2150A,STENTORIANS ,1409 W VERNON AVE,LOS ANGELES,90062,COMMU,900-2150E
900-0908A,VAN NESS PARK RECREATION CTR,5720 002ND AVE,LOS ANGELES,90043,LACPR,900-0908C
900-7168B,ST JOHN EVANGELIST CHURCH,6021 VICTORIA AVE,LOS ANGELES,90043,CHURC,900-2129F
900-2129B,ST JOHN EVANGELIST CHURCH,6021 VICTORIA AVE,LOS ANGELES,90043,CHURC,900-2129D
900-2128A,NAT`L COUNCIL OF NEGRO WOMEN,3720 W 054TH ST,LOS ANGELES,90043,CLUB,900-2128E
900-1985A,FIRE STATION #43,3690 MOTOR AVE,LOS ANGELES,90034,MISCP,900-1377F
900-2496A,COMMUNITY CHURCH OF L A,10611 S HOOVER ST,LOS ANGELES,90044,CHUR1,900-2496F
900-7230A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-0237E
900-2342B,ZOE CHRISTIAN FELLOWSHIP CHR,5315 W ADAMS BLVD,LOS ANGELES,90016,CHUR1,900-2343C
900-1769C,HOLY NAME OF JESUS CHURCH,2186 W 031ST ST,LOS ANGELES,90018,CHURC,900-1769D
900-1786A,VIRGINIA RD ELEMENTARY SCHOOL,2925 VIRGINIA RD,LOS ANGELES,90016,LAUSD,900-1786C
900-1492A,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-1492B
900-1942A,HARRIS HALL,635 W 035TH ST,LOS ANGELES,90089,SC-PR,900-1942C
900-2362A,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-2362D
250-0007A,LAS FLORES CONV HOME,14165 PURCHE AVE,GARDENA,90249,SRHMS,250-0009B
250-0041A,CHURCH OF THE HOLY COMMUNION,1160 W 141ST ST,GARDENA,90247,CHUR1,250-0041E
900-2022A,SOUTHERN CALIFORNIA LIBRARY,6120 S VERMONT AVE,LOS ANGELES,90044,BUS.,900-2022D
900-1472A,RESIDENCE,9543 BOLTON RD,LOS ANGELES,90034,RES,900-1472C
900-5313A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-5313C
900-2177A,A RENEE & M LUSKIN ACADEMY HS,2941 W 070TH ST,LOS ANGELES,90043,LAUSD,900-2177G
751-0012A,WINDSOR HILLS ELEMENTARY SCH,5215 OVERDALE DR,LOS ANGELES,90043,LAUSD,751-0012B
900-2485C,TRUE GOSPEL BAPTIST CHURCH ,7723 S HOOVER ST,LOS ANGELES,90044,CHURC,900-1314D
767-0023A,FIRST NEW CHRISTIAN CHURCH,1555 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0023A
900-5504C,MERIDIAN OF CHEVIOT HILLS,3340 SHELBY DR,LOS ANGELES,90034,SRHMS,900-5504G
900-7166B,VAN NESS PARK RECREATION CTR,5720 002ND AVE,LOS ANGELES,90043,LACPR,900-7168E
900-2137A,BROOKINS DEVELOPMENT CTR,4831 S GRAMERCY PL,LOS ANGELES,90062,CHUR1,900-2137E
900-2456A,MENLO AVE ELEMENTARY SCHOOL,4156 MENLO AVE,LOS ANGELES,90037,LAUSD,900-2456F
900-1290A,CASTLE HEIGHTS ELEM SCHOOL,9755 CATTARAUGUS AVE,LOS ANGELES,90034,LAUSD,900-1290B
900-2287A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2287A
767-0003A,BRET HARTE MIDDLE SCHOOL,9301 S HOOVER ST,LOS ANGELES,90044,LAUSD,767-0003A
900-1024A,VERMONT AVE ELEMENTARY SCH,1435 W 027TH ST,LOS ANGELES,90007,LAUSD,900-1024A
900-0945B,54TH ST SEVENTH DAY ADVENTIST,1973 W 054TH ST,LOS ANGELES,90062,CHUR1,900-0564C
767-0017A,KING JESUS BIBLE WAY CHURCH,11737 S FIGUEROA ST,LOS ANGELES,90061,CHUR1,767-0017E
900-1533A,LOS ANGELES DENTAL CENTER,10801 VENICE BLVD,LOS ANGELES,90034,BUS.,900-1533A
900-2110B,JIM GILLIAM PARK,4000 S LA BREA AVE,LOS ANGELES,90008,LACPR,900-2110C
767-0020A,FIRST SAMOAN CHURCH OF LA,1749 W 125TH ST,LOS ANGELES,90047,CHUR1,767-0020E
900-2097B,CHRIST THE GOOD SHEPHERD CHR,3303 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2093A
900-1770A,CONCORD MISSIONARY BAPTIST CH,2828 W JEFFERSON BLVD,LOS ANGELES,90018,CHURC,900-1767C
900-2279A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2272D
900-2150A,STENTORIANS ,1409 W VERNON AVE,LOS ANGELES,90062,COMMU,900-2150C
900-2927A,STENTORIANS ,1409 W VERNON AVE,LOS ANGELES,90062,COMMU,900-2927E
900-2298A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-2298B
900-5204A,NEW LIFE BIBLE CHURCH,6625 004TH AVE,LOS ANGELES,90043,CHURC,900-5204B
900-2167A,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-2167A
900-0285A,KRST UNITY CENTER,1811 W 078TH PL,LOS ANGELES,90047,CHURC,900-0285A
900-1454A,HEYLER REALTY,10659 W PICO BLVD,LOS ANGELES,90064,BUS.,900-1454D
767-0001A,MESSIAH LUTHERAN CHURCH,1149 W MANCHESTER AVE,LOS ANGELES,90044,CHURC,767-0001C
900-2116A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2116A
900-1030A,GREATER PAGE TEMPLE,2610 LA SALLE AVE,LOS ANGELES,90018,CHUR1,900-1030A
900-3036A,WESTERN PARKING ENFORCEMENT,11214 EXPOSITION BLVD,LOS ANGELES,90064,MISCP,900-3036D
900-2193A,CAMEO WOODS,3648 KALSMAN DR,LOS ANGELES,90016,APT,900-2193B
900-2091A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2091A
900-1449A,CONGREGATION OHEL MOSHE,8765 W PICO BLVD,LOS ANGELES,90035,RELFA,900-1449D
900-2247B,WESTSIDE JEWISH COMM CENTER,5870 W OLYMPIC BLVD,LOS ANGELES,90036,RELFA,900-2247F
900-2471A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2471B
900-2334A,ST PAUL PRESBYTERIAN CHURCH,5100 COLISEUM ST,LOS ANGELES,90016,CHURC,900-2334D
900-0824A,SOUTHERN CALIFORNIA LIBRARY,6120 S VERMONT AVE,LOS ANGELES,90044,BUS.,900-0824B
900-2163A,VAN NESS PARK RECREATION CTR,5720 002ND AVE,LOS ANGELES,90043,LACPR,900-2163A
270-0092A,I-COPP CENTER,2666 W IMPERIAL HWY,INGLEWOOD,90303,CITYO,270-0093E
900-2150A,STENTORIANS ,1409 W VERNON AVE,LOS ANGELES,90062,COMMU,900-2150A
900-2080A,LOS ANGELES SENTINEL,3800 CRENSHAW BLVD,LOS ANGELES,90008,BUS.,900-0653A
900-3674E,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-3674F
900-1776B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-1777D
900-2001A,AMOS MEMORIAL CME CHURCH,2445 W WASHINGTON BLVD,LOS ANGELES,90018,CHURC,900-0911A
900-2091A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2091D
900-5305A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-5305D
767-0014A,FIRST NEW CHRISTIAN CHURCH,1555 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0014C
900-2329B,LONGWOOD MANOR,4853 W WASHINGTON BLVD,LOS ANGELES,90016,SRHMS,900-2340E
900-2500A,CHURCH OF THE LIVING GOD ,9800 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2500E
900-2283A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2283C
900-1765A,CONCORD MISSIONARY BAPTIST CH,2828 W JEFFERSON BLVD,LOS ANGELES,90018,CHURC,900-1765A
900-2496B,BRET HARTE MIDDLE SCHOOL,9301 S HOOVER ST,LOS ANGELES,90044,LAUSD,900-3029F
900-1465C,MT CALVARY LUTHERAN CHURCH,436 S BEVERLY DR,BEVERLY HILLS,90212,CHUR1,900-1465D
900-1533A,LOS ANGELES DENTAL CENTER,10801 VENICE BLVD,LOS ANGELES,90034,BUS.,900-1533C
767-0005A,COMMUNITY CHURCH OF L A,10611 S HOOVER ST,LOS ANGELES,90044,CHUR1,767-0005C
900-2298A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-2298F
900-1454A,HEYLER REALTY,10659 W PICO BLVD,LOS ANGELES,90064,BUS.,900-1454B
767-0007A,GREATER TRUE VINE TEMPLE,9616 S NORMANDIE AVE,LOS ANGELES,90044,CHUR1,767-0007B
900-2116A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2116E
900-2091A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2093C
900-2166A,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-2166A
900-1290A,CASTLE HEIGHTS ELEM SCHOOL,9755 CATTARAUGUS AVE,LOS ANGELES,90034,LAUSD,900-1290A
900-1747A,BETTY HILLS SR CITIZEN CTR,3570 S DENKER AVE,LOS ANGELES,90018,LACPR,900-1747F
900-2482A,MT CARMEL RECREATION CTR,830 W 070TH ST,LOS ANGELES,90044,LACPR,900-2482A
900-1030A,GREATER PAGE TEMPLE,2610 LA SALLE AVE,LOS ANGELES,90018,CHUR1,900-1030B
900-1776B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-1777G
900-1257B,WESTFIELD CENTURY CITY,1801 AVE,LOS ANGELES,90067,BUS.,900-1257B
270-0094A,I-COPP CENTER,2666 W IMPERIAL HWY,INGLEWOOD,90303,CITYO,270-0094B
751-0001A,COMMUNITY YOUTH FOUNDATION,4828 CRENSHAW BLVD,LOS ANGELES,90043,SC-PR,751-0002A
900-5484A,KIPP EMPOWER ACADEMY,8466 S FIGUEROA ST,LOS ANGELES,90003,SC-PR,900-5484D
900-2207A,GUIDANCE CHR OF REL SCIENCE ,7225 CRENSHAW BLVD,LOS ANGELES,90043,CHUR1,900-2208A
900-5504C,MERIDIAN OF CHEVIOT HILLS,3340 SHELBY DR,LOS ANGELES,90034,SRHMS,900-5504F
900-2137A,BROOKINS DEVELOPMENT CTR,4831 S GRAMERCY PL,LOS ANGELES,90062,CHUR1,900-2135A
900-2153A,ST BRIGID PRE-SCHOOL,1755 W 052ND ST,LOS ANGELES,90062,SC-PR,900-2153E
900-1030A,GREATER PAGE TEMPLE,2610 LA SALLE AVE,LOS ANGELES,90018,CHUR1,900-1030D
900-1747A,BETTY HILLS SR CITIZEN CTR,3570 S DENKER AVE,LOS ANGELES,90018,LACPR,900-1747B
900-0944A,MAILBOXES & MORE 24/7,3520 OVERLAND AVE,LOS ANGELES,90034,BUS.,900-1377C
900-2461A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-2461F
900-1463A,MT CALVARY LUTHERAN CHURCH,436 S BEVERLY DR,BEVERLY HILLS,90212,CHUR1,900-1458B
900-1770A,CONCORD MISSIONARY BAPTIST CH,2828 W JEFFERSON BLVD,LOS ANGELES,90018,CHURC,900-1770B
900-2890A,CULVER CITY ELKS LODGE 1917,11160 WASHINGTON PL,CULVER CITY,90232,CLUB,900-2890D
900-2591A,ATHENS PARK,12603 S BROADWAY,LOS ANGELES,90061,MISCP,900-2591B
900-2107A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2107F
900-2280A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2280A
900-7221A,WESTSIDE JEWISH COMM CENTER,5870 W OLYMPIC BLVD,LOS ANGELES,90036,RELFA,900-2855A
900-0285A,KRST UNITY CENTER,1811 W 078TH PL,LOS ANGELES,90047,CHURC,900-0285G
