CONSOLIDATION,POLLING PLACE,POLLING PLACE STREET,POLLING PLACE CITY,POLLING PLACE ZIP,POLL TYPE,PRECINCT
900-1472A,RESIDENCE,9543 BOLTON RD,LOS ANGELES,90034,RES,900-1471E
900-2090A,MARTIN LUTHER KING REC CTR,3916 S WESTERN AVE,LOS ANGELES,90062,LACPR,900-2090A
900-0366A,BETHEL AME CHURCH,7900 S WESTERN AVE,LOS ANGELES,90047,CHURC,900-0366A
900-1525A,PALMS MIDDLE SCHOOL,10860 WOODBINE ST,LOS ANGELES,90034,LAUSD,900-0002F
900-2507A,MT HEBRON BAPTIST CHURCH,10219 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2507C
900-1471A,ROBERTSON RECREATION CENTER,1641 PREUSS RD,LOS ANGELES,90035,LACPR,900-1467A
900-0283A,HOLY TABERNACLE BAPTIST CHR,2312 W FLORENCE AVE,LOS ANGELES,90043,CHUR1,900-0283C
900-2280A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2279F
900-5313A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-5313B
900-7229B,L.A.P.D. OPERATIONS WEST,4849 VENICE BLVD,LOS ANGELES,90019,MISCP,900-7226E
900-2144A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2144A
900-5424A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-5424B
900-1768A,HOLY NAME OF JESUS CHURCH,2186 W 031ST ST,LOS ANGELES,90018,CHURC,900-1768D
900-1434A,ATHENS PARK,12603 S BROADWAY,LOS ANGELES,90061,MISCP,900-1434E
900-0366A,BETHEL AME CHURCH,7900 S WESTERN AVE,LOS ANGELES,90047,CHURC,900-0366C
900-2893A,FIRST LUTHERAN CHURCH,3735 HUGHES AVE,LOS ANGELES,90034,CHUR1,900-2893D
900-1621A,RESIDENCE,160 S WINDSOR BLVD,LOS ANGELES,90004,RES,900-2411A
900-2262B,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2262C
900-2496A,COMMUNITY CHURCH OF L A,10611 S HOOVER ST,LOS ANGELES,90044,CHUR1,900-3866D
900-5310A,FIRE STATION #61,5821 W 003RD ST,LOS ANGELES,90036,MISCP,900-5310D
900-2502A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2502D
900-0366A,BETHEL AME CHURCH,7900 S WESTERN AVE,LOS ANGELES,90047,CHURC,900-2215D
900-1961A,ST ANTHONY GRAND LODGE,4126 S FIGUEROA ST,LOS ANGELES,90037,BUS.,900-1033A
900-5312C,KOREAN INSTITUTE OF SO CAL,4900 WILSHIRE BLVD,LOS ANGELES,90010,SC-PR,900-1190A
767-0020A,FIRST SAMOAN CHURCH OF LA,1749 W 125TH ST,LOS ANGELES,90047,CHUR1,767-0020G
900-2329B,LONGWOOD MANOR,4853 W WASHINGTON BLVD,LOS ANGELES,90016,SRHMS,900-2329E
900-1449A,CONGREGATION OHEL MOSHE,8765 W PICO BLVD,LOS ANGELES,90035,RELFA,900-0660C
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,13210 PURCHE AVE,GARDENA,90249,SCH-P,250-0002B
767-0017A,KING JESUS BIBLE WAY CHURCH,11737 S FIGUEROA ST,LOS ANGELES,90061,CHUR1,767-0017D
900-1985A,FIRE STATION #43,3690 MOTOR AVE,LOS ANGELES,90034,MISCP,900-1985B
900-2114A,FIRE STATION #94,4470 COLISEUM ST,LOS ANGELES,90016,FIRE,900-2114A
900-1480A,CONGREGATION OHEL MOSHE,8765 W PICO BLVD,LOS ANGELES,90035,RELFA,900-1480D
