DBN,School Name,School Pupil-Teacher Ratio
31R045,P.S. 045 JOHN TYLER,16.57376
31R044,P.S. 044 THOMAS C. BROWN,14.69377
31R042,P.S. 042 ELTINGVILLE,18.27004
31R041,P.S. 041 NEW DORP,15.79276
31R039,P.S. 39 FRANCIS J. MURPHY JR.,16.86144
31R038,P.S. 038 GEORGE CROMWELL,13.64936
31R036,P.S. 036 J. C. DRUMGOOLE,17.16666
31R035,P.S. 35 THE CLOVE VALLEY SCHOOL,16.34452
31R032,P.S. 032 THE GIFFORD SCHOOL,18.19734
31R031,P.S. 031 WILLIAM T. DAVIS,14.04685
31R030,P.S. 030 WESTERLEIGH,14.87987
31R029,P.S. 029 BARDWELL,18.44348
31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,11.9
31R026,P.S. 026 THE CARTERET SCHOOL,12.83103
31R023,P.S. 023 RICHMONDTOWN,13.71347
31R022,P.S. 022 GRANITEVILLE,18.01864
31R021,P.S. 21 MARGARET EMERY-ELM PARK,13.03766
31R020,P.S. 020 PORT RICHMOND,12.58947
31R019,P.S. 019 THE CURTIS SCHOOL,17.16274
31R018,P.S. 018 JOHN G. WHITTIER,12.56215
31R016,P.S. 016 JOHN J. DRISCOLL,13.16729
31R013,P.S. 013 M. L. LINDEMEYER,14.99677
31R011,P.S. 11 THOMAS DONGAN SCHOOL,12.8621
31R010,FORT HILL COLLABORATIVE ELEMENTARY SCHOOL,10.60975
31R009,NAPLES STREET ELEMENTARY SCHOOL,11.07671
31R008,P.S. 8 SHIRLEE SOLOMON,16.24599
31R006,P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,14.73766
31R005,P.S. 005 HUGUENOT,12.30195
31R004,P.S. 004 MAURICE WOLLIN,9.503945
31R003,P.S. 003 THE MARGARET GIOIOSA SCHOOL,16.83799
31R001,P.S. 001 TOTTENVILLE,13.12138
24Q877,THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),15.16953
27Q362,WAVE PREPARATORY ELEMENTARY SCHOOL,13.8969
30Q361,P.S. 361,12.5677
29Q360,P.S. 360,13.26086
28Q354,PS 354,14.99091
28Q349,P.S. 349,11.69607
24Q343,THE CHILDREN'S LAB SCHOOL,13.08693
24Q330,P.S. 330,13.63679
30Q329,EAST ELMHURST COMMUNITY SCHOOL,17.61538
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,14.43929
27Q316,QUEENS EXPLORERS ELEMENTARY SCHOOL,13.30188
28Q312,JAMAICA CHILDREN'S SCHOOL,10
24Q307,PIONEER ACADEMY,13.30038
27Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,13.33783
24Q305,LEARNERS AND LEADERS,13.96376
28Q303,THE ACADEMY FOR EXCELLENCE THROUGH THE ARTS,16.8618
24Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,15.6216
30Q280,P.S. 280,16.79763
27Q273,P.S. 273,13.62831
27Q254,P.S. 254 - THE ROSA PARKS SCHOOL,16.27659
27Q253,P.S. 253,13.88957
29Q251,P.S. 251 QUEENS,13.75757
25Q244,THE ACTIVE LEARNING ELEMENTARY SCHOOL,16.27084
25Q242,P.S. 242 LEONARD P. STAVISKY EARLY CHILDHOOD SCHOOL,11.74855
24Q239,P.S. 239,13.86645
30Q234,P.S. 234,16.35511
24Q229,P.S. 229 EMANUEL KAPLAN,17.9424
30Q228,P.S. 228 EARLY CHILDHOOD MAGNET SCHOOL OF THE ARTS,13.19511
27Q223,P.S. 223 LYNDON B. JOHNSON,15.47146
30Q222,P.S. Q222 - FIRE FIGHTER CHRISTOPHER A. SANTORA SCHOOL,14.80359
26Q221,P.S. 221 THE NORTH HILLS SCHOOL,16.97612
28Q220,P.S. 220 EDWARD MANDEL,15.59762
25Q214,P.S. 214 CADWALLADER COLDEN,15.58676
26Q213,P.S. 213 THE CARL ULLMAN SCHOOL,15.96179
30Q212,P.S. 212,15.88755
24Q211,ELM TREE ELEMENTARY SCHOOL,11.78947
25Q209,P.S. 209 CLEARVIEW GARDENS,16.71597
28Q206,P.S. 206 THE HORACE HARDING SCHOOL,14.2612
26Q205,P.S. 205 ALEXANDER GRAHAM BELL,15.35604
26Q203,P.S. 203 OAKLAND GARDENS,19.70685
25Q201,P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,11.50602
24Q199,P.S. 199 MAURICE A. FITZGERALD,16.10729
27Q197,P.S. 197 THE OCEAN SCHOOL,13.372
28Q196,P.S. 196 GRAND CENTRAL PARKWAY,18.39322
