all/school_o.csv.DBN,all/school_o.csv.LOCATION NAME,all/school_o.csv.LOCATION CATEGORY,all/school_o.csv.ADMINISTRATIVE DISTRICT,all/school_o.csv.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.ASIAN STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.BLACK STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.HISPANIC STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.WHITE STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.TOTAL STUDENTS With 2 or More Suspensions or Removals
16K335,P.S. 335 Granville T. Woods,Elementary,16.0,*,*,*,*,*,*,*,*
08X367,"Archimedes Academy for Math, Science and Technolog",High school,8.0,*,*,10,17,*,*,*,28
75K396,P.S. K396,K-8,75.0,*,*,*,*,*,*,*,*
02M059,P.S. 059 Beekman Hill International,Elementary,2.0,*,*,*,*,*,*,*,*
02M407,Institute for Collaborative Education,Secondary School,2.0,*,*,*,*,*,*,*,*
06M048,P.S. 048 P.O. Michael J. Buczek,Elementary,6.0,*,*,*,*,*,*,*,6
26Q159,P.S. 159,Elementary,26.0,*,*,*,*,*,*,*,*
07X456,Alfred E. Smith Campus YABC,High school,7.0,*,*,*,*,*,*,*,*
02M408,Professional Performing Arts High School,Secondary School,2.0,*,*,*,*,*,*,*,*
31R009,Naples Street Elementary School,Elementary,31.0,*,*,*,*,*,*,*,*
02M418,Millennium High School,High school,2.0,*,*,*,*,*,*,*,*
10X209,P.S. 209,Early Childhood,10.0,*,*,*,*,*,*,*,*
75X176,P.S. X176,K-12 all grades,75.0,*,*,*,*,*,*,*,*
75X811,P.S. X811,Secondary School,75.0,*,*,*,*,*,*,*,*
15K118,The Maurice Sendak Community School,Elementary,15.0,*,*,*,*,*,*,*,*
10X565,High School for Energy and Technology,High school,10.0,*,*,*,*,*,*,*,*
22K134,P.S. K134,Elementary,22.0,*,*,*,*,*,*,*,*
12X318,"I.S. X318 Math, Science & Technology Through Arts",Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,*
17K537,High School for Youth and Community Development at,High school,17.0,*,*,*,*,*,*,*,11
79M973,Restart Academy,Ungraded,79.0,*,*,*,*,*,*,*,*
02M527,P.S. 527 - East Side School for Social Action,Elementary,2.0,*,*,*,*,*,*,*,*
09X088,P.S. X088 - S. Silverstein Little Sparrow School,Elementary,9.0,*,*,*,*,*,*,*,*
16K005,P.S. 005 Dr. Ronald Mcnair,Elementary,16.0,*,*,*,*,*,*,*,*
14K380,P.S. 380 John Wayne Elementary,Elementary,14.0,*,*,*,*,*,*,*,*
17K289,P.S. 289 George V. Brower,Elementary,17.0,*,*,*,*,*,*,*,*
20K048,P.S. 048 Mapleton,Elementary,20.0,*,*,*,*,*,*,*,*
11X181,I.S. 181 Pablo Casals,Junior High-Intermediate-Middle,11.0,*,*,16,*,*,*,*,17
16K385,"School of Business, Finance and Entrepreneurship",Junior High-Intermediate-Middle,16.0,*,*,*,*,*,*,*,*
26Q188,P.S. 188 Kingsbury,Elementary,26.0,*,*,*,*,*,*,*,*
12X682,Fannie Lou Hamer Freedom High School,High school,12.0,*,*,14,15,*,*,*,30
08X530,Banana Kelly High School,High school,8.0,*,*,*,*,*,*,*,*
19K292,J.H.S. 292 Margaret S. Douglas,Junior High-Intermediate-Middle,19.0,*,*,8,*,*,*,*,10
27Q042,P.S./M.S 042 R. Vernam,K-8,27.0,*,*,*,*,*,*,*,12
13K616,Brooklyn High School for Leadership and Community,High school,13.0,*,*,*,*,*,*,*,*
19K659,Cypress Hills Collegiate Preparatory School,High school,19.0,*,*,*,*,*,*,*,6
12X098,J.H.S. 098 Herman Ridder,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,21
31R031,P.S. 031 William T. Davis,Elementary,31.0,*,*,*,*,*,*,*,*
75M138,P.S. 138,K-12 all grades,75.0,*,*,*,*,*,*,*,*
27Q309,Academy of Medical Technology: A College Board Sch,Secondary School,27.0,*,*,8,*,*,*,*,14
29Q356,Community Voices Middle School,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,6
15K321,P.S. 321 William Penn,Elementary,15.0,*,*,*,*,*,*,*,*
10X268,Kingsbridge International High School,High school,10.0,*,*,*,*,*,*,*,*
20K259,J.H.S. 259 William Mckinley,Junior High-Intermediate-Middle,20.0,*,*,*,*,*,*,*,11
08X405,Herbert H. Lehman High School,High school,8.0,*,*,15,12,*,*,*,28
04M409,Coalition School for Social Change,High school,4.0,*,*,13,*,*,*,*,16
04M555,Central Park East High School,High school,4.0,*,*,*,*,*,*,*,*
12X511,Bronx Envision Academy,High school,12.0,*,*,8,*,*,*,*,13
75X469,P469X - The Bronx School for Continuous Learners,Elementary,75.0,*,*,*,*,*,*,*,*
10X310,P.S. 310 Marble Hill,Elementary,10.0,*,*,*,*,*,*,*,*
03M145,"P.S. 145, The Bloomingdale School",Elementary,3.0,*,*,*,*,*,*,*,*
27Q096,P.S. 096,Elementary,27.0,*,*,*,*,*,*,*,*
11X180,M.S. 180 Dr. Daniel Hale Williams,Junior High-Intermediate-Middle,11.0,*,*,11,*,*,*,*,12
05M670,Thurgood Marshall Academy for Learning and Social,Secondary School,5.0,*,*,7,*,*,*,*,11
02M615,Chelsea Career and Technical Education High School,High school,2.0,*,*,*,*,*,*,*,*
23K137,P.S./I.S. 137 Rachel Jean Mitchell,K-8,23.0,*,*,*,*,*,*,*,6
15K107,P.S. 107 John W. Kimball,Elementary,15.0,*,*,*,*,*,*,*,*
30Q555,Newcomers High School,High school,30.0,*,*,*,*,*,*,*,*
30Q166,P.S. 166 Henry Gradstein,Elementary,30.0,*,*,*,*,*,*,*,*
27Q223,P.S. 223 Lyndon B. Johnson,Elementary,27.0,*,*,*,*,*,*,*,*
06M348,Washington Heights Expeditionary Learning School,K-12 all grades,6.0,*,*,*,*,*,*,*,8
03M444,Home Schooling,Central-HQ-Citywide,3.0,*,*,*,*,*,*,*,*
25Q425,John Bowne High School,High school,25.0,*,*,39,20,*,*,*,67
06M368,Hamilton Heights School,Elementary,6.0,*,*,*,*,*,*,*,*
21K728,Liberation Diploma Plus,High school,21.0,*,*,*,*,*,*,*,*
02M212,P.S. 212 Midtown West,Elementary,2.0,*,*,*,*,*,*,*,*
27Q183,P.S. 183 Dr. Richard R. Green,K-8,27.0,*,*,27,9,*,*,*,38
75X754,J. M. Rapport School Career Development,High school,75.0,*,*,*,*,*,*,*,*
21K410,Abraham Lincoln High School,High school,21.0,*,*,26,*,*,*,*,32
14K147,P.S. 147 Isaac Remsen,Elementary,14.0,*,*,*,*,*,*,*,*
18K578,Brooklyn Bridge Academy,High school,18.0,*,*,*,*,*,*,*,*
27Q324,Rockaway Park High School for Environmental Sustai,High school,27.0,*,*,11,*,*,*,*,16
15K447,The Math & Science Exploratory School,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,*
11X106,P.S. 106 Parkchester,Elementary,11.0,*,*,*,*,*,*,*,*
09X260,Bronx Center for Science and Mathematics,High school,9.0,*,*,*,*,*,*,*,*
28Q903,Jamaica Evening High School M/,Ungraded,28.0,*,*,*,*,*,*,*,*
29Q496,"Business, Computer Applications & Entrepreneurship",High school,29.0,*,*,*,*,*,*,*,*
30Q280,P.S. 280,Elementary,30.0,*,*,*,*,*,*,*,*
04M182,The Bilingual Bicultural School,Elementary,4.0,*,*,*,*,*,*,*,*
31R039,P.S. 39 Francis J. Murphy Jr.,Elementary,31.0,*,*,*,*,*,*,*,*
06M187,P.S./I.S. 187 Hudson Cliffs,K-8,6.0,*,*,*,*,*,*,*,*
27Q043,P.S. 043,K-8,27.0,*,*,10,*,*,*,*,14
30Q145,I.S. 145 Joseph Pulitzer,Junior High-Intermediate-Middle,30.0,*,*,*,16,*,*,*,20
09X403,Bronx International High School,High school,9.0,*,*,*,*,*,*,*,*
07X547,New Explorers High School,High school,7.0,*,*,*,7,*,*,*,12
11X089,P.S. 089 Bronx,K-8,11.0,*,*,*,*,*,*,*,*
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",K-8,10.0,*,*,*,15,*,*,*,20
23K155,P.S./ I.S. 155 Nicholas Herkimer,K-8,23.0,*,*,*,*,*,*,*,*
25Q032,P.S. 032 State Street,Elementary,25.0,*,*,*,*,*,*,*,*
28Q190,J.H.S. 190 Russell Sage,Junior High-Intermediate-Middle,28.0,*,*,*,*,*,*,*,34
31R450,Curtis High School,High school,31.0,*,*,13,*,*,*,*,16
27Q308,Robert H. Goddard High School of Communication Art,High school,27.0,*,*,*,*,*,*,*,8
75K373,P.S. 373 - Brooklyn Transition Center,High school,75.0,*,*,*,*,*,*,*,*
22K222,P.S. 222 Katherine R. Snyder,Elementary,22.0,*,*,*,*,*,*,*,*
26Q046,P.S. 046 Alley Pond,Elementary,26.0,*,*,*,*,*,*,*,*
11X287,The Forward School,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,18
12X550,High School of World Cultures,High school,12.0,*,*,*,*,*,*,*,*
24Q343,The Children's Lab School,Elementary,24.0,*,*,*,*,*,*,*,*
13K439,Brooklyn International High School,High school,13.0,*,*,*,*,*,*,*,*
75Q224,P.S. Q224,K-8,75.0,*,*,*,*,*,*,*,*
27Q319,Village Academy,Junior High-Intermediate-Middle,27.0,*,*,*,*,*,*,*,6
11X076,P.S. 076 The Bennington School,Elementary,11.0,*,*,8,*,*,*,*,12
31R605,Staten Island Technical High School,High school,31.0,*,*,*,*,*,*,*,*
30Q450,Long Island City High School,High school,30.0,*,*,12,8,*,*,*,26
19K171,I.S. 171 Abraham Lincoln,Junior High-Intermediate-Middle,19.0,*,*,*,13,*,*,*,16
15K442,M.S. 442 Carroll Gardens School for Innovation,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,9
11X189,Cornerstone Academy for Social Action,Elementary,11.0,*,*,*,*,*,*,*,6
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferra,Elementary,24.0,*,*,*,*,*,*,*,*
21K468,Kingsborough Early College School,Secondary School,21.0,*,*,9,*,*,*,*,17
14K322,Foundations Academy,High school,14.0,*,*,9,*,*,*,*,10
29Q208,P.S./I.S. 208,K-8,29.0,*,*,*,*,*,*,*,*
06M103,Dos Puentes Elementary School,Elementary,6.0,*,*,*,*,*,*,*,*
27Q053,M.S. 053 Brian Piccolo,Junior High-Intermediate-Middle,27.0,*,*,*,*,*,*,*,6
31R057,P.S. 057 Hubert H. Humphrey,Elementary,31.0,*,*,*,*,*,*,*,6
07X522,Bronx Design and Construction Academy,High school,7.0,*,*,*,*,*,*,*,7
17K590,Medgar Evers College Preparatory School,Secondary School,17.0,*,*,*,*,*,*,*,*
05M030,P.S. 030 Hernandez/Hughes,Elementary,5.0,*,*,*,*,*,*,*,*
28Q220,P.S. 220 Edward Mandel,Elementary,28.0,*,*,*,*,*,*,*,*
20K185,P.S. 185 Walter Kassenbrock,Elementary,20.0,*,*,*,*,*,*,*,*
28Q358,M.S. 358,Junior High-Intermediate-Middle,28.0,*,*,6,*,*,*,*,7
CITYWIDE,,,,81,279,4802,3230,685,43,19,9139
29Q038,P.S. 038 Rosedale,Elementary,29.0,*,*,*,*,*,*,*,*
24Q014,P.S. 014 Fairview,Elementary,24.0,*,*,*,*,*,*,*,*
25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,Junior High-Intermediate-Middle,25.0,*,*,6,*,*,*,*,11
04M057,James Weldon Johnson,K-8,4.0,*,*,*,*,*,*,*,*
20K201,J.H.S. 201 The Dyker Heights,Junior High-Intermediate-Middle,20.0,*,*,*,*,*,*,*,7
27Q106,P.S. 106,Elementary,27.0,*,*,*,*,*,*,*,*
26Q098,P.S. 098 The Douglaston School,Elementary,26.0,*,*,*,*,*,*,*,*
02M158,P.S. 158 Bayard Taylor,Elementary,2.0,*,*,*,*,*,*,*,*
15K464,Park Slope Collegiate,Secondary School,15.0,*,*,8,*,*,*,*,17
27Q297,Hawtree Creek Middle School,Junior High-Intermediate-Middle,27.0,*,*,*,*,*,*,*,*
15K088,J.H.S. 088 Peter Rouget,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,*
30Q228,P.S. 228 Early Childhood Magnet School of the Arts,Early Childhood,30.0,*,*,*,*,*,*,*,*
27Q254,P.S. 254 - The Rosa Parks School,Elementary,27.0,*,*,*,*,*,*,*,*
07X551,The Urban Assembly Bronx Academy of Letters,Secondary School,7.0,*,*,14,10,*,*,*,25
10X440,DeWitt Clinton High School,High school,10.0,*,*,7,*,*,*,*,9
07X473,Mott Haven Village Preparatory High School,High school,7.0,*,*,*,16,*,*,*,21
09X011,P.S. 011 Highbridge,Elementary,9.0,*,*,*,*,*,*,*,*
20K686,Brooklyn School of Inquiry,K-8,20.0,*,*,*,*,*,*,*,*
75X402,Hospital Schools - Bronx,Ungraded,75.0,*,*,*,*,*,*,*,*
31R029,P.S. 029 Bardwell,Elementary,31.0,*,*,*,*,*,*,*,*
31R036,P.S. 036 J. C. Drumgoole,Elementary,31.0,*,*,*,*,*,*,*,*
31R444,Home Schooling,Central-HQ-Citywide,31.0,*,*,*,*,*,*,*,*
12X458,Samara Community School,Elementary,12.0,*,*,*,*,*,*,*,*
06M218,I.S. 218 Salome Urena,Junior High-Intermediate-Middle,6.0,*,*,*,*,*,*,*,*
25Q241,Queens High School for Language Studies,High school,25.0,*,*,*,*,*,*,*,*
26Q315,Business Technology Early College High School,High school,26.0,*,*,*,*,*,*,*,7
11X370,School of Diplomacy,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,7
02M444,Home Schooling,Central-HQ-Citywide,2.0,*,*,*,*,*,*,*,*
21K209,P.S. 209 Margaret Mead,K-8,21.0,*,*,*,*,*,*,*,*
22K312,P.S. 312 Bergen Beach,Elementary,22.0,*,*,*,*,*,*,*,*
31R078,P.S. 78,Elementary,31.0,*,*,26,*,*,*,*,33
04M680,"Heritage School, The",High school,4.0,*,*,13,13,*,*,*,27
13K595,Bedford Academy High School,High school,13.0,*,*,*,*,*,*,*,*
28Q332,Redwood Middle School,Junior High-Intermediate-Middle,28.0,*,*,*,*,*,*,*,*
03M492,"High School for Law, Advocacy and Community Justic",High school,3.0,*,*,*,*,*,*,*,*
31R075,I.S. 075 Frank D. Paulo,Junior High-Intermediate-Middle,31.0,*,*,*,*,*,*,*,*
28Q040,P.S. 040 Samuel Huntington,Elementary,28.0,*,*,*,*,*,*,*,*
28Q690,High School for Law Enforcement and Public Safety,High school,28.0,*,*,*,*,*,*,*,6
02M303,"Facing History School, The",High school,2.0,*,*,*,*,*,*,*,*
31R861,Staten Island School of Civic Leadership,K-8,31.0,*,*,9,6,*,*,*,16
27Q104,P.S. 104 The Bays Water,Elementary,27.0,*,*,*,*,*,*,*,*
26Q430,Francis Lewis High School,High school,26.0,*,*,*,*,*,*,*,17
27Q124,P.S. 124 Osmond A Church,K-8,27.0,*,*,*,*,*,*,*,*
08X123,J.H.S. 123 James M. Kieran,Junior High-Intermediate-Middle,8.0,*,*,*,6,*,*,*,9
29Q134,P.S. 134 Hollis,Elementary,29.0,*,*,*,*,*,*,*,*
02M312,New York City Lab Middle School for Collaborative,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*
29Q037,Cynthia Jenkins School,Elementary,29.0,*,*,*,*,*,*,*,6
18K576,Victory Collegiate High School,High school,18.0,*,*,*,*,*,*,*,*
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,K-8,16.0,*,*,*,*,*,*,*,*
15K001,P.S. 001 The Bergen,Elementary,15.0,*,*,*,*,*,*,*,*
10X668,Dewitt Clinton Campus YABC,High school,10.0,*,*,*,*,*,*,*,*
25Q154,P.S. 154 Queens,Elementary,25.0,*,*,*,*,*,*,*,*
75M401,Hospital Schools,K-12 all grades,75.0,*,*,*,*,*,*,*,*
09X204,P.S. 204 Morris Heights,Elementary,9.0,*,*,*,*,*,*,*,*
09X449,Grant Avenue Elementary School,Elementary,9.0,*,*,*,*,*,*,*,*
25Q240,Veritas Academy,High school,25.0,*,*,*,*,*,*,*,9
06M189,P.S. 189,Elementary,6.0,*,*,*,*,*,*,*,*
13K003,P.S. 003 The Bedford Village,Elementary,13.0,*,*,*,*,*,*,*,*
75X444,Home Schooling,Central-HQ-Citywide,75.0,*,*,*,*,*,*,*,*
23K518,Kappa V (Knowledge and Power Preparatory Academy),Junior High-Intermediate-Middle,23.0,*,*,*,*,*,*,*,*
27Q051,P.S. 051,Early Childhood,27.0,*,*,*,*,*,*,*,*
11X468,Pelham Academy of Academics and Community Engageme,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,*
30Q234,P.S. 234,Elementary,30.0,*,*,*,*,*,*,*,*
17K006,P.S. 006,Elementary,17.0,*,*,*,*,*,*,*,*
17K189,P.S. 189 The Bilingual Center,K-8,17.0,*,*,*,*,*,*,*,*
28Q440,Forest Hills High School,High school,28.0,*,*,*,6,*,*,*,15
07X031,P.S./M.S. 031 The William Lloyd Garrison,K-8,7.0,*,*,*,*,*,*,*,*
15K058,P.S. 058 The Carroll,Elementary,15.0,*,*,*,*,*,*,*,*
16K959,BOYS AND GIRLS YABC,High school,16.0,*,*,*,*,*,*,*,*
19K583,Multicultural High School,High school,19.0,*,*,*,*,*,*,*,*
13K046,P.S. 046 Edward C. Blum,Elementary,13.0,*,*,*,*,*,*,*,*
30Q084,P.S. 084 Steinway,Elementary,30.0,*,*,*,*,*,*,*,*
03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,3.0,*,*,*,*,*,*,*,15
10X439,Bronx High School for Law and Community Service,High school,10.0,*,*,*,*,*,*,*,7
10X306,P.S. 306,Elementary,10.0,*,*,*,*,*,*,*,*
02M313,"James Baldwin School, The: A School for Expedition",High school,2.0,*,*,*,*,*,*,*,*
24Q113,P.S./I.S. 113 Anthony J. Pranzo,K-8,24.0,*,*,*,*,*,*,*,*
32K377,P.S. 377 Alejandrina B. De Gautier,K-8,32.0,*,*,*,*,*,*,*,*
09X230,P.S. 230 Dr Roland N. Patterson,Elementary,9.0,*,*,*,*,*,*,*,*
02M135,The Urban Assembly School for Emergency Management,High school,2.0,*,*,7,*,*,*,*,13
25Q901,Flushing Evening High Schl M/W,Ungraded,25.0,*,*,*,*,*,*,*,*
04M372,Esperanza Preparatory Academy,Secondary School,4.0,*,*,*,*,*,*,*,*
02M432,Murray Hill Academy,High school,2.0,*,*,*,*,*,*,*,15
14K017,P.S. 017 Henry D. Woodworth,Elementary,14.0,*,*,*,*,*,*,*,*
20K748,P.S. 748 Brooklyn School for Global Scholars,Elementary,20.0,*,*,*,*,*,*,*,*
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,K-8,14.0,*,*,*,*,*,*,*,*
03M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,3.0,*,*,*,*,*,*,*,*
11X111,P.S. 111 Seton Falls,Elementary,11.0,*,*,*,*,*,*,*,*
27Q105,P.S. 105 The Bay School,K-8,27.0,*,*,24,*,*,*,*,29
01M361,The Children's Workshop School,Elementary,1.0,*,*,*,*,*,*,*,*
08X559,School for Tourism and Hospitality,High school,8.0,*,*,9,*,*,*,*,14
22K630,Professional Pathways High School,High school,22.0,*,*,*,*,*,*,*,*
06M178,Professor Juan Bosch Public School,Elementary,6.0,*,*,*,*,*,*,*,*
27Q282,Knowledge and Power Preparatory Academy VI,Junior High-Intermediate-Middle,27.0,*,*,*,*,*,*,*,*
09X022,J.H.S. 022 Jordan L. Mott,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,*
26Q094,P.S. 094 David D. Porter,Elementary,26.0,*,*,*,*,*,*,*,*
10X504,Kennedy Yabc,High school,10.0,*,*,*,*,*,*,*,*
01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,1.0,*,*,*,*,*,*,*,*
23K041,P.S. 041 Francis White,K-8,23.0,*,*,*,*,*,*,*,*
14K120,P.S. 120 Carlos Tapia,Elementary,14.0,*,*,*,*,*,*,*,*
04M112,P.S. 112 Jose Celso Barbosa,Early Childhood,4.0,*,*,*,*,*,*,*,*
25Q244,The Active Learning Elementary School,Elementary,25.0,*,*,*,*,*,*,*,*
07X030,P.S. 030 Wilton,Elementary,7.0,*,*,*,*,*,*,*,*
10X353,World View High School,High school,10.0,*,*,*,6,*,*,*,10
17K722,New Heights Middle School,Junior High-Intermediate-Middle,17.0,*,*,8,*,*,*,*,9
10X503,Walton Yabc,High school,10.0,*,*,*,*,*,*,*,*
20K127,P.S. 127 Mckinley Park,Elementary,20.0,*,*,*,*,*,*,*,*
07X296,South Bronx Academy for Applied Media,Junior High-Intermediate-Middle,7.0,*,*,*,*,*,*,*,20
02M605,Humanities Preparatory Academy,High school,2.0,*,*,*,*,*,*,*,*
07X533,Learning through Play Pre-K Center,District Pre-K Center,7.0,*,*,*,*,*,*,*,*
02M308,Lower Manhattan Arts Academy,High school,2.0,*,*,*,*,*,*,*,8
02M114,East Side Middle School,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*
09X294,The Walton Avenue School,Elementary,9.0,*,*,*,*,*,*,*,*
02M933,City Knoll Middle School,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*
30Q445,William Cullen Bryant High School,High school,30.0,*,*,8,23,*,*,*,35
27Q314,Epic High School - South,High school,27.0,*,*,*,*,*,*,*,*
20K200,P.S. 200 Benson School,Elementary,20.0,*,*,*,*,6,*,*,8
28Q157,J.H.S. 157 Stephen A. Halsey,Junior High-Intermediate-Middle,28.0,*,*,*,*,*,*,*,*
09X582,Garden of Learning and Discovery Pre-K Center,District Pre-K Center,9.0,*,*,*,*,*,*,*,*
03M256,M.S. 256 Academic & Athletic Excellence,Junior High-Intermediate-Middle,3.0,*,*,15,*,*,*,*,20
15K462,Secondary School for Law,High school,15.0,*,*,*,*,*,*,*,*
24Q013,P.S. 013 Clement C. Moore,Elementary,24.0,*,*,*,*,*,*,*,*
75Q004,P.S. Q004,K-8,75.0,*,*,*,*,*,*,*,*
10X159,P.S. 159 Luis Munoz Marin Biling,Elementary,10.0,*,*,*,*,*,*,*,*
07X359,Concourse Village Elementary School,Elementary,7.0,*,*,*,*,*,*,*,*
24Q016,P.S. Q016 The Nancy DeBenedittis School,Elementary,24.0,*,*,*,*,*,*,*,*
75Q256,P.S. Q256,K-12 all grades,75.0,*,*,*,*,*,*,*,*
31R055,P.S. 055 Henry M. Boehm,Elementary,31.0,*,*,*,*,*,*,*,*
27Q056,P.S. 056 Harry Eichler,Elementary,27.0,*,*,*,*,*,*,*,*
14K330,The School for the Urban Environment,Junior High-Intermediate-Middle,14.0,*,*,*,*,*,*,*,*
15K516,Sunset Park Avenues Elementary School,Elementary,15.0,*,*,*,*,*,*,*,*
05M133,P.S. 133 Fred R Moore,Elementary,5.0,*,*,*,*,*,*,*,*
31R445,Port Richmond High School,High school,31.0,*,*,8,*,*,*,*,13
25Q209,P.S. 209 Clearview Gardens,Elementary,25.0,*,*,*,*,*,*,*,*
06M457,George Washington Yabc,High school,6.0,*,*,*,*,*,*,*,*
09X063,P.S. 063 Author's Academy,Elementary,9.0,*,*,*,*,*,*,*,*
32K376,P.S. 376,Elementary,32.0,*,*,*,*,*,*,*,*
19K306,P.S. 306 Ethan Allen,K-8,19.0,*,*,9,*,*,*,*,10
06M366,Washington Heights Academy,K-8,6.0,*,*,*,*,*,*,*,*
09X035,P.S. 035 Franz Siegel,Elementary,9.0,*,*,*,*,*,*,*,*
08X062,P.S. 062 Inocensio Casanova,Elementary,8.0,*,*,*,*,*,*,*,*
10X386,School for Environmental Citizenship,Elementary,10.0,*,*,*,*,*,*,*,*
24Q293,Civic Leadership Academy,High school,24.0,*,*,*,*,*,*,*,*
03M291,West End Secondary School,Secondary School,3.0,*,*,*,*,*,*,*,*
20K102,P.S. 102 The Bayview,Elementary,20.0,*,*,*,*,*,*,*,*
29Q052,P.S. 052 Queens,Elementary,29.0,*,*,*,*,*,*,*,*
24Q093,I.S. 093 Ridgewood,Junior High-Intermediate-Middle,24.0,*,*,*,30,*,*,*,38
13K412,"Brooklyn Community High School of Communication, A",High school,13.0,*,*,*,*,*,*,*,*
31R051,I.S. 051 Edwin Markham,Junior High-Intermediate-Middle,31.0,*,*,24,10,*,*,*,38
06M311,Amistad Dual Language School,K-8,6.0,*,*,*,*,*,*,*,*
12X521,The Metropolitan Soundview High School,High school,12.0,*,*,*,*,*,*,*,16
09X241,Urban Assembly School for Applied Math and Science,Secondary School,9.0,*,*,*,*,*,*,*,*
22K197,P.S. 197 - The Kings Highway Academy,Elementary,22.0,*,*,*,*,*,*,*,*
20K682,The Academy of Talented Scholars,Elementary,20.0,*,*,*,*,*,*,*,*
08X101,M.S. X101 Edward R. Byrne,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,*
17K484,Ronald Edmonds Learning Center II,Junior High-Intermediate-Middle,17.0,*,*,*,*,*,*,*,*
18K635,Olympus Academy,High school,18.0,*,*,*,*,*,*,*,*
02M519,Talent Unlimited High School,High school,2.0,*,*,*,*,*,*,*,*
21K101,P.S. 101 The Verrazano,Elementary,21.0,*,*,*,*,*,*,*,*
13K691,Fort Greene Preparatory Academy,Junior High-Intermediate-Middle,13.0,*,*,13,*,*,*,*,17
07X495,University Heights Secondary School,High school,7.0,*,*,*,*,*,*,*,*
30Q085,P.S. 085 Judge Charles Vallone,Elementary,30.0,*,*,*,*,*,*,*,*
25Q169,P.S. 169 Bay Terrace,Elementary,25.0,*,*,*,*,*,*,*,*
17K467,Erasmus Yabc,High school,17.0,*,*,*,*,*,*,*,*
04M072,The Lexington Academy,K-8,4.0,*,*,*,*,*,*,*,*
12X341,Accion Academy,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,*
02M560,High School M560 - City As School,High school,2.0,*,*,*,*,*,*,*,*
24Q457,H.S. Arts & Business Yabc,High school,24.0,*,*,*,*,*,*,*,*
22K495,Sheepshead Bay High School,High school,22.0,*,*,*,*,*,*,*,*
16K040,P.S. 040 George W. Carver,Elementary,16.0,*,*,*,*,*,*,*,*
30Q329,East Elmhurst Community School,Elementary,30.0,*,*,*,*,*,*,*,*
28Q182,P.S. 182 Samantha Smith,Elementary,28.0,*,*,*,*,*,*,*,7
12X446,Arturo A. Schomburg Satellite Academy Bronx,High school,12.0,*,*,*,*,*,*,*,*
21K303,I.S. 303 Herbert S. Eisenberg,Junior High-Intermediate-Middle,21.0,*,*,*,*,*,*,*,*
12X190,E.S.M.T- I.S. 190,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,*
12X092,P.S. 092 Bronx,Elementary,12.0,*,*,*,*,*,*,*,*
01M142,P.S. 142 Amalia Castro,Elementary,1.0,*,*,*,*,*,*,*,*
27Q064,P.S. 064 Joseph P. Addabbo,Elementary,27.0,*,*,*,*,*,*,*,*
06M152,P.S. 152 Dyckman Valley,Elementary,6.0,*,*,*,*,*,*,*,*
06M211,Inwood Early College for Health and Information Te,High school,6.0,*,*,*,*,*,*,*,*
11X270,Academy for Scholarship and Entrepreneurship: A Co,High school,11.0,*,*,10,*,*,*,*,13
13K305,P.S. 305 Dr. Peter Ray,Elementary,13.0,*,*,*,*,*,*,*,*
17K539,High School for Service & Learning at Erasmus,High school,17.0,*,*,*,*,*,*,*,15
02M529,Jacqueline Kennedy Onassis High School,High school,2.0,*,*,17,22,*,*,*,42
07X018,P.S. 018 John Peter Zenger,Elementary,7.0,*,*,*,*,*,*,*,*
17K241,P.S. 241 Emma L. Johnston,Elementary,17.0,*,*,*,*,*,*,*,*
