all/school_o.csv.DBN,all/school_o.csv.LOCATION NAME,all/school_o.csv.LOCATION CATEGORY,all/school_o.csv.ADMINISTRATIVE DISTRICT,all/school_o.csv.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.ASIAN STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.BLACK STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.HISPANIC STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.WHITE STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.TOTAL STUDENTS With 2 or More Suspensions or Removals
75K004,P.S. K004,Elementary,75.0,*,*,*,*,*,*,*,*
08X335,The Academy of the Arts,Elementary,8.0,*,*,*,*,*,*,*,*
02M475,Stuyvesant High School,High school,2.0,*,*,*,*,*,*,*,*
24Q061,I.S. 061 Leonardo Da Vinci,Junior High-Intermediate-Middle,24.0,*,*,*,42,*,*,*,51
03M862,Mott Hall II,Junior High-Intermediate-Middle,3.0,*,*,*,*,*,*,*,*
29Q036,P.S. 036 Saint Albans School,Elementary,29.0,*,*,*,*,*,*,*,*
15K429,Brooklyn School for Global Studies,Secondary School,15.0,*,*,*,*,*,*,*,30
05M157,The Urban Assembly School for Global Commerce,High school,5.0,*,*,*,*,*,*,*,17
28Q328,High School for Community Leadership,High school,28.0,*,*,*,*,*,*,*,*
32K384,P.S. /I.S. 384 Frances E. Carter,K-8,32.0,*,*,*,*,*,*,*,*
32K086,P.S. 086 The Irvington,Elementary,32.0,*,*,*,*,*,*,*,*
22K326,P.S. 326,Early Childhood,22.0,*,*,*,*,*,*,*,*
28Q175,P.S. 175 The Lynn Gross Discovery School,Elementary,28.0,*,*,*,*,*,*,*,*
08X138,P.S. 138 Samuel Randall,Elementary,8.0,*,*,*,*,*,*,*,*
30Q151,P.S. 151 Mary D. Carter,Elementary,30.0,*,*,*,*,*,*,*,*
15K767,The Little Brooklyn Pre-K Center,District Pre-K Center,15.0,*,*,*,*,*,*,*,*
04M206,P.S. 206 Jose Celso Barbosa,K-8,4.0,*,*,*,*,*,*,*,9
11X455,Harry S Truman High School,High school,11.0,*,*,*,*,*,*,*,*
01M019,P.S. 019 Asher Levy,Elementary,1.0,*,*,*,*,*,*,*,*
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High school,2.0,*,*,*,*,*,*,*,*
12X428,Learning To Work Yabc At Monroe Academy,High school,12.0,*,*,*,*,*,*,*,*
75K036,P.S. 36,K-12 all grades,75.0,*,*,*,*,*,*,*,*
18K219,P.S. 219 Kennedy-King,Elementary,18.0,*,*,*,*,*,*,*,*
30Q126,Albert Shanker School for Visual and Performing Ar,Junior High-Intermediate-Middle,30.0,*,*,16,15,*,*,*,37
28Q072,Catherine & Count Basie Middle School 72,Junior High-Intermediate-Middle,28.0,*,*,10,*,*,*,*,11
28Q055,P.S. 055 Maure,Elementary,28.0,*,*,*,*,*,*,*,*
25Q281,East-West School of International Studies,Secondary School,25.0,*,*,*,*,*,*,*,*
31R019,P.S. 019 The Curtis School,Elementary,31.0,*,*,*,*,*,*,*,6
09X110,P.S. 110 Theodore Schoenfeld,Elementary,9.0,*,*,*,*,*,*,*,*
30Q111,P.S. 111 Jacob Blackwell,K-8,30.0,*,*,*,*,*,*,*,7
22K203,P.S. 203 Floyd Bennett School,Elementary,22.0,*,*,*,*,*,*,*,6
25Q020,P.S. 020 John Bowne,Elementary,25.0,*,*,*,*,*,*,*,6
31R080,The Michael J. Petrides School,K-12 all grades,31.0,*,*,*,*,*,*,*,*
27Q400,August Martin High School,High school,27.0,*,*,22,*,*,*,*,25
12X047,P.S. 047 John Randolph,Elementary,12.0,*,*,*,*,*,*,*,*
31R047,CSI High School for International Studies,High school,31.0,*,*,*,*,*,*,*,*
25Q021,P.S. 021 Edward Hart,Elementary,25.0,*,9,*,8,*,*,*,21
30Q286,"Young Women's Leadership School, Astoria",Secondary School,30.0,*,*,*,*,*,*,*,*
06M513,Castle Bridge School,Elementary,6.0,*,*,*,*,*,*,*,*
11X509,High School of Language and Innovation,High school,11.0,*,*,*,6,*,*,*,8
28Q287,The Emerson School,Junior High-Intermediate-Middle,28.0,*,*,10,*,*,*,*,14
29Q176,P.S. 176 Cambria Heights,Elementary,29.0,*,*,*,*,*,*,*,*
12X536,P.S. 536,Elementary,12.0,*,*,*,*,*,*,*,*
27Q306,New York City Academy for Discovery,Elementary,27.0,*,*,*,*,*,*,*,*
25Q219,P.S. 219 Paul Klapper,K-8,25.0,*,*,*,*,*,*,*,9
18K629,Cultural Academy for the Arts and Sciences,High school,18.0,*,*,32,*,*,*,*,38
11X272,Globe School for Environmental Research,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,*
11X290,Bronx Academy of Health Careers,High school,11.0,*,*,6,*,*,*,*,10
26Q026,P.S. 026 Rufus King,Elementary,26.0,*,*,*,*,*,*,*,*
27Q480,John Adams High School,High school,27.0,*,*,*,*,*,*,*,8
28Q054,P.S. 054 Hillside,Elementary,28.0,*,*,*,*,*,*,*,*
24Q530,International High School at LaGuardia Community C,High school,24.0,*,*,*,*,*,*,*,*
75Q023,P.S. Q023 @ Queens Children Center,K-12 all grades,75.0,*,*,*,*,*,*,*,*
24Q744,VOYAGES Preparatory,High school,24.0,*,*,*,*,*,*,*,*
79X695,Passages Academy,K-12 all grades,79.0,*,*,*,*,*,*,*,*
27Q226,J.H.S. 226 Virgil I. Grissom,Junior High-Intermediate-Middle,27.0,*,*,6,*,*,*,*,7
30Q150,P.S. 150 Queens,Elementary,30.0,*,*,*,*,*,*,*,*
27Q100,P.S. 100 Glen Morris,Elementary,27.0,*,*,*,*,*,*,*,*
75K372,P.S. 372 -The Children's School,Elementary,75.0,*,*,*,*,*,*,*,*
31R059,The Harbor View School,Elementary,31.0,*,*,*,*,*,*,*,*
14K488,Brooklyn Preparatory High School,High school,14.0,*,*,11,*,*,*,*,16
11X483,The Matilda Avenue School,Elementary,11.0,*,*,*,*,*,*,*,*
19K501,Franklin K. Lane Campus YABC,High school,19.0,*,*,*,*,*,*,*,*
10X340,P.S. 340,Elementary,10.0,*,*,*,*,*,*,*,*
12X242,Mott Hall V,Secondary School,12.0,*,*,*,7,*,*,*,12
10X442,"Celia Cruz Bronx High School of Music, The",High school,10.0,*,*,*,*,*,*,*,*
21K344,Rachel Carson High School for Coastal Studies,High school,21.0,*,*,10,*,*,*,*,16
25Q129,P.S. 129 Patricia Larkin,Elementary,25.0,*,*,*,*,*,*,*,*
23K493,Brooklyn Collegiate: A College Board School,High school,23.0,*,*,6,*,*,*,*,7
10X094,P.S. 094 Kings College School,Elementary,10.0,*,*,*,*,*,*,*,*
20K227,J.H.S. 227 Edward B. Shallow,Junior High-Intermediate-Middle,20.0,*,*,*,10,*,*,*,17
10X246,P.S. 246 Poe Center,Elementary,10.0,*,*,*,*,*,*,*,*
23K668,Riverdale Avenue Middle School,Junior High-Intermediate-Middle,23.0,*,*,*,*,*,*,*,*
13K499,ACORN Community High School,High school,13.0,*,*,*,*,*,*,*,6
31R062,The Kathleen Grimm School for Leadership and Susta,Elementary,31.0,*,*,*,*,*,*,*,*
28Q206,P.S. 206 The Horace Harding School,Elementary,28.0,*,*,*,*,*,*,*,*
09X404,School for Excellence,High school,9.0,*,*,*,*,*,*,*,*
02M393,Business Of Sports School,High school,2.0,*,*,*,*,*,*,*,14
19K618,Academy of Innovative Technology,High school,19.0,*,*,*,*,*,*,*,*
10X368,In-Tech Academy (M.S. / High School 368),Secondary School,10.0,*,*,*,10,*,*,*,13
25Q107,P.S. 107 Thomas A Dooley,Elementary,25.0,*,*,*,*,*,*,*,*
13K419,"Science Skills Center High School for Science, Tec",High school,13.0,*,*,*,*,*,*,*,*
16K028,P.S. 028 The Warren Prep Academy,Elementary,16.0,*,*,*,*,*,*,*,*
29Q238,I.S. 238 - Susan B. Anthony Academy,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,9
17K012,Dr. Jacqueline Peek-Davis School,Elementary,17.0,*,*,*,*,*,*,*,*
31R024,I.S. 024 Myra S. Barnes,Junior High-Intermediate-Middle,31.0,*,*,*,*,*,*,*,23
20K104,P.S./I.S. 104 The Fort Hamilton School,K-8,20.0,*,*,*,*,*,*,*,*
04M038,P.S. 38 Roberto Clemente,Elementary,4.0,*,*,*,6,*,*,*,9
08X301,M.S. 301 Paul L. Dunbar,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,*
14K478,"The High School for Enterprise, Business and Techn",High school,14.0,*,*,6,*,*,*,*,9
16K267,"M.S. 267 Math, Science & Technology",Junior High-Intermediate-Middle,16.0,*,*,8,*,*,*,*,11
08X320,Pelham Lab High School,High school,8.0,*,*,8,12,*,*,*,22
14K023,P.S. 023 Carter G. Woodson,Elementary,14.0,*,*,*,*,*,*,*,*
31R052,P.S. 052 John C. Thompson,Elementary,31.0,*,*,*,*,*,*,*,*
24Q331,Mosaic Pre-K Center,District Pre-K Center,24.0,*,*,*,*,*,*,*,*
19K677,East New York Elementary School of Excellence,Elementary,19.0,*,*,8,*,*,*,*,10
11X462,Cornerstone Academy for Social Action Middle Schoo,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,*
32K168,The Brooklyn School for Math and Research,High school,32.0,*,*,*,*,*,*,*,*
11X127,J.H.S. 127 The Castle Hill,Junior High-Intermediate-Middle,11.0,*,*,23,21,*,*,*,48
18K444,Home Schooling,Central-HQ-Citywide,18.0,*,*,*,*,*,*,*,*
31R016,P.S. 016 John J. Driscoll,Elementary,31.0,*,*,8,*,*,*,*,13
13K067,P.S. 067 Charles A. Dorsey,Elementary,13.0,*,*,*,*,*,*,*,*
12X251,Explorations Academy,High school,12.0,*,*,*,*,*,*,*,*
02M399,The High School For Language And Diplomacy,High school,2.0,*,*,*,*,*,*,*,*
14K685,El Puente Academy for Peace and Justice,High school,14.0,*,*,*,*,*,*,*,*
31R049,I.S. 49 Berta A. Dreyfus,Junior High-Intermediate-Middle,31.0,*,*,27,7,*,*,*,40
08X371,Urban Institute of Mathematics,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,*
10X007,Milton Fein School,Elementary,10.0,*,*,*,*,*,*,*,*
