DBN,sch_type,location,enrollment,borough,principal,studentsurvey,rr_s,rr_t,rr_p,N_s,N_t,N_p,nr_s,nr_t,nr_p,saf_p_10,com_p_10,eng_p_10,aca_p_10,saf_t_10,com_t_10,eng_t_10,aca_t_10,saf_s_10,com_s_10,eng_s_10,aca_s_10,saf_tot_10,com_tot_10,eng_tot_10,aca_tot_10,p_q2i,p_q7a,p_q7b,p_q7c,p_q7d,p_q8a,p_q8b,p_q8c,p_q8d,p_q8e,p_q8f,p_q2b,p_q2d,p_q2f,p_q2g,p_q2h,p_q3a,p_q3b,p_q4b,p_q4c,p_q11c,p_q2a,p_q2c,p_q2e,p_q3c,p_q6,p_q11d,p_q11e,p_q5,p_q4a,p_q4d,p_q4e,p_q11a,p_q11b,p_q11f,p_q1,p_q3d,p_q9,p_q10,p_q12aa,p_q12ab,p_q12ac,p_q12ad,p_q12ba,p_q12bb,p_q12bc,p_q12bd,p_q1_1,p_q1_2,p_q1_3,p_q1_4,p_q1_5,p_q1_6,p_q1_7,p_q1_8,p_q1_9,p_q1_10,p_q1_11,p_q1_12,p_q1_13,p_q1_14,p_q2a_1,p_q2a_2,p_q2a_3,p_q2a_4,p_q2a_5,p_q2b_1,p_q2b_2,p_q2b_3,p_q2b_4,p_q2b_5,p_q2c_1,p_q2c_2,p_q2c_3,p_q2c_4,p_q2c_5,p_q2d_1,p_q2d_2,p_q2d_3,p_q2d_4,p_q2d_5,p_q2e_1,p_q2e_2,p_q2e_3,p_q2e_4,p_q2e_5,p_q2f_1,p_q2f_2,p_q2f_3,p_q2f_4,p_q2f_5,p_q2g_1,p_q2g_2,p_q2g_3,p_q2g_4,p_q2g_5,p_q2h_1,p_q2h_2,p_q2h_3,p_q2h_4,p_q2h_5,p_q2i_1,p_q2i_2,p_q2i_3,p_q2i_4,p_q2i_5,p_q3a_1,p_q3a_2,p_q3a_3,p_q3a_4,p_q3a_5,p_q3b_1,p_q3b_2,p_q3b_3,p_q3b_4,p_q3b_5,p_q3c_1,p_q3c_2,p_q3c_3,p_q3c_4,p_q3c_5,p_q3d_1,p_q3d_2,p_q3d_3,p_q3d_4,p_q3d_5,p_q4a_1,p_q4a_2,p_q4a_3,p_q4a_4,p_q4a_5,p_q4b_1,p_q4b_2,p_q4b_3,p_q4b_4,p_q4b_5,p_q4c_1,p_q4c_2,p_q4c_3,p_q4c_4,p_q4c_5,p_q4d_1,p_q4d_2,p_q4d_3,p_q4d_4,p_q4d_5,p_q4e_1,p_q4e_2,p_q4e_3,p_q4e_4,p_q4e_5,p_q5a,p_q5b,p_q5c,p_q5d,p_q5e,p_q5f,p_q5g,p_q5h,p_q5i,p_q5j,p_q6_1,p_q6_2,p_q6_3,p_q6_4,p_q6_5,p_q7a_1,p_q7a_2,p_q7a_3,p_q7a_4,p_q7a_5,p_q7b_1,p_q7b_2,p_q7b_3,p_q7b_4,p_q7b_5,p_q7c_1,p_q7c_2,p_q7c_3,p_q7c_4,p_q7c_5,p_q7d_1,p_q7d_2,p_q7d_3,p_q7d_4,p_q7d_5,p_q8a_1,p_q8a_2,p_q8a_3,p_q8a_4,p_q8a_5,p_q8b_1,p_q8b_2,p_q8b_3,p_q8b_4,p_q8b_5,p_q8c_1,p_q8c_2,p_q8c_3,p_q8c_4,p_q8c_5,p_q8d_1,p_q8d_2,p_q8d_3,p_q8d_4,p_q8d_5,p_q8e_1,p_q8e_2,p_q8e_3,p_q8e_4,p_q8e_5,p_q8f_1,p_q8f_2,p_q8f_3,p_q8f_4,p_q8f_5,p_q9_1,p_q9_2,p_q9_3,p_q9_4,p_q9_5,p_q9_6,p_q9_7,p_q9_8,p_q9_9,p_q9_10,p_q10a,p_q10b,p_q10c,p_q10d,p_q10e,p_q10f,p_q10g,p_q10h,p_q10i,p_q10j,p_q10k,p_q10l,p_q11a_1,p_q11a_2,p_q11a_3,p_q11a_4,p_q11b_1,p_q11b_2,p_q11b_3,p_q11b_4,p_q11c_1,p_q11c_2,p_q11c_3,p_q11c_4,p_q11d_1,p_q11d_2,p_q11d_3,p_q11d_4,p_q11e_1,p_q11e_2,p_q11e_3,p_q11e_4,p_q11f_1,p_q11f_2,p_q11f_3,p_q11f_4,p_q12aa_1,p_q12aa_2,p_q12aa_3,p_q12aa_4,p_q12aa_5,p_q12ab_1
18K598,Middle School,Middle School of Marketing and Legal Studies,302,BROOKLYN,JAMEELA HORTON-BALL,Yes,79,88,17,234,22,47,297,25,284,8.2,8,7.5,8,7,7.6,7.4,8.2,5.2,5.7,6,7.2,6.8,7.1,7,7.8,7.8,8.1,8.2,8.3,7.5,5.8,8.1,9.2,9.1,9.5,8.6,8.3,8.7,8.5,8.5,7.4,7.5,6.8,8.4,8.3,7.8,8.7,7.8,7.1,8.3,7.2,7.5,7.2,6.5,8.9,8.4,NA,8.4,7.1,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,30,37,30,0,0,0,0,62,36,2,0,0,51,47,2,0,0,40,56,5,0,0,63,35,2,0,0,11,36,4,0,49,57,41,2,0,0,54,39,2,0,5,43,36,20,0,0,43,43,7,2,5,40,36,16,2,7,33,30,20,10,8,33,41,13,5,8,34,39,20,7,0,60,36,0,0,4,51,42,7,0,0,47,47,7,0,0,50,43,7,0,0,NA,NA,NA,NA,NA,21,9,15,4,26,19,4,55,15,13,33,42,22,0,2,43,45,7,0,5,40,50,5,0,5,48,38,2,0,12,38,49,8,3,3,14,31,7,12,36,49,9,5,7,30,50,7,0,2,40,44,7,0,2,46,38,7,0,0,55,31,12,0,2,55,4,19,19,11,7,7,4,11,19,0,38,43,11,43,4,11,79,6,0,43,0,0,55,43,2,0,33,50,14,2,45,45,7,2,38,50,10,2,33,52,12,2,35,51,9,5,19,44,8,6,22,9
18K617,High School,High School for Innovation in Advertising and Media,165,BROOKLYN,Adaleza Michelena,Yes,90,64,36,141,9,54,156,14,152,7.8,7.7,7.3,7.6,7.1,6.2,6.9,7.1,6.4,6.3,6.7,7.7,7.1,6.7,7,7.5,7.9,7.3,7.8,7.9,7.4,6,8.2,9.3,8.2,9.3,6.6,8.1,8.1,8.4,8.1,7.4,7.1,6,8.4,8,7.1,8.6,7.6,7.4,6.1,7.3,7.3,7,7.5,8.8,8.3,6.6,7.5,7.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,49,51,0,0,57,43,0,0,0,45,53,2,0,0,31,63,4,0,2,48,48,4,0,0,22,31,8,0,39,51,49,0,0,0,46,46,4,0,4,32,58,9,0,0,37,53,0,2,8,37,27,20,12,4,18,35,25,12,10,21,21,21,15,21,20,35,25,16,4,53,45,0,0,2,38,62,0,0,0,36,55,4,2,4,42,53,4,0,2,18,50,20,0,11,28,6,4,2,4,44,26,50,39,20,29,50,15,0,6,25,56,13,0,6,34,57,4,4,0,31,60,8,0,0,32,59,5,2,2,17,37,11,11,24,51,11,4,6,28,52,8,2,0,38,43,19,6,2,30,45,4,0,2,49,30,13,11,11,36,7,23,16,5,16,5,0,12,14,2,57,48,6,37,17,9,54,7,2,28,4,2,34,60,4,2,30,60,9,2,36,45,15,4,27,64,9,0,22,67,9,2,26,63,4,7,13,67,11,0,9,2
18K633,High School,High School for Medical Professions,232,BROOKLYN,Joseph Scarmato,Yes,86,100,25,197,14,56,230,14,226,8.1,7.9,7.8,7.9,6.6,5.3,4.9,6.1,6.7,6.6,6.7,7.8,7.1,6.6,6.5,7.2,7.6,7.9,8,7.6,7.5,6.3,7.9,9.5,8.6,9.4,9.1,7.9,8.2,8.6,8.3,7.6,7.3,6.7,8.4,8,8.1,8.3,7.5,7.6,8.5,7.2,7.5,7.6,8.1,8.7,8.2,7.2,7.6,7.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,65,33,0,0,48,48,0,0,4,45,46,5,2,2,29,57,4,2,9,46,48,2,0,4,20,33,4,0,43,60,38,2,0,0,51,45,2,0,2,39,48,5,4,4,42,43,9,2,4,38,27,27,4,4,23,38,30,4,5,23,48,23,4,2,32,25,30,8,6,61,34,4,2,0,53,40,2,4,2,40,51,6,2,2,39,54,0,2,5,37,35,15,4,9,20,9,16,18,13,14,54,68,30,50,25,55,13,2,6,28,65,0,2,6,36,56,5,2,0,35,50,9,4,2,35,51,6,2,6,20,43,11,9,17,40,29,2,5,24,60,4,0,2,34,49,13,0,5,33,58,4,2,2,35,48,7,2,2,41,6,8,18,16,16,2,6,16,10,2,79,61,25,41,20,9,77,7,4,46,0,0,39,52,7,2,40,53,5,2,48,48,2,2,38,53,5,4,38,55,5,2,44,53,2,2,20,37,24,2,18,18
18K635,High School,Olympus Academy,202,BROOKLYN,Seth Schoenfeld,Yes,74,80,6,128,12,10,172,15,170,7.8,7.2,7.2,7.6,7.5,7.4,8.5,8.8,7.8,7,7.8,8.2,7.7,7.2,7.8,8.2,7.7,7.8,7.3,7.8,7.5,6.7,6.7,8.8,8.6,8.1,8.7,8.3,8,8,6.3,7.1,6.4,6.4,8.3,6.5,6.3,8.7,7.4,6.1,8.5,5.8,6.3,6.7,7.9,8.8,7.2,7,8.3,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,33,67,60,40,0,0,0,60,30,10,0,0,30,50,10,0,10,40,60,0,0,0,0,56,11,0,33,50,40,10,0,0,33,33,22,11,0,25,63,13,0,0,40,50,10,0,0,14,43,29,14,0,22,33,22,22,0,30,40,30,0,0,10,60,20,10,0,70,20,10,0,0,50,40,10,0,0,20,50,30,0,0,33,44,22,0,0,30,40,20,0,10,30,10,0,0,20,20,40,50,30,10,0,56,22,0,22,30,60,10,0,0,10,80,10,0,0,22,67,0,0,11,25,75,0,0,0,20,30,20,0,30,40,20,20,10,10,67,11,11,0,11,50,10,10,0,30,70,0,10,10,10,40,0,10,0,50,0,20,0,40,20,0,0,0,20,0,80,40,0,20,0,10,40,20,10,30,0,0,60,30,10,0,30,50,10,10,20,50,30,0,11,67,22,0,11,78,11,0,30,60,10,0,0,50,13,0,38,0
18K637,High School,Academy for Conservation and the Environment,133,BROOKLYN,Michelle Ashkin,Yes,75,92,15,92,12,18,123,13,118,7.8,6.7,6.7,6.8,6.8,5.2,5.9,6.2,6.3,6,6.3,7.2,7,6,6.3,6.7,7.1,7.1,7.4,7.2,8.3,6.7,8.7,9.6,7.9,8.3,7.7,7.8,8.3,7.3,7.3,6.3,3.8,4.1,7.2,7.1,7.7,8.6,7.3,6.7,4.1,6.3,6.7,6.5,7.5,7.8,6.9,4.8,7.4,7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,61,39,0,0,56,39,0,0,6,33,61,0,0,6,19,81,0,0,0,47,47,0,0,6,13,25,13,0,50,38,50,6,6,0,29,59,12,0,0,17,67,6,11,0,38,44,13,6,0,11,11,22,28,28,6,31,6,31,25,6,19,6,25,44,17,22,22,22,17,28,67,0,6,0,28,56,11,6,0,28,50,11,6,6,28,50,6,11,6,14,21,29,14,21,28,17,0,0,22,17,6,67,17,22,12,65,12,12,0,17,67,17,0,0,22,61,11,0,6,17,61,6,0,17,50,50,0,0,0,18,35,18,0,29,65,18,0,6,12,47,6,0,0,47,39,11,6,6,39,41,12,0,6,41,38,13,6,6,38,20,10,20,0,20,10,0,0,20,0,83,39,0,39,11,6,78,6,6,39,0,0,33,61,0,6,22,67,11,0,50,38,6,6,24,59,12,6,29,41,24,6,33,44,11,11,0,54,8,8,31,0
18K642,High School,Urban Action Academy,170,BROOKLYN,Abe Correa,Yes,71,53,19,117,8,30,164,15,157,8.7,8.5,8.2,8.6,7.3,6.3,6.9,7.5,6.6,6.4,6.9,7.4,7.5,7.1,7.3,7.8,8.7,8.1,8.4,8.1,8.6,6.7,8.6,10,9.4,10,9.2,8.7,8.4,8.9,8.7,8.6,7.3,7.6,8.9,8.6,9,9,8.1,8.5,8.3,7.5,8,8.5,7.2,9,8.7,8.6,8.9,8.3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,54,46,0,0,70,30,0,0,0,67,23,7,0,3,50,43,7,0,0,57,40,3,0,0,48,30,4,0,19,67,27,3,0,3,55,34,0,0,10,60,37,3,0,0,60,37,0,0,3,47,27,10,3,13,37,48,4,4,7,37,30,20,13,0,41,34,10,14,0,69,24,3,0,3,63,33,3,0,0,55,38,3,0,3,55,41,3,0,0,50,42,0,0,8,17,20,17,7,23,17,20,57,37,20,34,41,10,0,14,38,55,0,3,3,48,45,0,3,3,36,54,0,0,11,57,39,0,0,4,27,20,13,7,33,57,3,3,7,30,63,0,0,0,37,52,3,3,0,41,43,0,0,0,57,52,3,0,3,41,0,6,22,6,17,11,0,11,28,0,60,40,20,30,30,13,73,0,0,47,0,3,66,34,0,0,55,41,0,3,72,24,3,0,55,34,7,3,62,34,0,3,50,43,7,0,31,38,0,8,23,24
84K652,Early Childhood School,Brooklyn Ascend Charter School,249,BROOKLYN,Keisha Sykes,No,,72,62,,13,135,,18,217,9.5,8.9,8.7,9.3,8.6,7.5,7,8.3,,,,,9,8.2,7.9,8.8,8.8,9.4,9.5,9.2,8.6,8.7,9.9,10,10,10,10,8.8,9.2,9.4,9.4,8.9,8.5,6.8,9.6,9.4,8.9,9.1,9,8.5,8.4,8.3,8.9,9,8.9,9.7,9.4,NA,9.3,8.8,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,28,36,20,0,0,0,0,0,0,0,0,0,75,22,2,0,1,66,31,3,0,1,70,28,2,0,1,75,22,0,0,3,33,27,0,0,40,82,17,1,0,0,81,18,0,0,1,69,29,1,1,0,62,34,1,0,4,57,30,9,4,0,34,28,20,12,7,35,32,27,5,0,56,26,13,3,2,90,10,0,0,0,84,15,1,0,0,78,20,2,0,0,78,20,1,1,0,NA,NA,NA,NA,NA,70,67,16,3,55,35,8,70,8,16,47,43,8,0,2,78,22,0,0,0,80,20,0,0,0,74,23,2,0,2,57,31,0,3,10,40,23,0,1,36,72,2,0,0,26,75,0,0,0,25,73,1,0,0,27,83,0,0,0,17,84,0,0,0,16,2,13,25,15,11,5,6,14,9,0,50,44,1,79,7,10,88,2,4,64,1,1,81,17,1,1,68,31,0,2,71,26,2,1,71,26,1,2,74,23,2,2,79,20,0,2,36,37,7,1,19,33
18K922,YABC,South Shore Educational Complex Yabc,274,BROOKLYN,,Yes,60,96,17,145,23,34,240,24,206,8.5,7.3,7.2,7.9,8.6,7.6,8.5,8.3,7.6,6,7,7.6,8.2,7,7.6,7.9,8,7.9,8.4,7.9,8.5,6.9,9.4,9,9.3,10,7.6,8.4,7.9,8.3,7.7,8.1,5.5,5.3,8,7.4,6.9,8.3,7.9,7.4,6.8,7.7,7,7,5.7,8.5,8.5,8,7.7,7.3,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,13,87,50,50,0,0,0,52,48,0,0,0,38,50,3,0,9,42,55,0,3,0,23,48,6,0,23,50,43,3,0,3,41,34,13,0,13,45,52,3,0,0,45,34,3,3,14,12,36,27,6,18,10,41,17,10,21,16,32,13,26,13,20,27,23,23,7,47,47,0,0,6,42,45,3,3,6,32,42,3,3,19,43,53,0,0,3,34,59,0,3,3,6,9,0,0,3,9,6,21,6,12,24,61,0,0,15,34,50,3,0,13,39,58,0,0,3,32,57,4,0,7,48,41,0,0,10,22,16,6,6,50,48,3,3,0,45,39,3,0,3,55,31,0,3,0,66,25,0,0,0,75,17,0,3,3,76,0,11,11,6,6,22,6,22,17,0,74,44,15,18,3,0,68,0,0,18,0,0,34,62,3,0,25,68,7,0,22,67,7,4,31,52,14,3,30,56,11,4,30,67,3,0,19,56,11,0,15,12
19K007,Elementary School,P.S. 007 Abraham Lincoln,883,BROOKLYN,Nydia Acevedo,No,,74,73,,54,549,,73,750,9,8.2,8.2,8.6,7.7,6.9,6.8,7.7,,,,,8.3,7.5,7.5,8.1,7.9,8.7,8.9,8.6,8.4,8.5,9.3,9.6,9.7,9.8,9.8,8.1,8.4,8.4,8.3,8.1,8.1,7,8.6,8.7,8.3,8.6,8.2,8.1,8.7,7.8,8.3,8.4,7.3,8.6,8.6,NA,9,8.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,16,17,22,17,20,0,0,0,0,0,0,0,0,60,37,1,1,0,50,47,2,2,0,50,46,3,1,0,57,39,2,1,1,36,43,1,1,20,56,40,3,0,0,52,42,3,0,3,50,43,6,1,0,42,47,5,1,5,51,30,13,5,1,41,30,10,5,14,45,34,12,5,4,45,29,17,5,3,53,42,2,0,3,51,46,2,0,1,55,41,2,0,1,52,42,3,0,3,NA,NA,NA,NA,NA,40,17,12,9,7,37,8,38,10,14,38,47,6,2,7,55,41,2,1,1,58,40,1,0,2,52,42,1,1,4,52,41,1,0,6,49,21,3,2,25,71,6,3,2,18,76,4,1,1,18,75,4,1,1,19,81,3,0,1,16,79,3,0,0,17,6,16,19,9,9,10,3,13,12,3,47,25,13,66,10,6,61,7,7,52,1,2,73,26,1,1,53,42,4,1,53,44,2,1,54,43,2,1,55,42,2,1,61,36,2,1,30,51,5,2,12,31
19K013,Elementary School,P.S. 013 Roberto Clemente,531,BROOKLYN,Barbara Ashby,No,,92,35,,48,158,,52,450,8.6,7.9,8.1,8.3,7.7,7.5,7.9,8.5,,,,,8.1,7.7,8,8.4,7.9,8.3,8.3,7.9,7.9,7.2,8.7,9.4,9.2,9.9,9.9,7.7,8.4,8,8,7.3,7.1,7.8,8.2,8.4,7.9,8.2,8.1,7.6,9,7.3,8.1,8.1,8.3,8.3,8.3,NA,8.6,8.1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,14,14,14,14,24,1,0,0,0,0,0,0,51,45,3,1,1,42,49,6,3,0,45,50,4,0,1,55,42,1,1,1,33,39,8,1,20,47,45,8,0,0,46,44,5,1,3,38,45,14,3,1,46,43,5,3,3,39,33,12,7,10,44,36,10,10,1,49,35,7,5,4,48,29,14,7,3,46,46,3,1,4,45,47,4,2,2,51,42,3,2,1,51,41,5,2,2,NA,NA,NA,NA,NA,59,43,4,4,9,47,10,54,15,49,37,41,14,5,3,48,46,4,3,0,49,43,7,0,1,40,48,7,2,4,45,50,1,3,2,36,25,9,7,23,59,10,7,2,22,67,5,1,3,25,64,6,1,3,25,76,2,0,0,22,71,3,0,0,25,4,15,18,9,6,7,1,22,16,0,63,28,24,70,11,20,69,35,16,56,4,6,64,31,4,1,53,37,9,1,47,44,7,1,51,41,6,1,53,39,7,1,58,35,7,1,27,42,15,3,13,21
84K711,Early Childhood School,Leadership Preparatory Brownsville Charter School,124,BROOKLYN,Darcy Richie,No,,83,42,,10,47,,12,113,9.5,9.3,8.8,9.4,8.7,9.1,9.1,9.2,,,,,9.1,9.2,9,9.3,8.8,9.3,9.1,9.3,9,8.5,10,10,9.9,10,10,9,9.2,9.3,9.3,9.2,9.7,8.5,9.7,9.3,9.5,9,7.9,8.4,9.8,8.5,9.2,9.2,8.5,9.7,9.5,NA,9.6,9.1,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53,47,0,0,0,0,0,0,0,0,0,0,0,74,21,4,0,0,70,30,0,0,0,47,45,9,0,0,76,24,0,0,0,33,17,5,0,45,79,21,0,0,0,79,19,0,0,2,77,20,2,0,0,60,33,0,0,7,91,6,0,2,0,70,15,6,0,9,82,13,4,0,0,78,17,2,0,2,87,13,0,0,0,89,11,0,0,0,79,17,4,0,0,79,21,0,0,0,NA,NA,NA,NA,NA,38,79,11,2,4,60,9,53,9,34,53,38,4,0,4,78,20,2,0,0,65,33,0,0,2,77,18,0,0,5,63,27,0,0,10,49,24,2,2,22,85,0,0,0,15,85,0,0,0,15,87,2,0,0,11,93,0,0,0,7,89,0,0,0,11,0,12,30,21,9,0,0,21,6,0,45,49,4,89,13,13,83,4,6,55,9,2,87,13,0,0,72,28,0,0,85,15,0,0,76,24,0,0,76,24,0,0,78,22,0,0,25,42,3,8,22,19
19K065,Elementary School,P.S. 065,595,BROOKLYN,Daysi Garcia,No,,100,94,,41,460,,40,488,9.1,8.4,8.4,8.7,9.6,9.4,9.3,9.6,,,,,9.4,8.9,8.9,9.1,8.3,8.9,9.1,8.6,8.7,8.7,9.3,9.6,9.6,9.9,9.9,8.3,8.7,8.5,8.5,8.2,7.8,7.9,8.7,8.8,8.4,8.6,8.3,8.2,9.2,8.2,8.4,8.4,8.1,8.8,8.7,NA,8.9,8.3,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,16,15,17,19,17,0,0,0,0,0,0,0,60,38,1,1,0,53,43,3,1,0,53,44,3,0,0,62,37,0,0,0,41,41,1,0,17,58,40,2,0,0,55,42,1,0,2,52,41,5,1,0,51,42,3,1,3,41,39,12,6,2,46,34,11,6,3,54,31,10,3,1,50,27,14,7,1,56,41,2,0,1,56,41,1,1,1,57,39,2,0,1,56,40,2,0,2,NA,NA,NA,NA,NA,63,10,21,5,6,43,7,70,31,35,46,43,4,1,6,59,38,0,0,3,65,33,1,0,1,54,40,1,1,5,61,35,1,1,3,52,18,3,2,24,72,8,3,1,17,74,3,1,1,20,72,6,0,1,21,83,2,0,0,15,82,2,0,0,16,4,13,23,20,6,7,2,12,13,1,48,24,11,71,8,11,70,12,10,66,3,3,68,30,1,1,55,41,3,1,57,38,4,1,56,41,2,0,54,43,2,0,62,36,1,0,24,58,6,1,12,21
19K072,Elementary / Middle School,P.S./I.S. 072 Annette P Goldman,357,BROOKLYN,GENA LIPSCOMB,Yes,91,68,23,143,25,70,158,37,309,8.3,7.6,7.5,7.7,6.8,6.8,7.3,7.6,5.5,5.8,5.9,6.9,6.9,6.7,6.9,7.4,7.8,7.8,8.2,7.5,7.8,5.6,8.8,9.6,9,9.4,9.5,7.7,8.1,7.8,8,7.1,7.2,6.7,7.8,8.2,7.5,8.3,7.2,7.4,8.2,6.6,7.6,7.6,6.9,8.1,7.9,NA,7.7,7.3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,25,33,3,6,31,0,0,0,0,57,38,1,3,0,42,51,4,3,0,34,51,12,3,0,46,51,3,0,0,29,46,5,3,17,40,57,1,1,0,46,46,3,2,3,35,46,11,6,2,45,43,7,1,3,42,20,23,12,3,37,23,17,17,6,29,38,14,17,3,41,30,11,17,0,45,45,4,3,3,36,51,9,1,3,45,46,4,3,1,40,48,6,3,3,NA,NA,NA,NA,NA,43,9,11,4,9,16,13,53,20,41,23,48,11,11,8,40,42,4,3,10,44,47,5,2,3,37,43,4,7,7,43,45,6,2,4,14,38,13,13,23,54,8,6,2,31,61,4,1,0,33,59,6,6,2,27,69,3,3,2,23,62,3,2,2,32,3,14,14,8,3,14,5,22,19,0,59,21,17,61,6,17,71,34,9,56,3,4,47,42,6,5,42,43,9,6,37,52,7,3,37,54,7,1,40,49,9,1,36,51,9,4,22,33,18,9,18,18
19K089,Elementary / Middle School,P.S. 089 Cypress Hills,272,BROOKLYN,Irene Leon,Yes,91,46,51,60,13,117,66,28,228,8.4,8.1,8.1,8,7.1,7,7.8,8.2,6.5,6.2,7.1,7.5,7.3,7.1,7.6,7.9,7.7,7.8,8,7.9,7.6,7,9.1,9.5,8.7,9.6,9.2,7.9,8.8,8.1,8.5,7.9,7.8,7.5,8.3,8.3,7.9,8.1,8.1,8.2,8.6,7.4,7.9,8.2,8.2,8.2,8.2,NA,8.2,7.5,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,8,9,13,12,9,9,8,15,0,0,0,0,50,45,3,2,1,46,44,4,4,2,54,36,5,3,2,68,28,1,2,2,40,35,1,2,22,54,39,4,4,1,54,41,0,1,4,50,41,6,4,0,38,51,4,3,5,47,29,16,6,3,45,32,9,6,8,45,32,15,5,4,44,22,26,5,3,46,43,6,1,4,45,48,6,1,0,48,45,4,2,1,44,48,5,1,3,NA,NA,NA,NA,NA,61,45,35,9,29,9,8,56,19,28,30,54,11,4,2,36,53,5,4,2,37,55,6,1,1,37,53,4,4,3,31,54,3,2,10,23,39,6,6,28,68,10,1,4,17,69,8,0,1,22,53,13,1,5,28,67,2,0,2,29,59,6,3,2,31,6,20,25,6,6,4,0,14,19,0,41,26,5,64,5,9,60,18,5,50,3,1,51,43,5,1,39,49,9,3,42,53,4,1,47,46,7,1,50,48,3,0,46,46,5,3,12,55,12,8,13,20
19K108,Elementary School,P.S. 108 Sal Abbracciamento,957,BROOKLYN,Constance Hahn,No,,97,76,,74,596,,76,780,8.8,7.9,7.9,8.1,8.3,7.9,8.5,8.9,,,,,8.5,7.9,8.2,8.5,7.8,8.1,8.1,8,8,8,9.3,9.7,9.6,9.9,9.8,7.7,8.1,8,7.7,7.7,8,7.6,8.2,8.2,7.8,8,7.8,7.5,8.8,7.6,7.9,7.9,7.9,8.3,8.2,NA,8.3,7.7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,20,18,18,14,14,0,0,0,0,0,0,0,46,50,4,1,0,40,52,7,1,1,41,52,5,1,1,49,47,4,1,0,29,45,5,2,20,46,47,6,1,1,39,49,7,1,4,40,50,9,0,1,40,48,6,1,4,46,37,11,4,2,44,33,11,5,7,50,30,13,4,4,42,32,18,6,3,45,49,4,0,3,41,52,6,1,1,45,47,6,1,1,44,47,6,1,3,NA,NA,NA,NA,NA,48,49,54,17,9,21,11,50,10,12,33,53,10,1,3,39,53,5,1,2,40,51,5,2,2,35,55,5,1,4,43,51,3,1,3,43,28,4,3,21,70,13,2,0,15,73,6,1,0,21,70,6,1,0,22,81,2,0,0,17,77,3,1,0,20,2,14,16,7,6,6,9,25,13,1,37,21,24,63,13,18,47,21,8,52,8,1,54,43,3,0,41,52,6,1,43,49,7,1,44,50,5,1,43,51,5,1,47,48,4,1,20,53,10,2,16,19
19K149,Elementary School,P.S. 149 Danny Kaye,702,BROOKLYN,Enid Silvera,No,,82,45,,50,270,,61,601,8.3,7.8,7.9,8.2,7.1,7.1,7.5,7.8,,,,,7.7,7.5,7.7,8,7.6,8,8.1,7.8,7.9,6.3,8.4,9.6,8.8,9.9,9.6,7.6,8.1,7.9,7.9,7.4,7.3,7.6,8.3,8.5,7.7,8.1,7.7,7.8,9,7.3,7.8,8,7.9,8.5,8.2,NA,8.5,7.8,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,16,19,19,16,13,0,0,0,0,0,0,0,46,51,2,1,0,39,52,5,3,0,36,58,3,1,2,47,49,2,1,1,26,40,2,0,31,43,52,4,0,0,39,48,5,0,8,35,53,10,2,0,38,48,8,2,4,41,29,15,12,4,38,38,17,5,2,50,32,13,3,2,37,30,22,10,1,49,45,1,1,4,46,46,6,1,2,50,44,3,0,3,42,49,3,1,5,NA,NA,NA,NA,NA,50,22,25,7,1,47,11,42,24,41,30,51,12,2,5,37,53,5,2,3,41,49,7,1,1,37,47,8,2,6,40,48,4,1,6,21,39,10,10,19,50,17,4,3,25,63,4,2,0,30,56,9,2,4,29,73,1,1,0,25,67,2,2,1,28,3,18,13,6,7,12,6,21,13,1,61,36,10,67,10,11,70,11,10,59,4,2,61,34,3,2,41,52,6,1,42,51,5,2,44,47,7,1,47,47,6,0,49,46,5,0,19,51,12,5,13,17
