all/school_s2tr.DBN,all/school_s2tr.School Name,all/school_s2tr.School Pupil-Teacher Ratio
29Q052,P.S. 052 QUEENS,15.8535
30Q092,P.S. 092 HARRY T. STEWART SR.,13.67911
32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,7.568092
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,18.43148
17K181,P.S. 181 BROOKLYN,13.79558
14K632,FRANCES PERKINS ACADEMY,8.44841
24Q877,THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),15.16953
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,13.06494
20K179,P.S. 179 KENSINGTON,14.47017
22K315,P.S. K315,15.71765
20K127,P.S. 127 MCKINLEY PARK,14.02463
25Q164,P.S. 164 QUEENS VALLEY,14.11057
09X555,MOUNT EDEN CHILDREN'S ACADEMY,18.09571
25Q219,P.S. 219 PAUL KLAPPER,11.53625
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,16.02564
24Q058,P.S. 58 - THE SCHOOL OF HEROES,16.58514
12X531,ARCHER ELEMENTARY SCHOOL,13.73446
30Q222,P.S. Q222 - FIRE FIGHTER CHRISTOPHER A. SANTORA SCHOOL,14.80359
17K221,P.S. 221 TOUSSAINT L'OUVERTURE,15.79963
02M418,MILLENNIUM HIGH SCHOOL,17.24567
09X230,P.S. 230 DR ROLAND N. PATTERSON,7.361737
22K236,P.S. 236 MILL BASIN,16.40486
25Q184,P.S. 184 FLUSHING MANOR,18.18934
07X018,P.S. 018 JOHN PETER ZENGER,13.01628
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,14.68348
09X227,BRONX COLLEGIATE ACADEMY,16.33087
30Q122,P.S. 122 MAMIE FAY,18.95532
25Q237,I.S. 237,17.82408
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,22.72727
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,10.72579
21K728,LIBERATION DIPLOMA PLUS,19.7
23K165,P.S. 165 IDA POSNER,9.5115
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,10.72731
15K015,P.S. 015 PATRICK F. DALY,9.407476
26Q067,J.H.S. 067 LOUIS PASTEUR,21.33184
18K635,OLYMPUS ACADEMY,10.0625
02M290,P.S. 290 MANHATTAN NEW SCHOOL,16.47615
24Q068,P.S. 068 CAMBRIDGE,15.27794
02M041,P.S. 041 GREENWICH VILLAGE,15.73611
27Q062,P. S. 62 - CHESTER PARK SCHOOL,17.72458
05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,9.922415
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,16.60033
10X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),12.63317
06M103,DOS PUENTES ELEMENTARY SCHOOL,15.60147
19K213,P.S. 213 NEW LOTS,14.98048
14K147,P.S. 147 ISAAC REMSEN,12.70002
23K392,I.S. 392,13.44444
03M403,THE GLOBAL LEARNING COLLABORATIVE,13.31236
30Q127,P.S. 127 AEROSPACE SCIENCE MAGNE,14.22584
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,13.81347
11X532,BAYCHESTER MIDDLE SCHOOL,11.95833
30Q212,P.S. 212,15.88755
04M406,GLOBAL TECHNOLOGY PREPARATORY,14.4119
06M349,HARBOR HEIGHTS,12.45454
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,14.0
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,16.31653
12X134,P.S. 134 GEORGE F. BRISTOW,17.50995
03M185,P.S. 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL,13.21779
15K169,P.S. 169 SUNSET PARK,15.42665
08X335,THE ACADEMY OF THE ARTS,13.03363
27Q273,P.S. 273,13.62831
31R440,NEW DORP HIGH SCHOOL,17.02062
24Q087,P.S. / I.S. 087 MIDDLE VILLAGE,11.85779
17K249,P.S. 249 THE CATON,16.8714
31R061,I.S. 061 WILLIAM A MORRIS,14.88841
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,15.24047
10X094,P.S. 094 KINGS COLLEGE SCHOOL,12.3297
06M293,CITY COLLEGE ACADEMY OF THE ARTS,15.66543
29Q135,THE BELLAIRE SCHOOL,16.68667
22K014,J.H.S. 014 SHELL BANK,12.83783
