all/school_esl.DBN,all/school_esl.Grade,all/school_esl.Year,all/school_esl.Category,all/school_esl.Number Tested,all/school_esl.Mean Scale Score,all/school_esl.Level 1 #,all/school_esl.Level 1 %,all/school_esl.Level 2 #,all/school_esl.Level 2 %,all/school_esl.Level 3 #,all/school_esl.Level 3 %,all/school_esl.Level 4 #,all/school_esl.Level 4 %,all/school_esl.Level 3+4 #,all/school_esl.Level 3+4 %
09X215,6,2006,All Students,50,666.0,0.0,0.0,14.0,28.0,30.0,60.0,6.0,12.0,36.0,72.0
04M171,7,2008,All Students,63,657.0,2.0,3.2,21.0,33.3,40.0,63.5,0.0,0.0,40.0,63.5
15K027,All Grades,2006,All Students,267,,45.0,16.9,158.0,59.2,64.0,24.0,0.0,0.0,64.0,24.0
24Q014,4,2010,All Students,243,669.0,20.0,8.2,115.0,47.3,88.0,36.2,20.0,8.2,108.0,44.4
14K147,3,2010,All Students,27,663.0,5.0,18.5,10.0,37.0,9.0,33.3,3.0,11.1,12.0,44.4
04M083,4,2007,All Students,50,662.0,1.0,2.0,13.0,26.0,35.0,70.0,1.0,2.0,36.0,72.0
75X186,6,2009,All Students,31,634.0,1.0,3.2,21.0,67.7,9.0,29.0,0.0,0.0,9.0,29.0
20K127,3,2006,All Students,51,690.0,0.0,0.0,6.0,11.8,35.0,68.6,10.0,19.6,45.0,88.2
02M111,3,2007,All Students,40,646.0,3.0,7.5,20.0,50.0,17.0,42.5,0.0,0.0,17.0,42.5
13K305,3,2007,All Students,73,641.0,10.0,13.7,41.0,56.2,21.0,28.8,1.0,1.4,22.0,30.1
75Q224,5,2010,All Students,32,629.0,24.0,75.0,7.0,21.9,1.0,3.1,0.0,0.0,1.0,3.1
15K448,8,2009,All Students,95,658.0,2.0,2.1,26.0,27.4,65.0,68.4,2.0,2.1,67.0,70.5
03M256,8,2006,All Students,57,625.0,10.0,17.5,37.0,64.9,10.0,17.5,0.0,0.0,10.0,17.5
29Q136,5,2008,All Students,128,650.0,3.0,2.3,54.0,42.2,70.0,54.7,1.0,0.8,71.0,55.5
29Q116,6,2009,All Students,94,656.0,0.0,0.0,34.0,36.2,58.0,61.7,2.0,2.1,60.0,63.8
09X109,5,2011,All Students,103,662.0,13.0,12.6,48.0,46.6,41.0,39.8,1.0,1.0,42.0,40.8
31R056,5,2009,All Students,112,683.0,1.0,0.9,9.0,8.0,84.0,75.0,18.0,16.1,102.0,91.1
26Q159,4,2011,All Students,69,689.0,0.0,0.0,8.0,11.6,58.0,84.1,3.0,4.3,61.0,88.4
14K023,4,2010,All Students,42,657.0,8.0,19.0,22.0,52.4,12.0,28.6,0.0,0.0,12.0,28.6
28Q206,All Grades,2007,All Students,287,,19.0,6.6,85.0,29.6,170.0,59.2,13.0,4.5,183.0,63.8
31R035,4,2008,All Students,63,686.0,0.0,0.0,4.0,6.3,49.0,77.8,10.0,15.9,59.0,93.7
28Q040,5,2007,All Students,77,646.0,9.0,11.7,32.0,41.6,34.0,44.2,2.0,2.6,36.0,46.8
21K099,4,2010,All Students,72,689.0,1.0,1.4,14.0,19.4,45.0,62.5,12.0,16.7,57.0,79.2
19K158,3,2011,All Students,100,659.0,12.0,12.0,49.0,49.0,38.0,38.0,1.0,1.0,39.0,39.0
20K180,6,2009,All Students,129,665.0,0.0,0.0,19.0,14.7,107.0,82.9,3.0,2.3,110.0,85.3
30Q148,3,2010,All Students,180,662.0,23.0,12.8,84.0,46.7,62.0,34.4,11.0,6.1,73.0,40.6
01M839,6,2010,All Students,113,663.0,10.0,8.8,49.0,43.4,50.0,44.2,4.0,3.5,54.0,47.8
31R031,3,2011,All Students,86,645.0,34.0,39.5,33.0,38.4,19.0,22.1,0.0,0.0,19.0,22.1
06M098,4,2006,All Students,80,652.0,7.0,8.8,30.0,37.5,41.0,51.3,2.0,2.5,43.0,53.8
07X065,3,2010,All Students,57,645.0,18.0,31.6,25.0,43.9,12.0,21.1,2.0,3.5,14.0,24.6
10X291,4,2007,All Students,116,651.0,10.0,8.6,47.0,40.5,55.0,47.4,4.0,3.4,59.0,50.9
22K236,4,2011,All Students,89,694.0,1.0,1.1,27.0,30.3,39.0,43.8,22.0,24.7,61.0,68.5
29Q095,3,2007,All Students,210,658.0,21.0,10.0,59.0,28.1,126.0,60.0,4.0,1.9,130.0,61.9
31R075,6,2006,All Students,481,668.0,14.0,2.9,120.0,24.9,269.0,55.9,78.0,16.2,347.0,72.1
06M048,5,2007,All Students,102,627.0,22.0,21.6,44.0,43.1,36.0,35.3,0.0,0.0,36.0,35.3
11X270,All Grades,2009,All Students,205,,0.0,0.0,71.0,34.6,131.0,63.9,3.0,1.5,134.0,65.4
11X194,8,2009,All Students,144,660.0,1.0,0.7,43.0,29.9,97.0,67.4,3.0,2.1,100.0,69.4
21K216,3,2008,All Students,64,670.0,2.0,3.1,18.0,28.1,36.0,56.3,8.0,12.5,44.0,68.8
11X189,5,2008,All Students,45,648.0,2.0,4.4,15.0,33.3,28.0,62.2,0.0,0.0,28.0,62.2
10X091,4,2008,All Students,111,642.0,14.0,12.6,49.0,44.1,48.0,43.2,0.0,0.0,48.0,43.2
18K115,4,2007,All Students,182,665.0,5.0,2.7,46.0,25.3,119.0,65.4,12.0,6.6,131.0,72.0
01M110,4,2006,All Students,79,662.0,4.0,5.1,22.0,27.8,52.0,65.8,1.0,1.3,53.0,67.1
16K025,3,2007,All Students,62,650.0,8.0,12.9,27.0,43.5,25.0,40.3,2.0,3.2,27.0,43.5
04M057,6,2008,All Students,37,660.0,0.0,0.0,9.0,24.3,28.0,75.7,0.0,0.0,28.0,75.7
04M206,3,2011,All Students,88,655.0,15.0,17.0,48.0,54.5,25.0,28.4,0.0,0.0,25.0,28.4
29Q109,7,2010,All Students,371,662.0,49.0,13.2,181.0,48.8,118.0,31.8,23.0,6.2,141.0,38.0
27Q183,8,2011,All Students,63,649.0,4.0,6.3,47.0,74.6,12.0,19.0,0.0,0.0,12.0,19.0
29Q195,3,2011,All Students,121,657.0,19.0,15.7,51.0,42.1,49.0,40.5,2.0,1.7,51.0,42.1
24Q143,3,2011,All Students,275,658.0,45.0,16.4,119.0,43.3,109.0,39.6,2.0,0.7,111.0,40.4
29Q181,5,2007,All Students,93,649.0,5.0,5.4,36.0,38.7,52.0,55.9,0.0,0.0,52.0,55.9
02M111,4,2007,All Students,41,654.0,4.0,9.8,15.0,36.6,22.0,53.7,0.0,0.0,22.0,53.7
17K012,3,2008,All Students,42,648.0,6.0,14.3,16.0,38.1,19.0,45.2,1.0,2.4,20.0,47.6
21K099,4,2009,All Students,67,673.0,1.0,1.5,9.0,13.4,49.0,73.1,8.0,11.9,57.0,85.1
29Q268,4,2010,All Students,62,671.0,3.0,4.8,28.0,45.2,30.0,48.4,1.0,1.6,31.0,50.0
75Q811,6,2011,All Students,6,671.0,0.0,0.0,1.0,16.7,5.0,83.3,0.0,0.0,5.0,83.3
02M217,5,2007,All Students,57,654.0,5.0,8.8,21.0,36.8,28.0,49.1,3.0,5.3,31.0,54.4
17K241,4,2011,All Students,67,678.0,2.0,3.0,20.0,29.9,43.0,64.2,2.0,3.0,45.0,67.2
02M167,All Grades,2009,All Students,1171,,2.0,0.2,164.0,14.0,905.0,77.3,100.0,8.5,1005.0,85.8
10X368,All Grades,2009,All Students,485,,5.0,1.0,180.0,37.1,296.0,61.0,4.0,0.8,300.0,61.9
32K384,8,2009,All Students,46,651.0,0.0,0.0,23.0,50.0,23.0,50.0,0.0,0.0,23.0,50.0
30Q127,8,2006,All Students,40,664.0,1.0,2.5,10.0,25.0,28.0,70.0,1.0,2.5,29.0,72.5
04M171,7,2007,All Students,49,643.0,2.0,4.1,32.0,65.3,14.0,28.6,1.0,2.0,15.0,30.6
28Q139,6,2011,All Students,90,665.0,4.0,4.4,28.0,31.1,56.0,62.2,2.0,2.2,58.0,64.4
26Q205,All Grades,2011,All Students,118,687.0,4.0,3.4,13.0,11.0,80.0,67.8,21.0,17.8,101.0,85.6
17K590,6,2011,All Students,75,673.0,0.0,0.0,11.0,14.7,60.0,80.0,4.0,5.3,64.0,85.3
27Q197,3,2010,All Students,76,655.0,21.0,27.6,30.0,39.5,18.0,23.7,7.0,9.2,25.0,32.9
75X352,4,2010,All Students,31,621.0,16.0,51.6,14.0,45.2,1.0,3.2,0.0,0.0,1.0,3.2
09X324,6,2008,All Students,66,648.0,0.0,0.0,37.0,56.1,29.0,43.9,0.0,0.0,29.0,43.9
10X368,All Grades,2008,All Students,450,,26.0,5.8,253.0,56.2,169.0,37.6,2.0,0.4,171.0,38.0
23K156,3,2006,All Students,133,660.0,11.0,8.3,41.0,30.8,76.0,57.1,5.0,3.8,81.0,60.9
02M255,6,2009,All Students,136,708.0,0.0,0.0,1.0,0.7,79.0,58.1,56.0,41.2,135.0,99.3
20K204,5,2009,All Students,148,676.0,1.0,0.7,18.0,12.2,110.0,74.3,19.0,12.8,129.0,87.2
10X447,All Grades,2011,All Students,239,652.0,47.0,19.7,152.0,63.6,40.0,16.7,0.0,0.0,40.0,16.7
30Q166,All Grades,2010,All Students,494,,48.0,9.7,167.0,33.8,201.0,40.7,78.0,15.8,279.0,56.5
02M003,All Grades,2008,All Students,220,,5.0,2.3,23.0,10.5,164.0,74.5,28.0,12.7,192.0,87.3
30Q010,8,2010,All Students,319,653.0,34.0,10.7,135.0,42.3,138.0,43.3,12.0,3.8,150.0,47.0
15K015,4,2009,All Students,51,652.0,2.0,3.9,19.0,37.3,29.0,56.9,1.0,2.0,30.0,58.8
08X125,7,2009,All Students,234,654.0,1.0,0.4,90.0,38.5,138.0,59.0,5.0,2.1,143.0,61.1
22K206,All Grades,2010,All Students,819,,37.0,4.5,193.0,23.6,447.0,54.6,142.0,17.3,589.0,71.9
30Q127,8,2011,All Students,98,647.0,6.0,6.1,65.0,66.3,26.0,26.5,1.0,1.0,27.0,27.6
03M199,8,2007,All Students,9,691.0,0.0,0.0,0.0,0.0,8.0,88.9,1.0,11.1,9.0,100.0
04M108,7,2010,All Students,92,661.0,11.0,12.0,47.0,51.1,31.0,33.7,3.0,3.3,34.0,37.0
23K041,3,2008,All Students,82,636.0,22.0,26.8,29.0,35.4,28.0,34.1,3.0,3.7,31.0,37.8
09X325,All Grades,2006,All Students,429,,97.0,22.6,230.0,53.6,100.0,23.3,2.0,0.5,102.0,23.8
01M378,6,2009,All Students,65,661.0,1.0,1.5,9.0,13.8,54.0,83.1,1.0,1.5,55.0,84.6
23K631,3,2011,All Students,56,652.0,10.0,17.9,35.0,62.5,11.0,19.6,0.0,0.0,11.0,19.6
09X505,7,2007,All Students,49,645.0,0.0,0.0,32.0,65.3,17.0,34.7,0.0,0.0,17.0,34.7
06M128,3,2009,All Students,119,652.0,16.0,13.4,38.0,31.9,63.0,52.9,2.0,1.7,65.0,54.6
14K147,3,2007,All Students,54,640.0,11.0,20.4,19.0,35.2,24.0,44.4,0.0,0.0,24.0,44.4
28Q144,4,2009,All Students,80,686.0,2.0,2.5,8.0,10.0,51.0,63.8,19.0,23.8,70.0,87.5
02M255,8,2007,All Students,113,675.0,4.0,3.5,17.0,15.0,84.0,74.3,8.0,7.1,92.0,81.4
09X042,5,2009,All Students,76,667.0,0.0,0.0,17.0,22.4,55.0,72.4,4.0,5.3,59.0,77.6
17K375,5,2006,All Students,69,640.0,12.0,17.4,30.0,43.5,26.0,37.7,1.0,1.4,27.0,39.1
13K305,3,2011,All Students,70,653.0,16.0,22.9,30.0,42.9,23.0,32.9,1.0,1.4,24.0,34.3
22K195,3,2006,All Students,66,692.0,1.0,1.5,8.0,12.1,48.0,72.7,9.0,13.6,57.0,86.4
31R014,5,2007,All Students,63,643.0,3.0,4.8,40.0,63.5,19.0,30.2,1.0,1.6,20.0,31.7
23K184,4,2007,All Students,47,653.0,3.0,6.4,18.0,38.3,26.0,55.3,0.0,0.0,26.0,55.3
25Q129,5,2007,All Students,105,671.0,3.0,2.9,20.0,19.0,77.0,73.3,5.0,4.8,82.0,78.1
09X215,5,2008,All Students,90,654.0,1.0,1.1,32.0,35.6,55.0,61.1,2.0,2.2,57.0,63.3
07X154,4,2007,All Students,70,638.0,10.0,14.3,36.0,51.4,24.0,34.3,0.0,0.0,24.0,34.3
29Q268,6,2009,All Students,53,674.0,0.0,0.0,4.0,7.5,40.0,75.5,9.0,17.0,49.0,92.5
11X076,5,2010,All Students,212,685.0,12.0,5.7,53.0,25.0,93.0,43.9,54.0,25.5,147.0,69.3
04M171,4,2009,All Students,50,685.0,0.0,0.0,1.0,2.0,45.0,90.0,4.0,8.0,49.0,98.0
11X089,8,2007,All Students,173,636.0,15.0,8.7,102.0,59.0,56.0,32.4,0.0,0.0,56.0,32.4
10X315,4,2008,All Students,25,637.0,7.0,28.0,6.0,24.0,12.0,48.0,0.0,0.0,12.0,48.0
14K380,4,2007,All Students,64,662.0,4.0,6.3,15.0,23.4,42.0,65.6,3.0,4.7,45.0,70.3
29Q138,5,2009,All Students,110,662.0,1.0,0.9,28.0,25.5,78.0,70.9,3.0,2.7,81.0,73.6
21K099,8,2008,All Students,110,634.0,9.0,8.2,79.0,71.8,22.0,20.0,0.0,0.0,22.0,20.0
11X096,4,2008,All Students,153,658.0,10.0,6.5,42.0,27.5,97.0,63.4,4.0,2.6,101.0,66.0
14K031,5,2006,All Students,89,685.0,0.0,0.0,11.0,12.4,61.0,68.5,17.0,19.1,78.0,87.6
13K571,8,2009,All Students,83,635.0,3.0,3.6,60.0,72.3,20.0,24.1,0.0,0.0,20.0,24.1
10X003,4,2007,All Students,55,652.0,4.0,7.3,19.0,34.5,31.0,56.4,1.0,1.8,32.0,58.2
31R021,All Grades,2006,All Students,183,,18.0,9.8,60.0,32.8,98.0,53.6,7.0,3.8,105.0,57.4
10X226,3,2009,All Students,64,654.0,4.0,6.3,23.0,35.9,35.0,54.7,2.0,3.1,37.0,57.8
25Q079,5,2009,All Students,130,677.0,0.0,0.0,14.0,10.8,102.0,78.5,14.0,10.8,116.0,89.2
04M825,7,2006,All Students,198,641.0,12.0,6.1,109.0,55.1,74.0,37.4,3.0,1.5,77.0,38.9
08X075,4,2007,All Students,100,631.0,24.0,24.0,37.0,37.0,39.0,39.0,0.0,0.0,39.0,39.0
31R021,4,2008,All Students,74,646.0,6.0,8.1,32.0,43.2,36.0,48.6,0.0,0.0,36.0,48.6
18K235,5,2009,All Students,164,672.0,0.0,0.0,34.0,20.7,112.0,68.3,18.0,11.0,130.0,79.3
11X180,8,2006,All Students,275,647.0,29.0,10.5,118.0,42.9,118.0,42.9,10.0,3.6,128.0,46.5
22K251,3,2009,All Students,102,660.0,6.0,5.9,29.0,28.4,64.0,62.7,3.0,2.9,67.0,65.7
19K213,5,2006,All Students,90,648.0,8.0,8.9,36.0,40.0,43.0,47.8,3.0,3.3,46.0,51.1
06M153,All Grades,2006,All Students,445,,87.0,19.6,149.0,33.5,198.0,44.5,11.0,2.5,209.0,47.0
06M314,3,2010,All Students,46,656.0,7.0,15.2,25.0,54.3,11.0,23.9,3.0,6.5,14.0,30.4
18K219,3,2006,All Students,157,640.0,28.0,17.8,70.0,44.6,59.0,37.6,0.0,0.0,59.0,37.6
30Q111,4,2006,All Students,45,636.0,8.0,17.8,22.0,48.9,10.0,22.2,5.0,11.1,15.0,33.3
10X399,8,2006,All Students,202,619.0,45.0,22.3,128.0,63.4,29.0,14.4,0.0,0.0,29.0,14.4
12X044,3,2008,All Students,64,639.0,15.0,23.4,22.0,34.4,25.0,39.1,2.0,3.1,27.0,42.2
21K096,8,2006,All Students,373,643.0,48.0,12.9,168.0,45.0,149.0,39.9,8.0,2.1,157.0,42.1
25Q020,4,2009,All Students,165,673.0,3.0,1.8,31.0,18.8,116.0,70.3,15.0,9.1,131.0,79.4
06M319,6,2006,All Students,108,624.0,15.0,13.9,71.0,65.7,22.0,20.4,0.0,0.0,22.0,20.4
27Q096,3,2006,All Students,23,662.0,2.0,8.7,7.0,30.4,13.0,56.5,1.0,4.3,14.0,60.9
04M964,5,2008,All Students,23,640.0,3.0,13.0,9.0,39.1,10.0,43.5,1.0,4.3,11.0,47.8
13K265,6,2006,All Students,105,623.0,21.0,20.0,59.0,56.2,25.0,23.8,0.0,0.0,25.0,23.8
24Q113,3,2007,All Students,94,685.0,0.0,0.0,7.0,7.4,76.0,80.9,11.0,11.7,87.0,92.6
09X229,8,2011,All Students,60,638.0,12.0,20.0,45.0,75.0,3.0,5.0,0.0,0.0,3.0,5.0
06M324,6,2010,All Students,137,649.0,43.0,31.4,78.0,56.9,16.0,11.7,0.0,0.0,16.0,11.7
29Q195,3,2008,All Students,92,660.0,9.0,9.8,27.0,29.3,50.0,54.3,6.0,6.5,56.0,60.9
31R034,7,2006,All Students,362,667.0,5.0,1.4,102.0,28.2,211.0,58.3,44.0,12.2,255.0,70.4
14K016,4,2006,All Students,52,645.0,7.0,13.5,22.0,42.3,23.0,44.2,0.0,0.0,23.0,44.2
26Q031,3,2011,All Students,66,678.0,0.0,0.0,10.0,15.2,51.0,77.3,5.0,7.6,56.0,84.8
22K078,6,2006,All Students,408,640.0,45.0,11.0,173.0,42.4,180.0,44.1,10.0,2.5,190.0,46.6
13K067,5,2006,All Students,54,634.0,7.0,13.0,30.0,55.6,17.0,31.5,0.0,0.0,17.0,31.5
31R030,3,2010,All Students,144,672.0,19.0,13.2,33.0,22.9,63.0,43.8,29.0,20.1,92.0,63.9
02M033,3,2010,All Students,30,689.0,0.0,0.0,6.0,20.0,14.0,46.7,10.0,33.3,24.0,80.0
27Q042,7,2009,All Students,94,653.0,0.0,0.0,36.0,38.3,55.0,58.5,3.0,3.2,58.0,61.7
75X010,All Grades,2010,All Students,139,,87.0,62.6,43.0,30.9,9.0,6.5,0.0,0.0,9.0,6.5
15K088,All Grades,2007,All Students,857,,58.0,6.8,441.0,51.5,337.0,39.3,21.0,2.5,358.0,41.8
26Q159,All Grades,2010,All Students,231,,4.0,1.7,31.0,13.4,136.0,58.9,60.0,26.0,196.0,84.8
04M406,6,2011,All Students,57,653.0,15.0,26.3,28.0,49.1,14.0,24.6,0.0,0.0,14.0,24.6
02M347,3,2007,All Students,21,621.0,8.0,38.1,6.0,28.6,7.0,33.3,0.0,0.0,7.0,33.3
23K073,3,2006,All Students,54,649.0,5.0,9.3,24.0,44.4,25.0,46.3,0.0,0.0,25.0,46.3
31R032,4,2008,All Students,150,678.0,1.0,0.7,26.0,17.3,109.0,72.7,14.0,9.3,123.0,82.0
27Q105,7,2007,All Students,93,638.0,7.0,7.5,57.0,61.3,29.0,31.2,0.0,0.0,29.0,31.2
30Q111,5,2008,All Students,53,645.0,1.0,1.9,26.0,49.1,26.0,49.1,0.0,0.0,26.0,49.1
17K587,8,2010,All Students,114,631.0,44.0,38.6,64.0,56.1,6.0,5.3,0.0,0.0,6.0,5.3
25Q169,4,2009,All Students,67,680.0,1.0,1.5,11.0,16.4,50.0,74.6,5.0,7.5,55.0,82.1
14K023,5,2008,All Students,38,655.0,0.0,0.0,14.0,36.8,24.0,63.2,0.0,0.0,24.0,63.2
30Q112,4,2011,All Students,82,663.0,8.0,9.8,41.0,50.0,31.0,37.8,2.0,2.4,33.0,40.2
02M225,7,2010,All Students,18,674.0,1.0,5.6,10.0,55.6,5.0,27.8,2.0,11.1,7.0,38.9
06M348,All Grades,2009,All Students,247,,3.0,1.2,74.0,30.0,167.0,67.6,3.0,1.2,170.0,68.8
02M260,6,2007,All Students,99,683.0,0.0,0.0,10.0,10.1,67.0,67.7,22.0,22.2,89.0,89.9
04M007,5,2010,All Students,36,670.0,2.0,5.6,16.0,44.4,13.0,36.1,5.0,13.9,18.0,50.0
20K179,All Grades,2006,All Students,316,,13.0,4.1,108.0,34.2,184.0,58.2,11.0,3.5,195.0,61.7
11X181,5,2006,All Students,154,653.0,19.0,12.3,48.0,31.2,69.0,44.8,18.0,11.7,87.0,56.5
09X055,4,2007,All Students,97,636.0,14.0,14.4,52.0,53.6,31.0,32.0,0.0,0.0,31.0,32.0
07X029,7,2010,All Students,89,650.0,21.0,23.6,59.0,66.3,8.0,9.0,1.0,1.1,9.0,10.1
20K179,4,2011,All Students,132,662.0,28.0,21.2,51.0,38.6,48.0,36.4,5.0,3.8,53.0,40.2
75K140,All Grades,2010,All Students,156,,116.0,74.4,34.0,21.8,6.0,3.8,0.0,0.0,6.0,3.8
10X315,All Grades,2006,All Students,138,,22.0,15.9,57.0,41.3,57.0,41.3,2.0,1.4,59.0,42.8
24Q087,6,2008,All Students,72,649.0,0.0,0.0,37.0,51.4,35.0,48.6,0.0,0.0,35.0,48.6
75M094,7,2011,All Students,2,,,,,,,,,,,
28Q099,6,2007,All Students,110,664.0,3.0,2.7,32.0,29.1,62.0,56.4,13.0,11.8,75.0,68.2
03M241,5,2006,All Students,47,627.0,12.0,25.5,23.0,48.9,12.0,25.5,0.0,0.0,12.0,25.5
02M442,5,2010,All Students,37,684.0,2.0,5.4,10.0,27.0,15.0,40.5,10.0,27.0,25.0,67.6
31R006,4,2006,All Students,136,669.0,7.0,5.1,28.0,20.6,92.0,67.6,9.0,6.6,101.0,74.3
06M346,6,2011,All Students,53,646.0,20.0,37.7,27.0,50.9,6.0,11.3,0.0,0.0,6.0,11.3
20K069,5,2010,All Students,148,672.0,20.0,13.5,42.0,28.4,68.0,45.9,18.0,12.2,86.0,58.1
23K631,All Grades,2011,All Students,198,657.0,25.0,12.6,122.0,61.6,51.0,25.8,0.0,0.0,51.0,25.8
02M033,All Grades,2006,All Students,106,,1.0,0.9,31.0,29.2,71.0,67.0,3.0,2.8,74.0,69.8
02M041,All Grades,2008,All Students,310,,2.0,0.6,17.0,5.5,229.0,73.9,62.0,20.0,291.0,93.9
20K506,All Grades,2010,All Students,324,,69.0,21.3,133.0,41.0,100.0,30.9,22.0,6.8,122.0,37.7
01M450,All Grades,2009,All Students,185,,1.0,0.5,74.0,40.0,108.0,58.4,2.0,1.1,110.0,59.5
27Q056,All Grades,2007,All Students,333,,27.0,8.1,71.0,21.3,193.0,58.0,42.0,12.6,235.0,70.6
17K587,7,2007,All Students,147,629.0,12.0,8.2,109.0,74.1,26.0,17.7,0.0,0.0,26.0,17.7
11X181,All Grades,2009,All Students,558,,7.0,1.3,174.0,31.2,343.0,61.5,34.0,6.1,377.0,67.6
75K771,5,2010,All Students,11,645.0,7.0,63.6,2.0,18.2,2.0,18.2,0.0,0.0,2.0,18.2
31R051,All Grades,2011,All Students,947,654.0,124.0,13.1,511.0,54.0,307.0,32.4,5.0,0.5,312.0,32.9
19K174,5,2007,All Students,58,643.0,9.0,15.5,27.0,46.6,21.0,36.2,1.0,1.7,22.0,37.9
27Q045,4,2006,All Students,71,644.0,14.0,19.7,19.0,26.8,37.0,52.1,1.0,1.4,38.0,53.5
04M497,5,2006,All Students,17,635.0,1.0,5.9,11.0,64.7,5.0,29.4,0.0,0.0,5.0,29.4
31R032,3,2009,All Students,140,674.0,2.0,1.4,20.0,14.3,102.0,72.9,16.0,11.4,118.0,84.3
14K586,7,2009,All Students,60,650.0,1.0,1.7,24.0,40.0,35.0,58.3,0.0,0.0,35.0,58.3
30Q084,6,2010,All Students,25,656.0,3.0,12.0,13.0,52.0,9.0,36.0,0.0,0.0,9.0,36.0
21K226,5,2007,All Students,59,655.0,2.0,3.4,27.0,45.8,28.0,47.5,2.0,3.4,30.0,50.8
10X340,All Grades,2008,All Students,253,,11.0,4.3,81.0,32.0,156.0,61.7,5.0,2.0,161.0,63.6
17K334,7,2010,All Students,66,647.0,23.0,34.8,36.0,54.5,6.0,9.1,1.0,1.5,7.0,10.6
09X218,6,2010,All Students,80,658.0,1.0,1.3,51.0,63.8,28.0,35.0,0.0,0.0,28.0,35.0
10X291,4,2006,All Students,82,663.0,2.0,2.4,32.0,39.0,42.0,51.2,6.0,7.3,48.0,58.5
24Q012,5,2006,All Students,187,666.0,9.0,4.8,48.0,25.7,107.0,57.2,23.0,12.3,130.0,69.5
17K012,3,2010,All Students,41,656.0,13.0,31.7,16.0,39.0,8.0,19.5,4.0,9.8,12.0,29.3
22K254,5,2006,All Students,85,678.0,0.0,0.0,14.0,16.5,53.0,62.4,18.0,21.2,71.0,83.5
17K092,5,2008,All Students,135,653.0,4.0,3.0,56.0,41.5,72.0,53.3,3.0,2.2,75.0,55.6
75M226,All Grades,2008,All Students,7,,2.0,28.6,1.0,14.3,4.0,57.1,0.0,0.0,4.0,57.1
20K200,4,2007,All Students,168,673.0,11.0,6.5,35.0,20.8,97.0,57.7,25.0,14.9,122.0,72.6
05M125,All Grades,2006,All Students,413,,88.0,21.3,197.0,47.7,124.0,30.0,4.0,1.0,128.0,31.0
05M125,3,2011,All Students,16,657.0,3.0,18.8,6.0,37.5,7.0,43.8,0.0,0.0,7.0,43.8
19K345,5,2007,All Students,124,657.0,4.0,3.2,46.0,37.1,72.0,58.1,2.0,1.6,74.0,59.7
11X083,8,2009,All Students,216,660.0,2.0,0.9,67.0,31.0,137.0,63.4,10.0,4.6,147.0,68.1
24Q016,3,2007,All Students,221,668.0,14.0,6.3,50.0,22.6,138.0,62.4,19.0,8.6,157.0,71.0
17K484,All Grades,2010,All Students,143,,28.0,19.6,92.0,64.3,23.0,16.1,0.0,0.0,23.0,16.1
07X221,8,2010,All Students,74,651.0,3.0,4.1,43.0,58.1,27.0,36.5,1.0,1.4,28.0,37.8
09X070,All Grades,2010,All Students,692,,191.0,27.6,344.0,49.7,143.0,20.7,14.0,2.0,157.0,22.7
27Q333,8,2011,All Students,26,666.0,0.0,0.0,7.0,26.9,19.0,73.1,0.0,0.0,19.0,73.1
07X029,4,2009,All Students,60,656.0,2.0,3.3,21.0,35.0,37.0,61.7,0.0,0.0,37.0,61.7
31R031,All Grades,2009,All Students,253,,17.0,6.7,85.0,33.6,138.0,54.5,13.0,5.1,151.0,59.7
03M415,6,2007,All Students,25,640.0,1.0,4.0,15.0,60.0,9.0,36.0,0.0,0.0,9.0,36.0
16K028,All Grades,2009,All Students,123,,11.0,8.9,42.0,34.1,68.0,55.3,2.0,1.6,70.0,56.9
75K369,5,2009,All Students,37,630.0,5.0,13.5,27.0,73.0,4.0,10.8,1.0,2.7,5.0,13.5
12X050,5,2009,All Students,73,659.0,1.0,1.4,26.0,35.6,44.0,60.3,2.0,2.7,46.0,63.0
27Q056,5,2010,All Students,108,686.0,7.0,6.5,29.0,26.9,44.0,40.7,28.0,25.9,72.0,66.7
17K167,All Grades,2009,All Students,230,,14.0,6.1,84.0,36.5,129.0,56.1,3.0,1.3,132.0,57.4
16K584,8,2010,All Students,86,639.0,16.0,18.6,65.0,75.6,5.0,5.8,0.0,0.0,5.0,5.8
02M655,All Grades,2010,All Students,113,,11.0,9.7,73.0,64.6,28.0,24.8,1.0,0.9,29.0,25.7
25Q200,8,2010,All Students,53,668.0,5.0,9.4,16.0,30.2,22.0,41.5,10.0,18.9,32.0,60.4
75Q075,6,2011,All Students,23,636.0,12.0,52.2,10.0,43.5,1.0,4.3,0.0,0.0,1.0,4.3
23K165,All Grades,2010,All Students,388,,88.0,22.7,208.0,53.6,87.0,22.4,5.0,1.3,92.0,23.7
15K261,4,2006,All Students,101,659.0,8.0,7.9,33.0,32.7,53.0,52.5,7.0,6.9,60.0,59.4
02M130,5,2006,All Students,153,685.0,4.0,2.6,19.0,12.4,86.0,56.2,44.0,28.8,130.0,85.0
12X050,4,2008,All Students,73,638.0,10.0,13.7,32.0,43.8,31.0,42.5,0.0,0.0,31.0,42.5
26Q018,All Grades,2008,All Students,250,,1.0,0.4,26.0,10.4,161.0,64.4,62.0,24.8,223.0,89.2
10X279,4,2007,All Students,107,643.0,16.0,15.0,47.0,43.9,43.0,40.2,1.0,0.9,44.0,41.1
31R002,7,2010,All Students,298,662.0,37.0,12.4,126.0,42.3,113.0,37.9,22.0,7.4,135.0,45.3
