all/school_esl.DBN,all/school_esl.Grade,all/school_esl.Year,all/school_esl.Category,all/school_esl.Number Tested,all/school_esl.Mean Scale Score,all/school_esl.Level 1 #,all/school_esl.Level 1 %,all/school_esl.Level 2 #,all/school_esl.Level 2 %,all/school_esl.Level 3 #,all/school_esl.Level 3 %,all/school_esl.Level 4 #,all/school_esl.Level 4 %,all/school_esl.Level 3+4 #,all/school_esl.Level 3+4 %
27Q183,6,2010,All Students,67,657.0,13.0,19.4,35.0,52.2,17.0,25.4,2.0,3.0,19.0,28.4
09X028,4,2010,All Students,119,662.0,10.0,8.4,66.0,55.5,42.0,35.3,1.0,0.8,43.0,36.1
23K298,3,2006,All Students,81,655.0,10.0,12.3,24.0,29.6,44.0,54.3,3.0,3.7,47.0,58.0
23K323,4,2008,All Students,27,656.0,1.0,3.7,11.0,40.7,14.0,51.9,1.0,3.7,15.0,55.6
18K276,All Grades,2009,All Students,446,,19.0,4.3,97.0,21.7,304.0,68.2,26.0,5.8,330.0,74.0
28Q896,8,2008,All Students,79,660.0,1.0,1.3,27.0,34.2,49.0,62.0,2.0,2.5,51.0,64.6
01M292,8,2010,All Students,73,632.0,24.0,32.9,44.0,60.3,5.0,6.8,0.0,0.0,5.0,6.8
01M539,4,2010,All Students,74,708.0,0.0,0.0,1.0,1.4,50.0,67.6,23.0,31.1,73.0,98.6
29Q259,6,2009,All Students,76,663.0,0.0,0.0,13.0,17.1,60.0,78.9,3.0,3.9,63.0,82.9
12X129,All Grades,2007,All Students,464,,71.0,15.3,294.0,63.4,97.0,20.9,2.0,0.4,99.0,21.3
18K208,5,2011,All Students,109,668.0,6.0,5.5,53.0,48.6,46.0,42.2,4.0,3.7,50.0,45.9
14K059,All Grades,2006,All Students,225,,23.0,10.2,112.0,49.8,87.0,38.7,3.0,1.3,90.0,40.0
10X308,8,2009,All Students,89,653.0,3.0,3.4,28.0,31.5,57.0,64.0,1.0,1.1,58.0,65.2
31R044,5,2010,All Students,124,655.0,42.0,33.9,52.0,41.9,26.0,21.0,4.0,3.2,30.0,24.2
75X188,7,2006,All Students,37,585.0,21.0,56.8,13.0,35.1,3.0,8.1,0.0,0.0,3.0,8.1
10X020,All Grades,2008,All Students,783,,44.0,5.6,365.0,46.6,365.0,46.6,9.0,1.1,374.0,47.8
75M226,3,2006,All Students,1,,,,,,,,,,,
26Q172,All Grades,2011,All Students,978,668.0,22.0,2.2,293.0,30.0,606.0,62.0,57.0,5.8,663.0,67.8
10X118,8,2008,All Students,353,648.0,23.0,6.5,164.0,46.5,161.0,45.6,5.0,1.4,166.0,47.0
23K697,All Grades,2007,All Students,137,,1.0,0.7,62.0,45.3,74.0,54.0,0.0,0.0,74.0,54.0
02M001,4,2009,All Students,69,672.0,0.0,0.0,13.0,18.8,53.0,76.8,3.0,4.3,56.0,81.2
16K040,3,2006,All Students,55,645.0,13.0,23.6,18.0,32.7,24.0,43.6,0.0,0.0,24.0,43.6
27Q096,All Grades,2009,All Students,112,,3.0,2.7,9.0,8.0,84.0,75.0,16.0,14.3,100.0,89.3
21K090,3,2007,All Students,87,635.0,24.0,27.6,29.0,33.3,33.0,37.9,1.0,1.1,34.0,39.1
20K187,7,2007,All Students,346,693.0,0.0,0.0,5.0,1.4,250.0,72.3,91.0,26.3,341.0,98.6
10X079,5,2010,All Students,114,662.0,24.0,21.1,50.0,43.9,34.0,29.8,6.0,5.3,40.0,35.1
12X316,All Grades,2010,All Students,244,,28.0,11.5,127.0,52.0,83.0,34.0,6.0,2.5,89.0,36.5
14K016,4,2007,All Students,58,643.0,8.0,13.8,23.0,39.7,26.0,44.8,1.0,1.7,27.0,46.6
24Q061,7,2007,All Students,622,629.0,100.0,16.1,338.0,54.3,179.0,28.8,5.0,0.8,184.0,29.6
30Q092,5,2006,All Students,110,645.0,11.0,10.0,42.0,38.2,54.0,49.1,3.0,2.7,57.0,51.8
09X229,5,2006,All Students,91,630.0,14.0,15.4,58.0,63.7,18.0,19.8,1.0,1.1,19.0,20.9
11X289,6,2009,All Students,123,656.0,0.0,0.0,42.0,34.1,80.0,65.0,1.0,0.8,81.0,65.9
10X054,All Grades,2010,All Students,186,,35.0,18.8,92.0,49.5,52.0,28.0,7.0,3.8,59.0,31.7
22K152,All Grades,2006,All Students,372,,30.0,8.1,137.0,36.8,186.0,50.0,19.0,5.1,205.0,55.1
19K292,6,2009,All Students,210,658.0,1.0,0.5,74.0,35.2,127.0,60.5,8.0,3.8,135.0,64.3
27Q253,5,2009,All Students,54,656.0,0.0,0.0,22.0,40.7,31.0,57.4,1.0,1.9,32.0,59.3
10X307,3,2010,All Students,29,672.0,0.0,0.0,6.0,20.7,17.0,58.6,6.0,20.7,23.0,79.3
11X076,3,2010,All Students,191,664.0,23.0,12.0,80.0,41.9,70.0,36.6,18.0,9.4,88.0,46.1
12X217,8,2007,All Students,125,624.0,22.0,17.6,83.0,66.4,20.0,16.0,0.0,0.0,20.0,16.0
10X368,All Grades,2010,All Students,540,,91.0,16.9,276.0,51.1,158.0,29.3,15.0,2.8,173.0,32.0
09X110,3,2008,All Students,64,649.0,11.0,17.2,24.0,37.5,28.0,43.8,1.0,1.6,29.0,45.3
16K081,3,2009,All Students,70,655.0,3.0,4.3,28.0,40.0,37.0,52.9,2.0,2.9,39.0,55.7
31R056,5,2008,All Students,115,677.0,0.0,0.0,8.0,7.0,95.0,82.6,12.0,10.4,107.0,93.0
22K052,4,2006,All Students,122,667.0,15.0,12.3,25.0,20.5,68.0,55.7,14.0,11.5,82.0,67.2
15K230,4,2007,All Students,160,667.0,9.0,5.6,39.0,24.4,101.0,63.1,11.0,6.9,112.0,70.0
01M184,3,2009,All Students,67,693.0,0.0,0.0,2.0,3.0,48.0,71.6,17.0,25.4,65.0,97.0
29Q116,3,2007,All Students,87,641.0,14.0,16.1,39.0,44.8,32.0,36.8,2.0,2.3,34.0,39.1
15K447,All Grades,2010,All Students,490,,10.0,2.0,108.0,22.0,326.0,66.5,46.0,9.4,372.0,75.9
03M247,8,2006,All Students,47,631.0,6.0,12.8,32.0,68.1,9.0,19.1,0.0,0.0,9.0,19.1
25Q193,3,2006,All Students,81,678.0,2.0,2.5,14.0,17.3,60.0,74.1,5.0,6.2,65.0,80.2
31R031,3,2006,All Students,50,646.0,6.0,12.0,22.0,44.0,21.0,42.0,1.0,2.0,22.0,44.0
75K053,8,2007,All Students,24,596.0,12.0,50.0,12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
32K299,5,2010,All Students,57,662.0,10.0,17.5,25.0,43.9,22.0,38.6,0.0,0.0,22.0,38.6
